onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
1.0667	1.3678	Ed	Correct	1.354	wl.u	0.9921	0.7121	0.28	30	8.4969	0.0885	5e-04
5.0867	1.7849	bD	inCorrect	1.77	ll	0.5827	0.7121	-0.1294	10	8.4969	0.0885	5e-04
9.1067	1.8682	cA	Correct	1.85	ww	0.9984	0.9968	0.0016	10	8.4969	0.0885	5e-04
12.6427	1.1509	Af	Correct	1.139	wl.u	0.9984	0.5833	0.4151	40	8.4969	0.0885	5e-04
16.1797	1.4011	bC	Correct	1.395	wl.u	0.9968	0.5827	0.4141	50	8.4969	0.0885	5e-04
20.2157	1.4679	eA	Correct	1.454	ww	0.9984	0.9921	0.0063	20	8.4969	0.0885	5e-04
25.2367	1.8181	Fd	inCorrect	1.8	ll	0.7121	0.5833	0.1288	10	8.4969	0.0885	5e-04
28.7727	1.6513	Ef	Correct	1.633	wl.l	0.9921	0.5833	0.4088	20	8.4969	0.0885	5e-04
32.7927	1.0842	Af	Correct	1.079	wl.u	0.9984	0.5833	0.4151	40	8.4969	0.0885	5e-04
36.3287	1.6513	Db	Correct	1.638	ll	0.7121	0.5827	0.1294	10	8.4969	0.0885	5e-04
41.3497	1.9349	Ce	inCorrect	1.93	ww	0.9921	0.9968	-0.0047	10	8.4969	0.0885	5e-04
44.8697	1.4845	Eb	Correct	1.469	wl.u	0.9921	0.5827	0.4094	40	8.4969	0.0885	5e-04
48.4057	1.5179	Fd	inCorrect	1.511	ll	0.7121	0.5833	0.1288	10	8.4969	0.0885	5e-04
52.9257	2.2685	dE	Correct	2.258	wl.u	0.9921	0.7121	0.28	30	8.4969	0.0885	5e-04
56.9457	1.568	bC	Correct	1.555	wl.u	0.9968	0.5827	0.4141	50	8.4969	0.0885	5e-04
61.4657	1.2677	bA	Correct	1.258	wl.l	0.9984	0.5827	0.4157	60	8.4969	0.0885	5e-04
65.4857	1.5346	Eb	Correct	1.524	wl.u	0.9921	0.5827	0.4094	40	8.4969	0.0885	5e-04
69.5057	1.8849	dA	Correct	1.88	wl.u	0.9984	0.7121	0.2863	50	8.4969	0.0885	5e-04
73.5257	2.2351	fC	inCorrect	2.223	wl.u	0.5833	0.9968	-0.4135	30	8.4969	0.0885	5e-04
77.5457	1.8181	Db	Correct	1.804	ll	0.7121	0.5827	0.1294	10	8.4969	0.0885	5e-04
80.5817	1.1342	Ae	Correct	1.119	ww	0.9984	0.9921	0.0063	20	8.4969	0.0885	5e-04
84.6187	1.1176	fA	Correct	1.1	wl.u	0.9984	0.5833	0.4151	40	8.4969	0.0885	5e-04
88.6547	1.3678	dC	Correct	1.364	wl.l	0.9968	0.7121	0.2847	40	8.4969	0.0885	5e-04
96.6947	2.0016	bF	inCorrect	1.994	ll	0.5827	0.5833	-6e-04	20	8.4969	0.0885	5e-04
101.2147	1.5513	eA	Correct	1.54	ww	0.9984	0.9921	0.0063	20	8.4969	0.0885	5e-04
105.7357	1.8015	Fb	Correct	1.785	ll	0.5833	0.5827	6e-04	20	8.4969	0.0885	5e-04
109.7557	1.5846	Ce	inCorrect	1.581	ww	0.9921	0.9968	-0.0047	10	8.4969	0.0885	5e-04
113.2747	1.4345	Ac	Correct	1.432	ww	0.9984	0.9968	0.0016	10	8.4969	0.0885	5e-04
117.7947	1.9016	dC	Correct	1.885	wl.l	0.9968	0.7121	0.2847	40	8.4969	0.0885	5e-04
