onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5336	1.3178	cA	Correct	1.307	ww	0.7687	0.7119	0.0568	10	2.0954	0.0165	0.004
4.5536	1.0311	dE	inCorrect	1.031	wl.u	0.5325	0.6449	-0.1124	30	2.0954	0.0165	0.004
8.5566	0.5505	dF	Correct	0.532	ll	0.5819	0.5325	0.0494	10	2.0954	0.0165	0.004
16.5966	1.4679	Ce	Correct	1.456	ww	0.7119	0.6449	0.067	10	2.0954	0.0165	0.004
20.6166	0.6506	bE	Correct	0.632	wl.u	0.6449	0.5029	0.142	40	2.0954	0.0165	0.004
24.6526	0.8507	bA	Correct	0.848	wl.l	0.7687	0.5029	0.2658	60	2.0954	0.0165	0.004
29.1736	0.6839	fA	inCorrect	0.669	wl.u	0.5819	0.7687	-0.1868	40	2.0954	0.0165	0.004
36.6966	0.5171	Ce	inCorrect	0.507	ww	0.6449	0.7119	-0.067	10	2.0954	0.0165	0.004
40.7166	1.1676	Fd	Correct	1.161	ll	0.5819	0.5325	0.0494	10	2.0954	0.0165	0.004
49.2396	0.4336	eA	Correct	0.429	ww	0.7687	0.6449	0.1238	20	2.0954	0.0165	0.004
52.7596	0.4337	Af	Correct	0.417	wl.u	0.7687	0.5819	0.1868	40	2.0954	0.0165	0.004
56.2956	0.4837	dE	Correct	0.472	wl.u	0.6449	0.5325	0.1124	30	2.0954	0.0165	0.004
60.3316	0.4671	dA	Correct	0.456	wl.u	0.7687	0.5325	0.2362	50	2.0954	0.0165	0.004
64.8526	0.9674	fC	inCorrect	0.949	wl.u	0.5819	0.7119	-0.13	30	2.0954	0.0165	0.004
68.8726	1.251	Db	inCorrect	1.234	ll	0.5029	0.5325	-0.0296	10	2.0954	0.0165	0.004
72.8926	1.1175	Eb	inCorrect	1.107	wl.u	0.5029	0.6449	-0.142	40	2.0954	0.0165	0.004
76.9126	0.9341	eC	inCorrect	0.927	ww	0.6449	0.7119	-0.067	10	2.0954	0.0165	0.004
80.4486	0.8674	bC	Correct	0.861	wl.u	0.7119	0.5029	0.209	50	2.0954	0.0165	0.004
84.4846	1.2844	eA	Correct	1.282	ww	0.7687	0.6449	0.1238	20	2.0954	0.0165	0.004
89.0056	0.834	bD	Correct	0.818	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
97.0286	1.0509	eA	Correct	1.046	ww	0.7687	0.6449	0.1238	20	2.0954	0.0165	0.004
101.0486	2.1018	bE	Correct	2.097	wl.u	0.6449	0.5029	0.142	40	2.0954	0.0165	0.004
105.0686	1.3344	dC	Correct	1.326	wl.l	0.7119	0.5325	0.1794	40	2.0954	0.0165	0.004
109.5886	1.5346	Ae	inCorrect	1.526	ww	0.6449	0.7687	-0.1238	20	2.0954	0.0165	0.004
113.6086	1.6847	fE	inCorrect	1.668	wl.l	0.5819	0.6449	-0.063	20	2.0954	0.0165	0.004
116.6446	1.4678	fC	Correct	1.464	wl.u	0.7119	0.5819	0.13	30	2.0954	0.0165	0.004
121.1646	1.1176	Ef	inCorrect	1.108	wl.l	0.5819	0.6449	-0.063	20	2.0954	0.0165	0.004
124.7016	1.6681	fC	Correct	1.651	wl.u	0.7119	0.5819	0.13	30	2.0954	0.0165	0.004
128.7376	1.2844	Ad	Correct	1.274	wl.u	0.7687	0.5325	0.2362	50	2.0954	0.0165	0.004
132.7746	2.5521	Ed	inCorrect	2.536	wl.u	0.5325	0.6449	-0.1124	30	2.0954	0.0165	0.004
137.7956	2.6689	Eb	Correct	2.654	wl.u	0.6449	0.5029	0.142	40	2.0954	0.0165	0.004
145.8186	1.1175	bD	Correct	1.105	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
149.8386	1.3344	fE	inCorrect	1.318	wl.l	0.5819	0.6449	-0.063	20	2.0954	0.0165	0.004
153.3576	1.4179	Eb	inCorrect	1.4	wl.u	0.5029	0.6449	-0.142	40	2.0954	0.0165	0.004
157.3776	1.4011	cA	Correct	1.397	ww	0.7687	0.7119	0.0568	10	2.0954	0.0165	0.004
161.8986	1.1676	fA	inCorrect	1.152	wl.u	0.5819	0.7687	-0.1868	40	2.0954	0.0165	0.004
165.4176	1.251	dF	Correct	1.243	ll	0.5819	0.5325	0.0494	10	2.0954	0.0165	0.004
169.9376	1.0342	Ae	inCorrect	1.022	ww	0.6449	0.7687	-0.1238	20	2.0954	0.0165	0.004
172.9736	1.2677	cA	inCorrect	1.263	ww	0.7119	0.7687	-0.0568	10	2.0954	0.0165	0.004
177.0106	1.9183	Ae	inCorrect	1.902	ww	0.6449	0.7687	-0.1238	20	2.0954	0.0165	0.004
182.0316	1.201	fC	Correct	1.193	wl.u	0.7119	0.5819	0.13	30	2.0954	0.0165	0.004
185.5506	1.1676	Cf	Correct	1.16	wl.u	0.7119	0.5819	0.13	30	2.0954	0.0165	0.004
189.5706	0.9507	bF	Correct	0.941	ll	0.5819	0.5029	0.079	20	2.0954	0.0165	0.004
194.0906	1.2844	bA	inCorrect	1.272	wl.l	0.5029	0.7687	-0.2658	60	2.0954	0.0165	0.004
197.1266	1.1009	dE	Correct	1.085	wl.u	0.6449	0.5325	0.1124	30	2.0954	0.0165	0.004
201.1636	0.7507	Db	Correct	0.744	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
206.1846	0.4837	Ac	inCorrect	0.471	ww	0.7119	0.7687	-0.0568	10	2.0954	0.0165	0.004
213.2236	1.1342	fE	inCorrect	1.128	wl.l	0.5819	0.6449	-0.063	20	2.0954	0.0165	0.004
218.2436	0.9008	Cd	inCorrect	0.889	wl.l	0.5325	0.7119	-0.1794	40	2.0954	0.0165	0.004
221.2796	0.8841	bF	inCorrect	0.871	ll	0.5029	0.5819	-0.079	20	2.0954	0.0165	0.004
225.8006	0.9508	Ad	Correct	0.947	wl.u	0.7687	0.5325	0.2362	50	2.0954	0.0165	0.004
229.8206	0.8007	bD	Correct	0.793	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
234.3406	0.6672	bD	Correct	0.657	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
241.3796	0.4671	Fb	Correct	0.462	ll	0.5819	0.5029	0.079	20	2.0954	0.0165	0.004
245.4166	0.6839	dA	Correct	0.668	wl.u	0.7687	0.5325	0.2362	50	2.0954	0.0165	0.004
249.9366	0.6339	Ab	Correct	0.626	wl.l	0.7687	0.5029	0.2658	60	2.0954	0.0165	0.004
254.4566	0.8173	Ac	Correct	0.8	ww	0.7687	0.7119	0.0568	10	2.0954	0.0165	0.004
257.9766	1.7181	Cd	inCorrect	1.711	wl.l	0.5325	0.7119	-0.1794	40	2.0954	0.0165	0.004
261.9966	0.8174	Fd	Correct	0.801	ll	0.5819	0.5325	0.0494	10	2.0954	0.0165	0.004
266.0166	1.9849	eC	inCorrect	1.973	ww	0.6449	0.7119	-0.067	10	2.0954	0.0165	0.004
270.5366	0.6506	Cb	Correct	0.632	wl.u	0.7119	0.5029	0.209	50	2.0954	0.0165	0.004
278.0766	0.7673	dC	Correct	0.752	wl.l	0.7119	0.5325	0.1794	40	2.0954	0.0165	0.004
282.0966	0.8673	dC	inCorrect	0.849	wl.l	0.5325	0.7119	-0.1794	40	2.0954	0.0165	0.004
285.6486	0.3836	Af	inCorrect	0.372	wl.u	0.5819	0.7687	-0.1868	40	2.0954	0.0165	0.004
289.6856	0.4503	Ab	inCorrect	0.444	wl.l	0.5029	0.7687	-0.2658	60	2.0954	0.0165	0.004
294.2056	0.7506	eC	inCorrect	0.744	ww	0.6449	0.7119	-0.067	10	2.0954	0.0165	0.004
298.7266	1.0842	fC	Correct	1.069	wl.u	0.7119	0.5819	0.13	30	2.0954	0.0165	0.004
302.2456	2.9524	bA	Correct	2.934	wl.l	0.7687	0.5029	0.2658	60	2.0954	0.0165	0.004
309.8016	0.7673	Ed	Correct	0.754	wl.u	0.6449	0.5325	0.1124	30	2.0954	0.0165	0.004
318.8256	2.9858	Af	inCorrect	2.978	wl.u	0.5819	0.7687	-0.1868	40	2.0954	0.0165	0.004
321.8616	1.8682	Ac	inCorrect	1.852	ww	0.7119	0.7687	-0.0568	10	2.0954	0.0165	0.004
325.8986	1.0175	fC	Correct	1.007	wl.u	0.7119	0.5819	0.13	30	2.0954	0.0165	0.004
330.4186	1.0008	bA	Correct	0.983	wl.l	0.7687	0.5029	0.2658	60	2.0954	0.0165	0.004
338.9426	1.4845	dE	inCorrect	1.47	wl.u	0.5325	0.6449	-0.1124	30	2.0954	0.0165	0.004
341.9786	1.4845	eA	Correct	1.468	ww	0.7687	0.6449	0.1238	20	2.0954	0.0165	0.004
346.4986	1.151	bD	Correct	1.132	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
350.5356	1.9682	Fd	Correct	1.959	ll	0.5819	0.5325	0.0494	10	2.0954	0.0165	0.004
354.0716	1.0675	bD	Correct	1.064	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
359.0926	2.5855	Cf	inCorrect	2.576	wl.u	0.5819	0.7119	-0.13	30	2.0954	0.0165	0.004
363.1126	2.7856	Cf	inCorrect	2.783	wl.u	0.5819	0.7119	-0.13	30	2.0954	0.0165	0.004
366.6316	0.9174	bF	Correct	0.915	ll	0.5819	0.5029	0.079	20	2.0954	0.0165	0.004
374.6546	1.9349	fC	inCorrect	1.93	wl.u	0.5819	0.7119	-0.13	30	2.0954	0.0165	0.004
378.1906	3.9866	Fb	omission	0	ll	0.5029	0.5819	-0.079	20	2.0954	0.0165	0.004
384.1956	1.151	bC	Correct	1.143	wl.u	0.7119	0.5029	0.209	50	2.0954	0.0165	0.004
389.2166	1.2176	Cf	inCorrect	1.202	wl.u	0.5819	0.7119	-0.13	30	2.0954	0.0165	0.004
392.2526	1.718	Ab	inCorrect	1.701	wl.l	0.5029	0.7687	-0.2658	60	2.0954	0.0165	0.004
397.2736	3.0025	Cf	omission	0	wl.u	0.5819	0.7119	-0.13	30	2.0954	0.0165	0.004
402.7776	0.6839	Cd	inCorrect	0.671	wl.l	0.5325	0.7119	-0.1794	40	2.0954	0.0165	0.004
406.7976	1.0341	bD	Correct	1.02	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
410.3336	1.0342	cA	inCorrect	1.024	ww	0.7119	0.7687	-0.0568	10	2.0954	0.0165	0.004
414.3706	1.0175	Cb	inCorrect	1.004	wl.u	0.5029	0.7119	-0.209	50	2.0954	0.0165	0.004
418.4076	0.9508	Cb	Correct	0.947	wl.u	0.7119	0.5029	0.209	50	2.0954	0.0165	0.004
422.9276	2.085	dA	inCorrect	2.072	wl.u	0.5325	0.7687	-0.2362	50	2.0954	0.0165	0.004
426.9476	0.7173	Ed	inCorrect	0.713	wl.u	0.5325	0.6449	-0.1124	30	2.0954	0.0165	0.004
430.9676	3.0858	Ad	inCorrect	3.081	wl.u	0.5325	0.7687	-0.2362	50	2.0954	0.0165	0.004
434.5036	0.7172	dA	inCorrect	0.701	wl.u	0.5325	0.7687	-0.2362	50	2.0954	0.0165	0.004
438.5406	1.3678	Af	inCorrect	1.365	wl.u	0.5819	0.7687	-0.1868	40	2.0954	0.0165	0.004
447.0636	1.3678	Fd	Correct	1.358	ll	0.5819	0.5325	0.0494	10	2.0954	0.0165	0.004
455.0866	0.7506	Db	inCorrect	0.745	ll	0.5029	0.5325	-0.0296	10	2.0954	0.0165	0.004
459.6076	1.2343	Cb	Correct	1.228	wl.u	0.7119	0.5029	0.209	50	2.0954	0.0165	0.004
463.1266	1.1843	Fb	inCorrect	1.167	ll	0.5029	0.5819	-0.079	20	2.0954	0.0165	0.004
466.6636	1.1009	Ce	Correct	1.091	ww	0.7119	0.6449	0.067	10	2.0954	0.0165	0.004
471.1836	0.3669	Ac	Correct	0.361	ww	0.7687	0.7119	0.0568	10	2.0954	0.0165	0.004
474.7196	0.8006	bE	Correct	0.79	wl.u	0.6449	0.5029	0.142	40	2.0954	0.0165	0.004
479.7406	0.9675	Ad	Correct	0.961	wl.u	0.7687	0.5325	0.2362	50	2.0954	0.0165	0.004
483.7606	1.1509	eC	Correct	1.134	ww	0.7119	0.6449	0.067	10	2.0954	0.0165	0.004
487.7806	1.1009	bC	Correct	1.094	wl.u	0.7119	0.5029	0.209	50	2.0954	0.0165	0.004
491.2996	0.8841	Ed	inCorrect	0.868	wl.u	0.5325	0.6449	-0.1124	30	2.0954	0.0165	0.004
495.3196	1.2177	Cd	Correct	1.202	wl.l	0.7119	0.5325	0.1794	40	2.0954	0.0165	0.004
499.8406	1.5179	bF	inCorrect	1.514	ll	0.5029	0.5819	-0.079	20	2.0954	0.0165	0.004
502.8756	1.2177	dE	inCorrect	1.2	wl.u	0.5325	0.6449	-0.1124	30	2.0954	0.0165	0.004
507.8966	1.0842	Ef	inCorrect	1.078	wl.l	0.5819	0.6449	-0.063	20	2.0954	0.0165	0.004
511.4166	1.4679	bD	Correct	1.464	ll	0.5325	0.5029	0.0296	10	2.0954	0.0165	0.004
