onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.0501	1.0842	FE	E	Correct	1.072	1.8849	0.5171	1	0.4718	0.5282	0.5813	56	2.0954	0.0165	0.004
5.5712	1.4345	AB	A	Correct	1.418	7.306	0.5171	-1	-0.6551	0.6551	0.5113	12	2.0954	0.0165	0.004
9.5912	1.6847	EF	E	Correct	1.682	11.5761	0.5171	1	0.4641	0.5359	0.5813	56	2.0954	0.0165	0.004
13.1107	1.201	EF	F	Incorrect	1.183	14.6119	0.5171	-1	-0.5813	0.5813	0.5436	56	2.0954	0.0165	0.004
16.6302	1.0843	BA	A	Correct	1.07	18.0147	0.5171	-1	-0.6524	0.6524	0.5113	12	2.0954	0.0165	0.004
21.1506	0.784	DC	D	Incorrect	0.776	22.2348	0.5171	-1	-0.5402	0.5402	0.6267	34	2.0954	0.0165	0.004
24.1864	1.8849	BA	A	Correct	1.874	26.3715	0.5171	1	0.3502	0.6498	0.5113	12	2.0954	0.0165	0.004
28.223	2.4854	AB	A	Correct	2.477	31.0086	0.5171	1	0.3444	0.6556	0.5113	12	2.0954	0.0165	0.004
36.7466	1.5346	AB	B	Incorrect	1.533	38.5815	0.5171	1	0.4887	0.5113	0.6613	12	2.0954	0.0165	0.004
40.2828	2.1351	EF	E	Correct	2.128	42.7182	0.5171	-1	-0.5436	0.5436	0.5789	56	2.0954	0.0165	0.004
44.8032	0.6338	BA	A	Correct	0.625	45.7373	0.5171	1	0.3387	0.6613	0.5194	12	2.0954	0.0165	0.004
48.3394	1.4345	EF	E	Correct	1.419	50.0742	0.517	1	0.4586	0.5414	0.5789	56	2.0954	0.0165	0.004
52.376	2.4854	FE	E	Correct	2.479	55.1616	0.5171	1	0.451	0.549	0.5789	56	2.0954	0.0165	0.004
57.8972	1.5513	FE	E	Correct	1.542	59.7487	0.5171	-1	-0.5564	0.5564	0.5789	56	2.0954	0.0165	0.004
60.9163	1.7014	DC	D	Incorrect	1.686	62.918	0.517	1	0.462	0.538	0.6267	34	2.0954	0.0165	0.004
64.9363	0.8006	AB	A	Correct	0.791	66.0372	0.5171	1	0.3332	0.6668	0.5194	12	2.0954	0.0165	0.004
68.4725	0.9007	FE	E	Correct	0.886	69.6735	0.5171	-1	-0.5542	0.5542	0.5789	56	2.0954	0.0165	0.004
73.4932	1.7515	AB	A	Correct	1.738	75.5449	0.5171	1	0.3277	0.6723	0.5194	12	2.0954	0.0165	0.004
76.5291	1.0508	FE	E	Correct	1.033	77.8802	0.517	1	0.448	0.552	0.5789	56	2.0954	0.0165	0.004
80.5657	1.3177	BA	B	Incorrect	1.307	82.1837	0.517	-1	-0.5194	0.5194	0.6777	12	2.0954	0.0165	0.004
90.0901	1.2677	EF	F	Incorrect	1.25	91.658	0.5171	-1	-0.5789	0.5789	0.5594	56	2.0954	0.0165	0.004
94.11	1.3178	BA	A	Correct	1.31	95.728	0.5171	1	0.3223	0.6777	0.5173	12	2.0954	0.0165	0.004
97.1292	2.035	FE	E	Correct	2.023	99.4644	0.5171	1	0.4406	0.5594	0.5766	56	2.0954	0.0165	0.004
105.1524	1.6513	EF	E	Correct	1.635	107.104	0.517	1	0.4334	0.5666	0.5766	56	2.0954	0.0165	0.004
108.6886	1.4345	BA	A	Correct	1.424	110.4233	0.5171	1	0.3169	0.6831	0.5173	12	2.0954	0.0165	0.004
113.2089	1.0342	CD	D	Incorrect	1.026	114.5434	0.517	-1	-0.5457	0.5457	0.6267	34	2.0954	0.0165	0.004
121.2321	0.9675	EF	E	Correct	0.96	122.4998	0.5171	-1	-0.5738	0.5738	0.5766	56	2.0954	0.0165	0.004
126.2529	1.1343	FE	E	Correct	1.129	127.6874	0.5171	-1	-0.5715	0.5715	0.5766	56	2.0954	0.0165	0.004
130.2728	0.8674	BA	A	Correct	0.851	131.4405	0.517	1	0.3117	0.6883	0.5173	12	2.0954	0.0165	0.004
132.8082	2.1018	FE	F	Incorrect	2.092	135.2102	0.5171	1	0.4234	0.5766	0.5692	56	2.0954	0.0165	0.004
138.3294	1.0509	EF	E	Correct	1.043	139.6805	0.5171	1	0.4308	0.5692	0.5836	56	2.0954	0.0165	0.004
141.8489	1.2844	AB	A	Correct	1.282	143.4336	0.5171	1	0.3066	0.6934	0.5173	12	2.0954	0.0165	0.004
144.8847	0.9341	AB	A	Correct	0.93	146.1191	0.5171	1	0.3015	0.6985	0.5173	12	2.0954	0.0165	0.004
152.9246	0.9508	FE	E	Correct	0.933	154.1757	0.517	-1	-0.5763	0.5763	0.5836	56	2.0954	0.0165	0.004
157.9454	1.9849	FE	E	Correct	1.978	160.2306	0.5171	1	0.426	0.574	0.5836	56	2.0954	0.0165	0.004
161.9653	1.2511	CD	C	Correct	1.239	163.5166	0.5171	-1	-0.6267	0.6267	0.5435	34	2.0954	0.0165	0.004
166.4857	1.201	DC	C	Correct	1.195	167.9869	0.5171	1	0.3758	0.6242	0.5435	34	2.0954	0.0165	0.004
170.0052	1.2677	FE	E	Correct	1.25	171.5732	0.517	-1	-0.581	0.581	0.5836	56	2.0954	0.0165	0.004
173.5248	0.9007	BA	B	Incorrect	0.89	174.7257	0.5171	-1	-0.5173	0.5173	0.7035	12	2.0954	0.0165	0.004
177.5447	1.7514	BA	A	Correct	1.742	179.5964	0.5171	1	0.2965	0.7035	0.5152	12	2.0954	0.0165	0.004
182.5654	1.0342	DC	D	Incorrect	1.02	183.8999	0.5171	-1	-0.5435	0.5435	0.6304	34	2.0954	0.0165	0.004
186.5854	1.4512	CD	C	Correct	1.437	188.3368	0.5171	1	0.3696	0.6304	0.5413	34	2.0954	0.0165	0.004
189.6045	1.6347	CD	D	Incorrect	1.616	191.5227	0.5171	-1	-0.5413	0.5413	0.6365	34	2.0954	0.0165	0.004
193.6411	1.4345	DC	C	Correct	1.429	195.3759	0.5171	1	0.3635	0.6365	0.5391	34	2.0954	0.0165	0.004
201.1806	0.5838	FE	F	Incorrect	0.57	202.0647	0.5171	-1	-0.5836	0.5836	0.5786	56	2.0954	0.0165	0.004
206.2014	0.6505	FE	E	Correct	0.639	207.1522	0.517	1	0.4214	0.5786	0.5812	56	2.0954	0.0165	0.004
214.725	0.6005	CD	C	Correct	0.593	215.6257	0.5171	1	0.3575	0.6425	0.5391	34	2.0954	0.0165	0.004
217.7441	0.9842	DC	C	Correct	0.979	219.0285	0.5171	1	0.3516	0.6484	0.5391	34	2.0954	0.0165	0.004
226.7681	2.0684	DC	C	Correct	2.053	229.1367	0.1502	1	0.3458	0.6542	0.5391	34	2.0954	0.0165	0.004
230.2877	2.0016	CD	D	Incorrect	1.992	232.5895	0.5171	-1	-0.5391	0.5391	0.6599	34	2.0954	0.0165	0.004
237.8105	1.5346	EF	E	Correct	1.517	239.6453	0.5171	1	0.4144	0.5856	0.5812	56	2.0954	0.0165	0.004
242.3308	1.5513	FE	F	Incorrect	1.533	244.1656	0.5171	-1	-0.5812	0.5812	0.5924	56	2.0954	0.0165	0.004
246.3508	1.5179	FE	E	Correct	1.51	248.1689	0.5171	-1	-0.5924	0.5924	0.5789	56	2.0954	0.0165	0.004
250.3707	1.1676	BA	A	Correct	1.163	251.8386	0.517	1	0.2916	0.7084	0.5152	12	2.0954	0.0165	0.004
253.8902	1.2677	BA	A	Correct	1.255	255.4582	0.5171	-1	-0.7132	0.7132	0.5152	12	2.0954	0.0165	0.004
257.9102	1.7681	FE	E	Correct	1.763	259.9785	0.5171	1	0.4099	0.5901	0.5789	56	2.0954	0.0165	0.004
266.9342	1.4512	EF	E	Correct	1.441	268.6856	0.5171	1	0.4032	0.5968	0.5789	56	2.0954	0.0165	0.004
270.9541	1.0009	EF	F	Incorrect	0.999	272.2552	0.5171	-1	-0.5789	0.5789	0.6035	56	2.0954	0.0165	0.004
273.4895	1.4846	BA	B	Incorrect	1.482	275.2743	0.5171	-1	-0.5152	0.5152	0.7103	12	2.0954	0.0165	0.004
278.4936	0.784	AB	B	Incorrect	0.774	279.5778	0.5171	-1	-0.5131	0.5131	0.7103	12	2.0954	0.0165	0.004
282.5136	0.6672	EF	E	Correct	0.655	283.481	0.5171	1	0.3965	0.6035	0.5766	56	2.0954	0.0165	0.004
286.0331	0.6839	BA	A	Correct	0.68	287.0172	0.5171	1	0.2897	0.7103	0.5111	12	2.0954	0.0165	0.004
289.5693	1.5012	EF	F	Incorrect	1.497	291.3708	0.5171	-1	-0.5766	0.5766	0.61	56	2.0954	0.0165	0.004
295.0905	1.1175	DC	C	Correct	1.113	296.5083	0.5171	-1	-0.6599	0.6599	0.5369	34	2.0954	0.0165	0.004
297.6259	1.2844	AB	A	Correct	1.277	299.2105	0.5171	-1	-0.7151	0.7151	0.5111	12	2.0954	0.0165	0.004
303.147	2.5021	CD	n/a	omission	0	305.9493	0.5171	0	0	0	0	0	2.0954	0.0165	0.004
309.6523	1.3845	CD	D	Incorrect	1.382	311.337	0.5171	1	0.4631	0.5369	0.6572	34	2.0954	0.0165	0.004
312.6715	2.0016	CD	C	Correct	1.987	314.9733	0.5171	1	0.3428	0.6572	0.5446	34	2.0954	0.0165	0.004
316.6914	1.5513	FE	F	Incorrect	1.535	318.5429	0.5171	-1	-0.5742	0.5742	0.61	56	2.0954	0.0165	0.004
