onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
1.0341	1.7681	bA	Correct	1.764	wl.l	0.9972	0.6978	0.2994	60	4.9353	0.1242	0.001
5.0531	0.9341	bA	Correct	0.918	wl.l	0.9972	0.6978	0.2994	60	4.9353	0.1242	0.001
8.5731	1.2344	Db	Correct	1.218	ll	0.7365	0.6978	0.0387	10	4.9353	0.1242	0.001
12.5931	0.9508	Ad	inCorrect	0.935	wl.u	0.7365	0.9972	-0.2607	50	4.9353	0.1242	0.001
17.1131	1.1843	Ab	Correct	1.171	wl.l	0.9972	0.6978	0.2994	60	4.9353	0.1242	0.001
21.1331	1.301	Eb	inCorrect	1.295	wl.u	0.6978	0.9894	-0.2916	40	4.9353	0.1242	0.001
28.6561	1.4512	Cf	inCorrect	1.439	wl.u	0.933	0.9962	-0.0632	30	4.9353	0.1242	0.001
33.1761	1.3177	bE	inCorrect	1.315	wl.u	0.6978	0.9894	-0.2916	40	4.9353	0.1242	0.001
36.6961	1.4178	fE	Correct	1.415	wl.l	0.9894	0.933	0.0564	20	4.9353	0.1242	0.001
40.2321	1.1176	fC	Correct	1.108	wl.u	0.9962	0.933	0.0632	30	4.9353	0.1242	0.001
44.2681	1.1843	Ac	Correct	1.17	ww	0.9972	0.9962	0.001	10	4.9353	0.1242	0.001
48.3051	0.9007	fE	inCorrect	0.891	wl.l	0.933	0.9894	-0.0564	20	4.9353	0.1242	0.001
52.8251	0.9674	bA	Correct	0.954	wl.l	0.9972	0.6978	0.2994	60	4.9353	0.1242	0.001
57.3461	1.0342	bC	inCorrect	1.027	wl.u	0.6978	0.9962	-0.2984	50	4.9353	0.1242	0.001
64.8681	1.4846	eC	inCorrect	1.48	ww	0.9894	0.9962	-0.0068	10	4.9353	0.1242	0.001
68.4051	1.1676	Ad	Correct	1.156	wl.u	0.9972	0.7365	0.2607	50	4.9353	0.1242	0.001
72.9251	1.0675	eC	Correct	1.049	ww	0.9962	0.9894	0.0068	10	4.9353	0.1242	0.001
76.4781	1.5179	Ed	Correct	1.503	wl.u	0.9894	0.7365	0.2529	30	4.9353	0.1242	0.001
80.9981	0.7172	cA	Correct	0.703	ww	0.9972	0.9962	0.001	10	4.9353	0.1242	0.001
