onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.5337	0.8174	FE	E	Correct	0.809	2.1017	0.5171	1	0.3931	0.6069	0.549	56	4.505	0.017	0
4.5537	0.9674	DC	C	Correct	0.962	6.2717	0.5171	1	0.3607	0.6393	0.5567	34	4.505	0.017	0
8.5736	0.8006	FE	E	Correct	0.787	10.1249	0.517	-1	-0.6136	0.6136	0.549	56	4.505	0.017	0
12.5935	0.9842	BA	A	Correct	0.974	14.3283	0.5171	1	0.2885	0.7115	0.5332	12	4.505	0.017	0
17.6143	1.2009	CD	C	Correct	1.194	19.5659	0.517	1	0.3545	0.6455	0.5567	34	4.505	0.017	0
21.1338	1.0175	AB	B	Incorrect	1.013	22.9019	0.5171	-1	-0.5332	0.5332	0.7165	12	4.505	0.017	0
25.6541	0.9341	FE	F	Incorrect	0.925	27.3388	0.5171	1	0.451	0.549	0.6136	56	4.505	0.017	0
32.6765	0.6339	DC	C	Correct	0.631	34.061	0.517	-1	-0.6515	0.6515	0.5567	34	4.505	0.017	0
37.1968	0.5672	AB	B	Incorrect	0.551	38.5146	0.5171	-1	-0.5332	0.5332	0.7165	12	4.505	0.017	0
40.7164	0.8173	AB	A	Correct	0.799	42.2843	0.5171	1	0.2835	0.7165	0.5332	12	4.505	0.017	0
44.2693	0.6171	EF	F	Incorrect	0.609	45.637	0.5171	-1	-0.5567	0.5567	0.6136	56	4.505	0.017	0
48.7896	0.5171	FE	F	Incorrect	0.512	50.0573	0.5171	1	0.4433	0.5567	0.6136	56	4.505	0.017	0
53.3099	1.1843	FE	F	Incorrect	1.175	55.2448	0.5171	-1	-0.5642	0.5642	0.6136	56	4.505	0.017	0
56.3457	1.1843	DC	C	Correct	1.18	58.2806	0.5171	1	0.3485	0.6515	0.5567	34	4.505	0.017	0
60.8661	1.0008	FE	E	Correct	0.984	62.6175	0.5171	-1	-0.6136	0.6136	0.5642	56	4.505	0.017	0
64.886	1.4345	BA	B	Incorrect	1.428	66.6207	0.5171	-1	-0.5332	0.5332	0.7213	12	4.505	0.017	0
68.4222	0.6839	CD	D	Incorrect	0.671	69.4063	0.5171	-1	-0.5567	0.5567	0.6574	34	4.505	0.017	0
76.4621	1.4511	AB	A	Correct	1.438	78.2135	0.5171	1	0.2787	0.7213	0.5332	12	4.505	0.017	0
81.4828	0.784	CD	D	Incorrect	0.771	82.567	0.5171	1	0.4433	0.5567	0.6574	34	4.505	0.017	0
85.5027	0.834	CD	C	Correct	0.816	86.637	0.5171	1	0.3426	0.6574	0.5642	34	4.505	0.017	0
94.043	0.8507	EF	F	Incorrect	0.845	95.1939	0.5171	1	0.4358	0.5642	0.6136	56	4.505	0.017	0
98.0629	0.9008	BA	B	Incorrect	0.897	99.2639	0.5171	-1	-0.5332	0.5332	0.726	12	4.505	0.017	0
106.0861	0.7173	EF	F	Incorrect	0.703	107.1036	0.5171	-1	-0.5717	0.5717	0.6136	56	4.505	0.017	0
110.106	0.734	EF	F	Incorrect	0.73	111.1402	0.5171	1	0.4283	0.5717	0.6136	56	4.505	0.017	0
112.6414	1.1176	FE	F	Incorrect	1.101	114.0593	0.517	1	0.421	0.579	0.6136	56	4.505	0.017	0
118.1626	0.8173	AB	A	Correct	0.811	119.2802	0.517	1	0.274	0.726	0.5332	12	4.505	0.017	0
121.1817	0.834	DC	C	Correct	0.816	122.316	0.517	-1	-0.6633	0.6633	0.5642	34	4.505	0.017	0
124.7179	0.9508	CD	C	Correct	0.947	125.9689	0.5171	1	0.3367	0.6633	0.5642	34	4.505	0.017	0
129.7387	0.7339	FE	E	Correct	0.725	130.7728	0.5171	-1	-0.6136	0.6136	0.5861	56	4.505	0.017	0
134.259	0.884	FE	F	Incorrect	0.869	135.4433	0.5171	1	0.4139	0.5861	0.6136	56	4.505	0.017	0
137.7785	1.0675	BA	A	Correct	1.061	139.1463	0.5171	1	0.2693	0.7307	0.5332	12	4.505	0.017	0
142.2989	1.1842	CD	C	Correct	1.169	143.7834	0.5171	-1	-0.669	0.669	0.5642	34	4.505	0.017	0
144.8342	1.3011	FE	F	Incorrect	1.297	146.4355	0.5171	-1	-0.5932	0.5932	0.6136	56	4.505	0.017	0
149.855	0.4837	DC	D	Incorrect	0.473	150.639	0.517	-1	-0.5642	0.5642	0.669	34	4.505	0.017	0
153.3745	0.7339	DC	C	Correct	0.723	154.4087	0.5171	-1	-0.669	0.669	0.5642	34	4.505	0.017	0
156.9107	1.0842	EF	F	Incorrect	1.078	158.2952	0.5171	1	0.4068	0.5932	0.6136	56	4.505	0.017	0
161.9315	0.9174	BA	A	Correct	0.911	163.1491	0.5171	1	0.2647	0.7353	0.5332	12	4.505	0.017	0
169.9546	1.4846	AB	B	Incorrect	1.482	171.7394	0.5171	-1	-0.5332	0.5332	0.7398	12	4.505	0.017	0
173.9746	1.1676	BA	A	Correct	1.159	175.4424	0.5171	1	0.2602	0.7398	0.5332	12	4.505	0.017	0
177.4941	1.2343	DC	C	Correct	1.23	179.0287	0.5171	1	0.331	0.669	0.5642	34	4.505	0.017	0
181.514	0.8841	CD	D	Incorrect	0.874	182.6983	0.5171	-1	-0.5642	0.5642	0.6747	34	4.505	0.017	0
186.0344	1.1676	BA	A	Correct	1.165	187.5022	0.5171	1	0.2558	0.7442	0.5332	12	4.505	0.017	0
190.0877	1.1009	EF	E	Correct	1.095	191.4888	0.5171	-1	-0.6136	0.6136	0.6001	56	4.505	0.017	0
193.6072	1.0342	EF	F	Incorrect	1.03	194.9416	0.5171	1	0.3999	0.6001	0.6136	56	4.505	0.017	0
198.1275	2.2852	BA	A	Correct	2.281	200.713	0.4336	1	0.2514	0.7486	0.5332	12	4.505	0.017	0
202.6479	0.934	EF	E	Correct	0.925	203.8822	0.5171	1	0.3864	0.6136	0.6069	56	4.505	0.017	0
205.667	0.9174	AB	A	Correct	0.91	206.8846	0.5171	1	0.2471	0.7529	0.5332	12	4.505	0.017	0
213.2064	0.9341	FE	F	Incorrect	0.925	214.4408	0.5171	1	0.3931	0.6069	0.6202	56	4.505	0.017	0
218.2272	0.8006	CD	D	Incorrect	0.782	219.3114	0.5171	-1	-0.5642	0.5642	0.6747	34	4.505	0.017	0
221.2797	0.934	CD	C	Correct	0.921	222.514	0.5171	1	0.3253	0.6747	0.5642	34	4.505	0.017	0
230.3036	0.8507	EF	E	Correct	0.84	231.4546	0.5171	-1	-0.6202	0.6202	0.6136	56	4.505	0.017	0
233.8232	1.1843	EF	E	Correct	1.176	235.3077	0.5171	-1	-0.6202	0.6202	0.6136	56	4.505	0.017	0
238.3435	0.8007	CD	C	Correct	0.793	239.4444	0.5171	-1	-0.6802	0.6802	0.5642	34	4.505	0.017	0
241.3793	1.6513	DC	C	Correct	1.635	243.3309	0.5171	-1	-0.6802	0.6802	0.5642	34	4.505	0.017	0
245.4159	0.7339	DC	D	Incorrect	0.728	246.4501	0.5171	1	0.4358	0.5642	0.6802	34	4.505	0.017	0
249.9363	0.9841	BA	A	Correct	0.973	251.2206	0.5171	1	0.2429	0.7571	0.5332	12	4.505	0.017	0
257.9594	0.6839	CD	C	Correct	0.671	258.9436	0.5171	1	0.3198	0.6802	0.5716	34	4.505	0.017	0
261.4956	0.8841	DC	C	Correct	0.87	262.6799	0.5171	1	0.3144	0.6856	0.5716	34	4.505	0.017	0
266.016	1.1843	EF	F	Incorrect	1.172	267.5005	0.5171	-1	-0.6136	0.6136	0.6202	56	4.505	0.017	0
271.0367	0.7506	DC	C	Correct	0.744	272.0876	0.5171	1	0.309	0.691	0.5716	34	4.505	0.017	0
278.5762	0.9674	FE	E	Correct	0.96	279.8439	0.5171	1	0.3798	0.6202	0.6136	56	4.505	0.017	0
282.5961	0.7006	FE	E	Correct	0.69	283.5969	0.5171	-1	-0.6267	0.6267	0.6136	56	4.505	0.017	0
286.616	0.9508	DC	C	Correct	0.941	287.8671	0.517	1	0.3037	0.6963	0.5716	34	4.505	0.017	0
289.6518	1.0342	AB	A	Correct	1.026	290.9863	0.517	-1	-0.7612	0.7612	0.5332	12	4.505	0.017	0
293.6884	0.7173	AB	A	Correct	0.708	294.7059	0.5171	-1	-0.7612	0.7612	0.5332	12	4.505	0.017	0
298.2088	1.0675	AB	A	Correct	1.049	299.5766	0.5171	1	0.2388	0.7612	0.5332	12	4.505	0.017	0
301.7617	1.0508	EF	F	Incorrect	1.034	303.1128	0.5171	1	0.3864	0.6136	0.6267	56	4.505	0.017	0
306.7824	0.7173	FE	E	Correct	0.712	307.7999	0.5171	-1	-0.6267	0.6267	0.6202	56	4.505	0.017	0
311.3028	1.0675	CD	C	Correct	1.06	312.6705	0.5171	1	0.2986	0.7014	0.5716	34	4.505	0.017	0
318.8255	0.7006	EF	E	Correct	0.689	319.8263	0.5171	1	0.3733	0.6267	0.6202	56	4.505	0.017	0
321.8613	0.5171	CD	D	Incorrect	0.506	322.6787	0.517	-1	-0.5716	0.5716	0.7065	34	4.505	0.017	0
326.3817	0.9341	CD	C	Correct	0.932	327.616	0.5171	-1	-0.7065	0.7065	0.5716	34	4.505	0.017	0
330.8853	0.834	EF	F	Incorrect	0.817	332.0196	0.5171	-1	-0.6202	0.6202	0.633	56	4.505	0.017	0
334.9053	1.0008	DC	C	Correct	0.997	336.2063	0.5171	1	0.2935	0.7065	0.5716	34	4.505	0.017	0
338.4248	1.201	AB	A	Correct	1.187	339.926	0.5171	1	0.2347	0.7653	0.5332	12	4.505	0.017	0
343.4455	0.834	EF	F	Incorrect	0.816	344.5798	0.5171	1	0.3798	0.6202	0.633	56	4.505	0.017	0
346.965	0.8174	CD	C	Correct	0.815	348.0826	0.5171	-1	-0.7115	0.7115	0.5716	34	4.505	0.017	0
350.0008	0.9175	AB	A	Correct	0.9	351.2185	0.5171	1	0.2307	0.7693	0.5332	12	4.505	0.017	0
354.0375	1.4345	AB	A	Correct	1.417	355.7722	0.5171	1	0.2268	0.7732	0.5332	12	4.505	0.017	0
358.5578	1.0175	BA	A	Correct	1.007	359.8755	0.5171	1	0.2229	0.7771	0.5332	12	4.505	0.017	0
366.0972	0.6839	AB	A	Correct	0.666	367.0814	0.5171	-1	-0.7809	0.7809	0.5332	12	4.505	0.017	0
