onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.0341	1.0342	DC	C	Correct	1.023	2.8189	0.5171	1	0.3132	0.6868	0.5489	34	7.266	0.0172	1e-04
5.5544	1.5346	DC	C	Correct	1.526	7.3892	0.5171	1	0.3078	0.6922	0.5489	34	7.266	0.0172	1e-04
9.5743	1.3511	EF	E	Correct	1.343	11.2256	0.5171	-1	-0.6071	0.6071	0.5488	56	7.266	0.0172	1e-04
13.0938	1.8848	FE	E	Correct	1.882	15.2789	0.5171	1	0.393	0.607	0.5488	56	7.266	0.0172	1e-04
16.1296	1.4845	CD	C	Correct	1.474	17.9143	0.5171	1	0.3025	0.6975	0.5489	34	7.266	0.0172	1e-04
20.6499	1.3511	DC	C	Correct	1.339	22.3012	0.5171	-1	-0.7027	0.7027	0.5489	34	7.266	0.0172	1e-04
25.1702	1.4678	DC	C	Correct	1.45	26.9383	0.517	1	0.2973	0.7027	0.5489	34	7.266	0.0172	1e-04
28.6897	1.8348	BA	A	Correct	1.828	30.8247	0.5171	1	0.2921	0.7079	0.5247	12	7.266	0.0172	1e-04
33.21	1.8681	EF	E	Correct	1.851	35.3784	0.517	-1	-0.6138	0.6138	0.5488	56	7.266	0.0172	1e-04
36.7294	0.7507	EF	F	Incorrect	0.747	37.7803	0.5171	-1	-0.5488	0.5488	0.6137	56	7.266	0.0172	1e-04
41.2498	1.7347	CD	D	Incorrect	1.727	43.2847	0.5171	1	0.4511	0.5489	0.7078	34	7.266	0.0172	1e-04
45.2696	0.8174	CD	D	Incorrect	0.799	46.3872	0.5171	-1	-0.5567	0.5567	0.7078	34	7.266	0.0172	1e-04
48.3221	1.6013	AB	B	Incorrect	1.591	50.2236	0.5171	1	0.4753	0.5247	0.713	12	7.266	0.0172	1e-04
53.8432	1.7347	CD	D	Incorrect	1.728	55.8782	0.4837	1	0.4434	0.5566	0.7078	34	7.266	0.0172	1e-04
56.8623	2.0183	CD	D	Incorrect	2.006	59.1808	0.5171	1	0.4358	0.5642	0.7078	34	7.266	0.0172	1e-04
60.3985	2.3685	FE	E	Correct	2.365	63.0673	0.5171	-1	-0.6137	0.6137	0.5487	56	7.266	0.0172	1e-04
64.435	2.6355	BA	B	Incorrect	2.62	67.3707	0.5171	-1	-0.5329	0.5329	0.713	12	7.266	0.0172	1e-04
69.4557	1.8348	EF	F	Incorrect	1.829	71.5908	0.5171	-1	-0.5487	0.5487	0.6136	56	7.266	0.0172	1e-04
77.9792	1.6514	BA	B	Incorrect	1.647	79.9308	0.5171	-1	-0.5329	0.5329	0.713	12	7.266	0.0172	1e-04
80.5146	2.0183	DC	D	Incorrect	2.009	82.8331	0.5171	-1	-0.5717	0.5717	0.7078	34	7.266	0.0172	1e-04
84.5512	1.9849	CD	D	Incorrect	1.969	86.8364	0.517	-1	-0.5717	0.5717	0.7078	34	7.266	0.0172	1e-04
92.591	1.6847	AB	B	Incorrect	1.667	94.5759	0.5171	-1	-0.5328	0.5328	0.713	12	7.266	0.0172	1e-04
97.6117	2.3519	CD	D	Incorrect	2.347	100.2638	0.367	1	0.4284	0.5716	0.7078	34	7.266	0.0172	1e-04
100.6475	1.9682	DC	D	Incorrect	1.964	102.9159	0.5171	-1	-0.579	0.579	0.7078	34	7.266	0.0172	1e-04
105.1677	1.6013	EF	F	Incorrect	1.593	107.0693	0.5171	-1	-0.5487	0.5487	0.6136	56	7.266	0.0172	1e-04
109.1876	1.4512	DC	D	Incorrect	1.437	110.9391	0.517	-1	-0.5789	0.5789	0.7078	34	7.266	0.0172	1e-04
113.2075	1.6514	BA	B	Incorrect	1.637	115.1591	0.5171	-1	-0.5327	0.5327	0.713	12	7.266	0.0172	1e-04
117.2274	1.7181	DC	D	Incorrect	1.707	119.2457	0.5171	1	0.4212	0.5788	0.7078	34	7.266	0.0172	1e-04
121.2473	2.085	BA	B	Incorrect	2.083	123.6326	0.5171	-1	-0.5327	0.5327	0.713	12	7.266	0.0172	1e-04
125.2672	0.7673	BA	B	Incorrect	0.749	126.3181	0.5171	-1	-0.5326	0.5326	0.713	12	7.266	0.0172	1e-04
133.307	1.5346	EF	F	Incorrect	1.52	135.1418	0.5171	-1	-0.5486	0.5486	0.6136	56	7.266	0.0172	1e-04
