onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5329	1.7514	dF	Correct	1.745	ll	0.5638	0.6002	-0.0364	10	7.266	0.0172	1e-04
4.5529	2.135	bD	Correct	2.12	ll	0.6002	0.5404	0.0598	10	7.266	0.0172	1e-04
8.0889	2.0851	Cf	inCorrect	2.07	wl.u	0.5638	0.8033	-0.2395	30	7.266	0.0172	1e-04
12.1259	1.8348	fE	Correct	1.832	wl.l	0.7444	0.5638	0.1806	20	7.266	0.0172	1e-04
17.1469	1.3177	Ed	Correct	1.31	wl.u	0.7444	0.6002	0.1442	30	7.266	0.0172	1e-04
20.6659	0.8173	dC	Correct	0.81	wl.l	0.8033	0.6002	0.2031	40	7.266	0.0172	1e-04
25.1869	0.9341	eA	Correct	0.916	ww	0.8229	0.7444	0.0785	20	7.266	0.0172	1e-04
28.7229	1.3844	dE	Correct	1.373	wl.u	0.7444	0.6002	0.1442	30	7.266	0.0172	1e-04
36.2619	1.6346	dE	Correct	1.629	wl.u	0.7444	0.6002	0.1442	30	7.266	0.0172	1e-04
40.2989	0.9507	Ab	Correct	0.942	wl.l	0.8229	0.5404	0.2825	60	7.266	0.0172	1e-04
44.8189	2.1017	Db	Correct	2.094	ll	0.6002	0.5404	0.0598	10	7.266	0.0172	1e-04
48.3549	1.5846	Fb	inCorrect	1.567	ll	0.5404	0.5638	-0.0234	20	7.266	0.0172	1e-04
52.3919	1.2176	Cf	Correct	1.207	wl.u	0.8033	0.5638	0.2395	30	7.266	0.0172	1e-04
60.4319	1.2843	dC	Correct	1.275	wl.l	0.8033	0.6002	0.2031	40	7.266	0.0172	1e-04
64.9519	1.9182	Ed	Correct	1.913	wl.u	0.7444	0.6002	0.1442	30	7.266	0.0172	1e-04
68.9719	1.5512	eA	Correct	1.54	ww	0.8229	0.7444	0.0785	20	7.266	0.0172	1e-04
72.9919	1.8014	bD	Correct	1.789	ll	0.6002	0.5404	0.0598	10	7.266	0.0172	1e-04
77.0119	1.2343	fE	Correct	1.226	wl.l	0.7444	0.5638	0.1806	20	7.266	0.0172	1e-04
81.5319	1.8515	Db	inCorrect	1.842	ll	0.5404	0.6002	-0.0598	10	7.266	0.0172	1e-04
85.0509	1.4511	bA	Correct	1.44	wl.l	0.8229	0.5404	0.2825	60	7.266	0.0172	1e-04
88.5869	2.0517	Eb	Correct	2.036	wl.u	0.7444	0.5404	0.204	40	7.266	0.0172	1e-04
93.6079	2.3019	Ed	Correct	2.293	wl.u	0.7444	0.6002	0.1442	30	7.266	0.0172	1e-04
97.1279	1.3009	fC	Correct	1.296	wl.u	0.8033	0.5638	0.2395	30	7.266	0.0172	1e-04
100.6639	1.3177	Ad	Correct	1.311	wl.u	0.8229	0.6002	0.2227	50	7.266	0.0172	1e-04
104.6999	2.8523	Db	Correct	2.837	ll	0.6002	0.5404	0.0598	10	7.266	0.0172	1e-04
109.2209	1.0175	Cb	Correct	1.004	wl.u	0.8033	0.5404	0.2629	50	7.266	0.0172	1e-04
112.7569	1.6347	bF	inCorrect	1.619	ll	0.5404	0.5638	-0.0234	20	7.266	0.0172	1e-04
117.7779	1.8515	Ef	Correct	1.841	wl.l	0.7444	0.5638	0.1806	20	7.266	0.0172	1e-04
121.7969	1.1343	Ce	Correct	1.128	ww	0.8033	0.7444	0.0589	10	7.266	0.0172	1e-04
124.8329	1.5513	Fd	inCorrect	1.54	ll	0.6002	0.5638	0.0364	10	7.266	0.0172	1e-04
128.8699	1.3177	Cb	Correct	1.311	wl.u	0.8033	0.5404	0.2629	50	7.266	0.0172	1e-04
132.9059	1.2676	Ce	Correct	1.259	ww	0.8033	0.7444	0.0589	10	7.266	0.0172	1e-04
137.4269	1.4011	dC	Correct	1.388	wl.l	0.8033	0.6002	0.2031	40	7.266	0.0172	1e-04
140.9629	1.7848	fC	Correct	1.778	wl.u	0.8033	0.5638	0.2395	30	7.266	0.0172	1e-04
145.9839	1.668	Fb	Correct	1.651	ll	0.5638	0.5404	0.0234	20	7.266	0.0172	1e-04
150.0029	3.0024	Cb	omission	0	wl.u	0.5404	0.8033	-0.2629	50	7.266	0.0172	1e-04
155.5079	1.6013	dF	inCorrect	1.587	ll	0.6002	0.5638	0.0364	10	7.266	0.0172	1e-04
159.0439	1.6847	Fd	Correct	1.666	ll	0.5638	0.6002	-0.0364	10	7.266	0.0172	1e-04
163.5639	1.7848	bF	inCorrect	1.769	ll	0.5404	0.5638	-0.0234	20	7.266	0.0172	1e-04
167.1009	1.2677	fC	Correct	1.255	wl.u	0.8033	0.5638	0.2395	30	7.266	0.0172	1e-04
171.1369	1.4511	fA	Correct	1.448	wl.u	0.8229	0.5638	0.2591	40	7.266	0.0172	1e-04
175.1739	1.4012	fE	Correct	1.397	wl.l	0.7444	0.5638	0.1806	20	7.266	0.0172	1e-04
180.1939	0.8674	Af	Correct	0.858	wl.u	0.8229	0.5638	0.2591	40	7.266	0.0172	1e-04
183.7139	1.985	Fd	inCorrect	1.978	ll	0.6002	0.5638	0.0364	10	7.266	0.0172	1e-04
187.2499	0.8173	Af	Correct	0.808	wl.u	0.8229	0.5638	0.2591	40	7.266	0.0172	1e-04
191.2869	0.8673	fE	Correct	0.852	wl.l	0.7444	0.5638	0.1806	20	7.266	0.0172	1e-04
195.8069	1.3511	dF	inCorrect	1.338	ll	0.6002	0.5638	0.0364	10	7.266	0.0172	1e-04
199.8269	1.5679	bF	inCorrect	1.562	ll	0.5404	0.5638	-0.0234	20	7.266	0.0172	1e-04
203.3629	2.3519	Db	Correct	2.341	ll	0.6002	0.5404	0.0598	10	7.266	0.0172	1e-04
207.8829	1.1009	eC	inCorrect	1.093	ww	0.7444	0.8033	-0.0589	10	7.266	0.0172	1e-04
212.4039	1.3511	fA	Correct	1.342	wl.u	0.8229	0.5638	0.2591	40	7.266	0.0172	1e-04
