onset	duration	Stim
16.036	1.018	Face
18.038	1.018	Face
20.038	1.002	Face
22.041	1.018	Face
24.043	1.018	Face
26.043	1.002	Face
28.046	1.018	Face
30.048	1.018	Face
44.159	1.018	Object
46.159	1.003	Object
48.163	1.018	Object
50.164	1.018	Object
52.166	1.018	Object
54.168	1.018	Object
56.169	1.018	Object
58.171	1.018	Object
72.266	1.018	House
74.267	1.018	House
76.269	1.018	House
78.271	1.018	House
80.272	1.018	House
82.274	1.018	House
84.275	1.018	House
86.277	1.018	House
100.372	1.018	Scrambled
102.374	1.018	Scrambled
104.375	1.018	Scrambled
106.377	1.018	Scrambled
108.379	1.018	Scrambled
110.38	1.018	Scrambled
112.382	1.018	Scrambled
114.383	1.018	Scrambled
128.495	1.018	House
130.497	1.018	House
132.498	1.018	House
134.5	1.018	House
136.502	1.018	House
138.503	1.018	House
140.505	1.018	House
142.506	1.018	House
156.618	1.018	Face
158.62	1.018	Face
160.621	1.018	Face
162.623	1.018	Face
164.624	1.018	Face
166.626	1.018	Face
168.628	1.018	Face
170.629	1.018	Face
184.741	1.018	Scrambled
186.743	1.018	Scrambled
188.744	1.018	Scrambled
190.746	1.018	Scrambled
192.747	1.018	Scrambled
194.749	1.018	Scrambled
196.751	1.018	Scrambled
198.752	1.018	Scrambled
212.847	1.018	Object
214.849	1.018	Object
216.851	1.018	Object
218.852	1.018	Object
220.854	1.018	Object
222.855	1.018	Object
224.857	1.018	Object
226.859	1.018	Object
240.954	1.018	Object
242.955	1.018	Object
244.957	1.018	Object
246.958	1.018	Object
248.96	1.018	Object
250.962	1.018	Object
252.963	1.018	Object
254.965	1.017	Object
269.077	1.018	Scrambled
271.078	1.018	Scrambled
273.08	1.018	Scrambled
275.081	1.018	Scrambled
277.083	1.018	Scrambled
279.085	1.018	Scrambled
281.086	1.018	Scrambled
283.088	1.018	Scrambled
297.2	1.018	Face
299.201	1.018	Face
301.203	1.018	Face
303.204	1.018	Face
305.206	1.018	Face
307.208	1.017	Face
309.209	1.018	Face
311.211	1.018	Face
325.323	1.018	House
327.324	1.018	House
329.326	1.018	House
331.327	1.018	House
333.329	1.018	House
335.331	1.018	House
337.332	1.018	House
339.334	1.018	House
353.445	1.018	Scrambled
355.447	1.018	Scrambled
357.449	1.018	Scrambled
359.45	1.017	Scrambled
361.452	1.018	Scrambled
363.454	1.018	Scrambled
365.455	1.018	Scrambled
367.457	1.018	Scrambled
381.568	1.018	House
383.57	1.018	House
385.572	1.018	House
387.573	1.018	House
389.575	1.018	House
391.577	1.018	House
393.577	1.003	House
395.58	1.018	House
409.691	1.018	Object
411.693	1.018	Object
413.695	1.018	Object
415.696	1.018	Object
417.698	1.018	Object
419.7	1.018	Object
421.701	1.018	Object
423.703	1.018	Object
437.814	1.018	Face
439.816	1.018	Face
441.818	1.018	Face
443.819	1.018	Face
445.821	1.017	Face
447.823	1.018	Face
449.824	1.018	Face
451.826	1.018	Face
