onset	duration	RT	Trial_type	Response	SSD
1.5179	0.517	886	Go	correct	n/a
5.5211	0.5171	553	Stop	Failed_stop	200
9.5244	0.517	610	Go	correct	n/a
12.5268	0.5171	587	Stop	Failed_stop	200
16.0463	0.5171	789	Stop	Failed_stop	150
25.037	0.517	865	Go	correct	n/a
29.0402	0.5171	588	Go	correct	n/a
32.0593	0.5171	576	Go	correct	n/a
41.5504	0.5171	0	Stop	succesful_stop	100
45.5536	0.5171	472	Go	correct	n/a
48.0723	0.5171	0	Stop	succesful_stop	50
53.0597	0.5171	801	Go	correct	n/a
56.0788	0.5171	0	Stop	succesful_stop	50
61.0662	0.5171	405	Go	correct	n/a
65.5699	0.5171	0	Stop	succesful_stop	100
68.5723	0.5171	552	Go	correct	n/a
72.0918	0.5171	545	Go	correct	n/a
76.5788	0.5171	641	Go	correct	n/a
81.5829	0.5171	0	Stop	succesful_stop	150
85.0857	0.5171	519	Go	correct	n/a
88.1048	0.5171	429	Go	correct	n/a
93.0922	0.5171	530	Go	correct	n/a
97.0955	0.5171	770	Go	correct	n/a
100.1146	0.5171	508	Go	correct	n/a
104.6016	0.5171	472	Go	Incorrect	n/a
108.6048	0.5171	698	Go	correct	n/a
113.6089	0.5171	670	Go	correct	n/a
117.1117	0.5171	453	Go	correct	n/a
121.6154	0.5171	0	Stop	succesful_stop	200
128.1374	0.517	523	Go	correct	n/a
132.1406	0.5171	561	Go	correct	n/a
137.6284	0.5171	920	Go	correct	n/a
141.6316	0.5171	748	Go	correct	n/a
144.6341	0.5171	667	Go	correct	n/a
148.6373	0.5171	560	Go	correct	n/a
152.6406	0.5171	791	Go	correct	n/a
156.1601	0.5171	695	Stop	Failed_stop	250
160.6471	0.5171	579	Go	correct	n/a
165.6512	0.517	666	Go	correct	n/a
168.1699	0.5171	759	Go	correct	n/a
172.1731	0.5171	713	Go	correct	n/a
177.6609	0.5171	522	Stop	Failed_stop	300
184.6666	0.5171	603	Go	correct	n/a
189.6707	0.5171	638	Stop	Failed_stop	350
193.1735	0.5171	688	Go	correct	n/a
197.1768	0.517	433	Stop	Failed_stop	400
200.1959	0.5171	565	Go	correct	n/a
205.1833	0.517	517	Stop	Failed_stop	400
209.1865	0.5171	489	Stop	Failed_stop	350
212.6894	0.517	517	Go	correct	n/a
216.2089	0.5171	730	Go	correct	n/a
220.2121	0.5171	618	Go	correct	n/a
