onset	duration	Stim
16.038	1.018	Face
18.039	1.018	Face
20.041	1.018	Face
22.041	1.002	Face
24.044	1.018	Face
26.046	1.018	Face
28.048	1.018	Face
30.048	1.002	Face
44.144	1.018	Object
46.144	1.002	Object
48.147	1.018	Object
50.149	1.018	Object
52.15	1.018	Object
54.152	1.018	Object
56.154	1.018	Object
58.155	1.018	Object
72.267	1.018	House
74.268	1.018	House
76.27	1.018	House
78.272	1.018	House
80.273	1.018	House
82.275	1.018	House
84.277	1.018	House
86.278	1.018	House
100.356	1.018	Scrambled
102.358	1.018	Scrambled
104.359	1.018	Scrambled
106.361	1.018	Scrambled
108.363	1.018	Scrambled
110.364	1.018	Scrambled
112.366	1.017	Scrambled
114.368	1.018	Scrambled
128.462	1.018	House
130.464	1.018	House
132.466	1.018	House
134.467	1.018	House
136.469	1.018	House
138.471	1.018	House
140.472	1.018	House
142.474	1.018	House
156.585	1.018	Face
158.587	1.018	Face
160.588	1.018	Face
162.59	1.018	Face
164.592	1.018	Face
166.593	1.018	Face
168.595	1.018	Face
170.597	1.018	Face
184.691	1.018	Scrambled
186.693	1.018	Scrambled
188.695	1.018	Scrambled
190.696	1.018	Scrambled
192.698	1.018	Scrambled
194.7	1.018	Scrambled
196.701	1.018	Scrambled
198.703	1.018	Scrambled
212.798	1.018	Object
214.799	1.018	Object
216.801	1.018	Object
218.802	1.018	Object
220.804	1.018	Object
222.806	1.018	Object
224.807	1.018	Object
226.809	1.018	Object
240.904	1.018	Object
242.905	1.018	Object
244.907	1.018	Object
246.909	1.018	Object
248.91	1.018	Object
250.912	1.018	Object
252.913	1.018	Object
254.915	1.017	Object
269.027	1.018	Scrambled
271.028	1.018	Scrambled
273.03	1.018	Scrambled
275.031	1.018	Scrambled
277.033	1.018	Scrambled
279.035	1.018	Scrambled
281.036	1.018	Scrambled
283.038	1.018	Scrambled
297.133	1.018	Face
299.134	1.018	Face
301.136	1.018	Face
303.138	1.017	Face
305.139	1.018	Face
307.141	1.018	Face
309.142	1.018	Face
311.144	1.017	Face
325.256	1.018	House
327.257	1.018	House
329.259	1.018	House
331.26	1.018	House
333.262	1.018	House
335.264	1.018	House
337.265	1.018	House
339.267	1.018	House
353.378	1.017	Scrambled
355.38	1.018	Scrambled
357.382	1.018	Scrambled
359.383	1.018	Scrambled
361.385	1.017	Scrambled
363.387	1.018	Scrambled
365.388	1.018	Scrambled
367.39	1.018	Scrambled
381.485	1.018	House
383.486	1.018	House
385.488	1.018	House
387.489	1.018	House
389.491	1.018	House
391.493	1.018	House
393.494	1.018	House
395.496	1.018	House
409.607	1.017	Object
411.609	1.018	Object
413.611	1.018	Object
415.612	1.018	Object
417.614	1.017	Object
419.616	1.018	Object
421.617	1.018	Object
423.619	1.018	Object
437.73	1.018	Face
439.732	1.018	Face
441.733	1.018	Face
443.735	1.018	Face
445.737	1.018	Face
447.738	1.018	Face
449.74	1.018	Face
451.742	1.018	Face
