onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.5838	1.1009	AB	A	Correct	1.088	2.4353	0.5171	1	0.0277	0.9723	0.5351	12	7.2443	0.0715	4e-04
4.6038	1.0008	EF	F	Incorrect	0.988	6.3552	0.5171	1	0.3482	0.6518	0.8064	56	7.2443	0.0715	4e-04
9.6245	1.2177	DC	C	Correct	1.202	11.1424	0.5171	1	0.1784	0.8216	0.6752	34	7.2443	0.0715	4e-04
12.6436	1.0509	EF	E	Correct	1.037	13.9947	0.5171	1	0.1936	0.8064	0.6767	56	7.2443	0.0715	4e-04
20.1831	1.3511	CD	C	Correct	1.337	21.8344	0.5171	1	0.1657	0.8343	0.6752	34	7.2443	0.0715	4e-04
24.7034	1.251	BA	A	Correct	1.241	26.2547	0.5171	1	0.0257	0.9743	0.5351	12	7.2443	0.0715	4e-04
28.7234	1.301	DC	C	Correct	1.299	30.3247	0.517	1	0.1538	0.8462	0.6752	34	7.2443	0.0715	4e-04
32.7433	0.9841	FE	E	Correct	0.981	34.0277	0.517	1	0.1798	0.8202	0.6767	56	7.2443	0.0715	4e-04
36.2795	1.1676	CD	C	Correct	1.154	37.7473	0.5171	1	0.1428	0.8572	0.6752	34	7.2443	0.0715	4e-04
41.3002	0.9675	EF	E	Correct	0.955	42.5679	0.5171	1	0.1669	0.8331	0.6767	56	7.2443	0.0715	4e-04
44.8198	1.1509	DC	C	Correct	1.137	46.2709	0.5171	-1	-0.8674	0.8674	0.6752	34	7.2443	0.0715	4e-04
48.8397	1.4178	DC	C	Correct	1.4	50.5577	0.5171	1	0.133	0.867	0.6752	34	7.2443	0.0715	4e-04
53.8604	1.4345	BA	A	Correct	1.42	55.5952	0.5171	-1	-0.9761	0.9761	0.5351	12	7.2443	0.0715	4e-04
56.8795	0.9842	EF	E	Correct	0.966	58.1639	0.5171	-1	-0.845	0.845	0.6767	56	7.2443	0.0715	4e-04
61.3999	1.301	CD	C	Correct	1.284	63.0012	0.5171	1	0.1235	0.8765	0.6752	34	7.2443	0.0715	4e-04
64.9194	1.4178	AB	A	Correct	1.413	66.6375	0.5171	-1	-0.9757	0.9757	0.5351	12	7.2443	0.0715	4e-04
68.9393	0.9675	FE	E	Correct	0.949	70.1904	0.517	1	0.1554	0.8446	0.6767	56	7.2443	0.0715	4e-04
73.4597	1.5346	AB	A	Correct	1.516	75.2945	0.5171	1	0.0248	0.9752	0.5351	12	7.2443	0.0715	4e-04
76.9959	0.8673	BA	A	Correct	0.864	78.1635	0.5171	1	0.023	0.977	0.5351	12	7.2443	0.0715	4e-04
86.0199	0.9507	CD	C	Correct	0.947	87.2709	0.5171	-1	-0.8854	0.8854	0.6752	34	7.2443	0.0715	4e-04
89.039	0.8006	EF	E	Correct	0.799	90.1399	0.5171	1	0.1443	0.8557	0.6767	56	7.2443	0.0715	4e-04
93.5426	1.0676	EF	E	Correct	1.061	94.9104	0.5171	1	0.1339	0.8661	0.6767	56	7.2443	0.0715	4e-04
96.5784	1.568	BA	A	Correct	1.555	98.4466	0.5171	1	0.0214	0.9786	0.5351	12	7.2443	0.0715	4e-04
100.6151	1.4011	DC	C	Correct	1.387	102.3164	0.5171	-1	-0.885	0.885	0.6752	34	7.2443	0.0715	4e-04
105.6358	0.7506	CD	C	Correct	0.74	106.6867	0.517	1	0.1154	0.8846	0.6752	34	7.2443	0.0715	4e-04
108.6716	0.9341	FE	E	Correct	0.928	109.9059	0.5171	-1	-0.8756	0.8756	0.6767	56	7.2443	0.0715	4e-04
112.7082	0.8841	DC	C	Correct	0.882	113.8925	0.5171	1	0.1072	0.8928	0.6752	34	7.2443	0.0715	4e-04
118.2127	0.8673	DC	C	Correct	0.865	119.3803	0.5171	-1	-0.9005	0.9005	0.6752	34	7.2443	0.0715	4e-04
121.7322	1.4345	EF	E	Correct	1.419	123.4669	0.5171	1	0.1248	0.8752	0.6767	56	7.2443	0.0715	4e-04
129.7554	1.4345	AB	A	Correct	1.424	131.4901	0.5171	1	0.0198	0.9802	0.5351	12	7.2443	0.0715	4e-04
132.7912	0.9508	EF	E	Correct	0.943	134.0422	0.5171	-1	-0.8842	0.8842	0.6767	56	7.2443	0.0715	4e-04
142.3156	0.8173	EF	E	Correct	0.799	143.4165	0.5171	1	0.1162	0.8838	0.6767	56	7.2443	0.0715	4e-04
145.8518	1.0508	FE	E	Correct	1.045	147.2029	0.5171	-1	-0.8921	0.8921	0.6767	56	7.2443	0.0715	4e-04
150.3721	0.9508	CD	C	Correct	0.936	151.6231	0.5171	-1	-0.9001	0.9001	0.6752	34	7.2443	0.0715	4e-04
154.3921	1.0842	FE	E	Correct	1.074	155.7765	0.5171	1	0.1083	0.8917	0.6767	56	7.2443	0.0715	4e-04
157.9116	1.1843	DC	C	Correct	1.172	159.3961	0.5171	1	0.1003	0.8997	0.6752	34	7.2443	0.0715	4e-04
160.9474	1.0508	EF	E	Correct	1.046	162.2985	0.5171	-1	-0.8994	0.8994	0.6767	56	7.2443	0.0715	4e-04
166.4685	0.9008	DC	C	Correct	0.895	167.6695	0.5171	1	0.0931	0.9069	0.6752	34	7.2443	0.0715	4e-04
169.4876	1.3178	BA	A	Correct	1.315	171.1056	0.5171	1	0.0184	0.9816	0.5351	12	7.2443	0.0715	4e-04
174.5084	0.7006	CD	C	Correct	0.685	175.5092	0.5171	1	0.0865	0.9135	0.6752	34	7.2443	0.0715	4e-04
178.5283	0.9508	BA	A	Correct	0.934	179.7793	0.5171	1	0.0171	0.9829	0.5351	12	7.2443	0.0715	4e-04
181.5474	1.0509	CD	D	Incorrect	1.039	182.8985	0.5171	-1	-0.6752	0.6752	0.9197	34	7.2443	0.0715	4e-04
