onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5335	1.151	Ab	Correct	1.143	wl.l	0.7293	0.5734	0.1559	60	4.7923	0.0152	0
4.0695	0.7173	Cf	Correct	0.708	wl.u	0.7984	0.628	0.1704	30	4.7923	0.0152	0
8.1065	1.4012	Af	Correct	1.399	wl.u	0.7293	0.628	0.1013	40	4.7923	0.0152	0
12.6095	0.6172	Ac	inCorrect	0.61	ww	0.7984	0.7293	0.0691	10	4.7923	0.0152	0
17.1305	1.1843	Ef	inCorrect	1.171	wl.l	0.628	0.6853	-0.0573	20	4.7923	0.0152	0
21.1505	1.0508	Ce	Correct	1.039	ww	0.7984	0.6853	0.1131	10	4.7923	0.0152	0
24.6695	1.2176	bD	inCorrect	1.211	ll	0.5734	0.5375	0.0359	10	4.7923	0.0152	0
28.6895	1.3011	Cf	Correct	1.296	wl.u	0.7984	0.628	0.1704	30	4.7923	0.0152	0
33.2095	0.9674	Ac	inCorrect	0.958	ww	0.7984	0.7293	0.0691	10	4.7923	0.0152	0
36.2455	0.8507	Ce	Correct	0.844	ww	0.7984	0.6853	0.1131	10	4.7923	0.0152	0
41.2665	1.1176	bA	Correct	1.111	wl.l	0.7293	0.5734	0.1559	60	4.7923	0.0152	0
44.7855	1.568	dF	Correct	1.55	ll	0.628	0.5375	0.0905	10	4.7923	0.0152	0
48.8055	1.4011	Fd	Correct	1.395	ll	0.628	0.5375	0.0905	10	4.7923	0.0152	0
52.3425	1.4678	bE	Correct	1.455	wl.u	0.6853	0.5734	0.1119	40	4.7923	0.0152	0
57.3625	1.3344	dE	Correct	1.319	wl.u	0.6853	0.5375	0.1478	30	4.7923	0.0152	0
60.8825	0.8174	Cb	Correct	0.804	wl.u	0.7984	0.5734	0.225	50	4.7923	0.0152	0
65.4025	1.7514	Ad	Correct	1.734	wl.u	0.7293	0.5375	0.1918	50	4.7923	0.0152	0
68.9225	1.201	Fd	Correct	1.183	ll	0.628	0.5375	0.0905	10	4.7923	0.0152	0
73.4425	1.201	Fb	Correct	1.197	ll	0.628	0.5734	0.0546	20	4.7923	0.0152	0
76.9625	0.7172	dE	Correct	0.699	wl.u	0.6853	0.5375	0.1478	30	4.7923	0.0152	0
81.4825	0.9007	Db	inCorrect	0.884	ll	0.5734	0.5375	0.0359	10	4.7923	0.0152	0
89.5055	0.834	fA	Correct	0.823	wl.u	0.7293	0.628	0.1013	40	4.7923	0.0152	0
93.5255	1.3845	Ae	inCorrect	1.378	ww	0.6853	0.7293	-0.044	20	4.7923	0.0152	0
96.5615	0.9841	bA	Correct	0.968	wl.l	0.7293	0.5734	0.1559	60	4.7923	0.0152	0
101.0815	1.3011	bD	inCorrect	1.292	ll	0.5734	0.5375	0.0359	10	4.7923	0.0152	0
105.1015	0.9341	Cb	Correct	0.923	wl.u	0.7984	0.5734	0.225	50	4.7923	0.0152	0
109.1215	1.1342	Af	Correct	1.123	wl.u	0.7293	0.628	0.1013	40	4.7923	0.0152	0
113.1415	0.9675	dA	Correct	0.962	wl.u	0.7293	0.5375	0.1918	50	4.7923	0.0152	0
