onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.0341	1.1009	BA	A	Correct	1.091	2.8856	0.5171	1	0.0707	0.9293	0.5516	12	7.6763	0.0553	8e-04
4.5537	0.9674	FE	E	Correct	0.954	6.2717	0.5171	-1	-0.8603	0.8603	0.6421	56	7.6763	0.0553	8e-04
9.5744	0.8174	DC	C	Correct	0.804	11.1424	0.5171	1	0.0845	0.9155	0.4984	34	7.6763	0.0553	8e-04
13.094	0.8674	EF	E	Correct	0.857	14.712	0.5171	1	0.1404	0.8596	0.6421	56	7.6763	0.0553	8e-04
17.1139	1.1009	EF	E	Correct	1.098	18.9655	0.517	1	0.1326	0.8674	0.6421	56	7.6763	0.0553	8e-04
21.1339	1.1843	BA	A	Correct	1.168	23.0688	0.5171	1	0.0668	0.9332	0.5516	12	7.6763	0.0553	8e-04
25.1538	1.151	CD	C	Correct	1.134	27.0554	0.5171	-1	-0.9202	0.9202	0.4984	34	7.6763	0.0553	8e-04
29.6742	1.251	EF	E	Correct	1.233	31.2255	0.5171	1	0.1253	0.8747	0.6421	56	7.6763	0.0553	8e-04
32.71	1.3511	AB	A	Correct	1.338	34.3614	0.5171	1	0.0631	0.9369	0.5516	12	7.6763	0.0553	8e-04
36.2462	0.8341	DC	C	Correct	0.825	37.3805	0.5171	-1	-0.9194	0.9194	0.4984	34	7.6763	0.0553	8e-04
41.267	1.151	BA	B	Incorrect	1.137	42.7182	0.5171	-1	-0.5516	0.5516	0.9404	12	7.6763	0.0553	8e-04
48.3061	2.0183	BA	A	Correct	2.015	50.6247	0.5171	1	0.0596	0.9404	0.5511	12	7.6763	0.0553	8e-04
52.8265	1.301	BA	A	Correct	1.283	54.4278	0.5171	1	0.0563	0.9437	0.5511	12	7.6763	0.0553	8e-04
57.8472	0.9341	AB	A	Correct	0.927	59.0816	0.5171	1	0.0532	0.9468	0.5511	12	7.6763	0.0553	8e-04
61.3668	1.9182	DC	C	Correct	1.907	63.5853	0.5171	1	0.0813	0.9187	0.4984	34	7.6763	0.0553	8e-04
64.4026	1.5179	AB	A	Correct	1.501	66.2207	0.5171	1	0.0502	0.9498	0.5511	12	7.6763	0.0553	8e-04
69.9238	1.4512	FE	E	Correct	1.436	71.6752	0.5171	-1	-0.8817	0.8817	0.6421	56	7.6763	0.0553	8e-04
72.4592	1.3344	AB	B	Incorrect	1.329	74.0938	0.5171	1	0.4489	0.5511	0.9526	12	7.6763	0.0553	8e-04
76.4958	1.3011	DC	C	Correct	1.288	78.0971	0.5171	1	0.0768	0.9232	0.4984	34	7.6763	0.0553	8e-04
85.5199	1.3344	CD	C	Correct	1.324	87.1545	0.5171	1	0.0726	0.9274	0.4984	34	7.6763	0.0553	8e-04
88.5557	0.9841	CD	C	Correct	0.973	89.8401	0.517	1	0.0685	0.9315	0.4984	34	7.6763	0.0553	8e-04
97.0793	1.1176	EF	E	Correct	1.104	98.4971	0.5171	-1	-0.881	0.881	0.6421	56	7.6763	0.0553	8e-04
101.0993	1.5012	AB	A	Correct	1.492	102.9007	0.5171	1	0.0474	0.9526	0.576	12	7.6763	0.0553	8e-04
108.6388	1.1342	BA	A	Correct	1.13	110.0733	0.517	1	0.0448	0.9552	0.576	12	7.6763	0.0553	8e-04
113.6595	1.3344	AB	A	Correct	1.318	115.2942	0.5171	-1	-0.9577	0.9577	0.576	12	7.6763	0.0553	8e-04
118.1799	1.201	EF	F	Incorrect	1.192	119.6811	0.5171	-1	-0.6421	0.6421	0.8803	56	7.6763	0.0553	8e-04
121.199	1.3011	CD	C	Correct	1.298	122.8003	0.5171	-1	-0.9353	0.9353	0.4984	34	7.6763	0.0553	8e-04
124.7352	1.3345	AB	A	Correct	1.33	126.3699	0.5171	1	0.0431	0.9569	0.576	12	7.6763	0.0553	8e-04
128.7719	1.5012	BA	A	Correct	1.483	130.5733	0.5171	1	0.0407	0.9593	0.576	12	7.6763	0.0553	8e-04
133.2922	1.4512	FE	F	Incorrect	1.444	135.0437	0.5171	-1	-0.6415	0.6415	0.8803	56	7.6763	0.0553	8e-04
137.3122	1.7514	EF	E	Correct	1.733	139.3639	0.5171	1	0.1197	0.8803	0.641	56	7.6763	0.0553	8e-04
140.8651	1.668	FE	E	Correct	1.655	142.8334	0.5171	-1	-0.8869	0.8869	0.641	56	7.6763	0.0553	8e-04
148.905	1.4845	CD	C	Correct	1.478	150.6898	0.5171	1	0.0655	0.9345	0.4984	34	7.6763	0.0553	8e-04
158.4294	1.2511	AB	A	Correct	1.244	159.9807	0.5171	-1	-0.9615	0.9615	0.576	12	7.6763	0.0553	8e-04
160.9649	0.9174	FE	F	Incorrect	0.901	162.1825	0.5171	-1	-0.641	0.641	0.8862	56	7.6763	0.0553	8e-04
165.9856	1.5013	FE	E	Correct	1.489	167.7871	0.5171	1	0.1138	0.8862	0.6405	56	7.6763	0.0553	8e-04
169.5052	1.3678	BA	A	Correct	1.354	171.1732	0.5171	1	0.0392	0.9608	0.576	12	7.6763	0.0553	8e-04
178.5292	0.9508	FE	E	Correct	0.939	179.7802	0.5171	1	0.1075	0.8925	0.6405	56	7.6763	0.0553	8e-04
182.0488	1.0842	AB	A	Correct	1.082	183.4332	0.5171	1	0.0371	0.9629	0.576	12	7.6763	0.0553	8e-04
186.0687	1.3011	CD	C	Correct	1.284	187.67	0.5171	-1	-0.9381	0.9381	0.4984	34	7.6763	0.0553	8e-04
190.5891	1.5179	BA	A	Correct	1.509	192.4072	0.5171	1	0.035	0.965	0.576	12	7.6763	0.0553	8e-04
194.609	2.035	FE	E	Correct	2.023	196.9443	0.1834	1	0.1016	0.8984	0.6405	56	7.6763	0.0553	8e-04
197.1444	1.9683	BA	A	Correct	1.964	199.4129	0.5171	1	0.0331	0.9669	0.576	12	7.6763	0.0553	8e-04
201.1811	1.2843	AB	A	Correct	1.278	202.7657	0.5171	1	0.0312	0.9688	0.576	12	7.6763	0.0553	8e-04
206.2018	1.8182	DC	C	Correct	1.807	208.3202	0.5171	1	0.0626	0.9374	0.4984	34	7.6763	0.0553	8e-04
213.2409	1.1676	AB	A	Correct	1.155	214.7088	0.5171	1	0.0295	0.9705	0.576	12	7.6763	0.0553	8e-04
218.7621	0.9174	CD	C	Correct	0.9	219.9798	0.5171	-1	-0.9408	0.9408	0.4984	34	7.6763	0.0553	8e-04
222.2816	1.0009	AB	A	Correct	0.991	223.5827	0.5171	1	0.0279	0.9721	0.576	12	7.6763	0.0553	8e-04
226.3016	1.0675	FE	E	Correct	1.056	227.6694	0.5171	-1	-0.904	0.904	0.6405	56	7.6763	0.0553	8e-04
230.822	1.0008	DC	C	Correct	0.986	232.123	0.5171	-1	-0.9401	0.9401	0.4984	34	7.6763	0.0553	8e-04
238.3448	1.6847	AB	A	Correct	1.679	240.3297	0.5171	-1	-0.9737	0.9737	0.576	12	7.6763	0.0553	8e-04
242.8651	1.7681	FE	E	Correct	1.758	244.9335	0.4504	-1	-0.9033	0.9033	0.6405	56	7.6763	0.0553	8e-04
246.3847	1.1342	BA	A	Correct	1.127	247.8192	0.5171	-1	-0.9729	0.9729	0.576	12	7.6763	0.0553	8e-04
249.9042	1.6013	FE	F	Incorrect	1.585	251.8058	0.5171	1	0.3595	0.6405	0.9026	56	7.6763	0.0553	8e-04
253.4404	1.0843	DC	C	Correct	1.071	254.8249	0.5171	1	0.0607	0.9393	0.4984	34	7.6763	0.0553	8e-04
257.9608	1.1509	FE	F	Incorrect	1.141	259.412	0.5171	-1	-0.6604	0.6604	0.9026	56	7.6763	0.0553	8e-04
262.4812	1.5846	CD	C	Correct	1.569	264.366	0.5171	1	0.0573	0.9427	0.4984	34	7.6763	0.0553	8e-04
266.5011	1.4846	FE	E	Correct	1.473	268.2859	0.5171	1	0.0974	0.9026	0.6599	56	7.6763	0.0553	8e-04
269.5369	1.4012	AB	A	Correct	1.388	271.2383	0.5171	1	0.0279	0.9721	0.576	12	7.6763	0.0553	8e-04
275.0581	0.8841	DC	C	Correct	0.874	276.2424	0.5171	-1	-0.9459	0.9459	0.4984	34	7.6763	0.0553	8e-04
278.5777	1.3344	FE	E	Correct	1.321	280.2123	0.5171	1	0.092	0.908	0.6599	56	7.6763	0.0553	8e-04
281.6135	3.9866	AB	n/a	omission	0	285.9003	0.5171	0	0	0	0	0	7.6763	0.0553	8e-04
289.62	1.251	BA	A	Correct	1.246	291.1713	0.5171	1	0.0264	0.9736	0.576	12	7.6763	0.0553	8e-04
294.6408	1.3177	EF	E	Correct	1.315	296.2588	0.5171	1	0.0869	0.9131	0.6599	56	7.6763	0.0553	8e-04
298.6607	1.1843	CD	C	Correct	1.171	300.1453	0.5171	1	0.0549	0.9451	0.4984	34	7.6763	0.0553	8e-04
302.1803	0.9341	DC	C	Correct	0.916	303.4146	0.5171	-1	-0.9482	0.9482	0.4984	34	7.6763	0.0553	8e-04
