onset	duration	Stim
16.037	1.018	Face
18.039	1.018	Face
20.041	1.018	Face
22.042	1.018	Face
24.044	1.018	Face
26.044	1.003	Face
28.047	1.018	Face
30.047	1.002	Face
44.16	1.018	Object
46.16	1.003	Object
48.164	1.018	Object
50.165	1.018	Object
52.167	1.018	Object
54.168	1.018	Object
56.17	1.018	Object
58.172	1.018	Object
72.267	1.017	House
74.268	1.018	House
76.27	1.018	House
78.272	1.018	House
80.273	1.018	House
82.275	1.018	House
84.276	1.018	House
86.278	1.018	House
100.39	1.018	Scrambled
102.391	1.018	Scrambled
104.393	1.018	Scrambled
106.394	1.018	Scrambled
108.396	1.018	Scrambled
110.398	1.018	Scrambled
112.399	1.018	Scrambled
114.401	1.018	Scrambled
128.513	1.018	House
130.514	1.018	House
132.516	1.018	House
134.517	1.018	House
136.519	1.018	House
138.521	1.018	House
140.522	1.018	House
142.524	1.018	House
156.636	1.018	Face
158.637	1.018	Face
160.639	1.018	Face
162.64	1.018	Face
164.642	1.018	Face
166.644	1.018	Face
168.645	1.018	Face
170.647	1.018	Face
184.759	1.018	Scrambled
186.76	1.018	Scrambled
188.762	1.018	Scrambled
190.763	1.018	Scrambled
192.765	1.018	Scrambled
194.767	1.018	Scrambled
196.768	1.018	Scrambled
198.77	1.017	Scrambled
212.882	1.018	Object
214.883	1.018	Object
216.885	1.018	Object
218.886	1.018	Object
220.888	1.018	Object
222.89	1.018	Object
224.891	1.018	Object
226.893	1.018	Object
241.005	1.018	Object
243.006	1.018	Object
245.008	1.018	Object
247.009	1.018	Object
249.011	1.018	Object
251.013	1.017	Object
253.014	1.018	Object
255.016	1.018	Object
269.128	1.018	Scrambled
271.129	1.018	Scrambled
273.131	1.018	Scrambled
275.132	1.018	Scrambled
277.134	1.018	Scrambled
279.136	1.018	Scrambled
281.137	1.018	Scrambled
283.139	1.018	Scrambled
297.25	1.018	Face
299.252	1.018	Face
301.254	1.018	Face
303.255	1.018	Face
305.257	1.018	Face
307.259	1.018	Face
309.26	1.018	Face
311.262	1.018	Face
325.373	1.018	House
327.375	1.018	House
329.377	1.018	House
331.378	1.018	House
333.38	1.018	House
335.382	1.018	House
337.383	1.018	House
339.385	1.018	House
353.496	1.018	Scrambled
355.498	1.018	Scrambled
357.5	1.018	Scrambled
359.501	1.018	Scrambled
361.503	1.018	Scrambled
363.505	1.018	Scrambled
365.506	1.018	Scrambled
367.508	1.018	Scrambled
381.619	1.018	House
383.621	1.018	House
385.623	1.018	House
387.624	1.018	House
389.626	1.018	House
391.628	1.018	House
393.629	1.018	House
395.631	1.018	House
409.742	1.018	Object
411.744	1.018	Object
413.746	1.018	Object
415.747	1.018	Object
417.749	1.018	Object
419.751	1.018	Object
421.752	1.018	Object
423.754	1.018	Object
437.849	1.018	Face
439.85	1.018	Face
441.852	1.018	Face
443.854	1.018	Face
445.855	1.018	Face
447.857	1.018	Face
449.859	1.018	Face
451.86	1.018	Face
