onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.5345	1.9516	DC	D	Incorrect	1.936	3.7864	0.2668	-1	-0.5	0.5	0.5	34	8.177	0.0683	1e-04
4.5536	1.6514	AB	A	Correct	1.634	6.5052	0.5171	1	0.5	0.5	0.5	12	8.177	0.0683	1e-04
8.0898	1.8349	AB	A	Correct	1.817	10.2249	0.5171	1	0.4658	0.5342	0.5	12	8.177	0.0683	1e-04
12.6102	1.3177	AB	A	Correct	1.313	14.2281	0.5171	-1	-0.566	0.566	0.5	12	8.177	0.0683	1e-04
17.6309	1.3511	FE	E	Correct	1.336	19.2822	0.5171	1	0.5	0.5	0.5	56	8.177	0.0683	1e-04
21.6508	1.4178	DC	C	Correct	1.402	23.3689	0.5171	1	0.5	0.5	0.5	34	8.177	0.0683	1e-04
24.6699	2.1184	BA	A	Correct	2.116	27.0885	0.5171	1	0.4341	0.5659	0.5	12	8.177	0.0683	1e-04
28.6898	1.5346	AB	A	Correct	1.516	30.5247	0.517	-1	-0.5956	0.5956	0.5	12	8.177	0.0683	1e-04
32.2427	1.2344	FE	E	Correct	1.218	33.7773	0.5171	-1	-0.5342	0.5342	0.5	56	8.177	0.0683	1e-04
37.7639	1.0174	EF	E	Correct	1.013	39.0816	0.5171	1	0.4659	0.5341	0.5	56	8.177	0.0683	1e-04
41.2834	1.0175	EF	E	Correct	1.01	42.6011	0.5171	1	0.4341	0.5659	0.5	56	8.177	0.0683	1e-04
45.3033	1.5346	AB	A	Correct	1.522	47.1381	0.5171	1	0.4045	0.5955	0.5	12	8.177	0.0683	1e-04
48.3391	1.618	BA	A	Correct	1.614	50.2573	0.5171	1	0.3768	0.6232	0.5	12	8.177	0.0683	1e-04
53.3598	1.3011	FE	E	Correct	1.296	54.9611	0.5171	-1	-0.5956	0.5956	0.5	56	8.177	0.0683	1e-04
57.8801	1.5012	EF	E	Correct	1.488	59.6816	0.5171	-1	-0.5955	0.5955	0.5	56	8.177	0.0683	1e-04
65.9033	0.784	EF	E	Correct	0.766	66.9875	0.5171	1	0.4045	0.5955	0.5	56	8.177	0.0683	1e-04
73.9431	1.201	BA	A	Correct	1.196	75.4443	0.5171	1	0.3511	0.6489	0.5	12	8.177	0.0683	1e-04
76.4785	1.1843	BA	A	Correct	1.176	77.9631	0.517	1	0.3271	0.6729	0.5	12	8.177	0.0683	1e-04
84.5184	1.0008	BA	A	Correct	0.982	85.8027	0.5171	1	0.3048	0.6952	0.5	12	8.177	0.0683	1e-04
89.0387	1.6847	DC	C	Correct	1.671	91.0236	0.5171	1	0.4658	0.5342	0.5	34	8.177	0.0683	1e-04
93.0586	1.4011	DC	C	Correct	1.388	94.76	0.5171	1	0.434	0.566	0.5	34	8.177	0.0683	1e-04
96.5948	0.9841	EF	E	Correct	0.978	97.8792	0.5171	1	0.3769	0.6231	0.5	56	8.177	0.0683	1e-04
102.1159	1.0842	CD	D	Incorrect	1.071	103.5004	0.5171	-1	-0.5	0.5	0.5956	34	8.177	0.0683	1e-04
104.6513	1.201	BA	A	Correct	1.195	106.1525	0.5171	1	0.2839	0.7161	0.5	12	8.177	0.0683	1e-04
109.672	0.8841	EF	E	Correct	0.877	110.8563	0.5171	1	0.3511	0.6489	0.5	56	8.177	0.0683	1e-04
112.7078	1.5346	CD	C	Correct	1.524	114.5427	0.517	1	0.4044	0.5956	0.4999	34	8.177	0.0683	1e-04
117.7286	1.7013	DC	C	Correct	1.683	119.7302	0.5171	-1	-0.6233	0.6233	0.4999	34	8.177	0.0683	1e-04
121.2648	1.301	FE	E	Correct	1.294	122.8661	0.517	1	0.3271	0.6729	0.5	56	8.177	0.0683	1e-04
126.2855	1.0842	BA	A	Correct	1.068	127.6699	0.5171	1	0.2645	0.7355	0.5	12	8.177	0.0683	1e-04
129.3046	1.4512	BA	A	Correct	1.445	131.056	0.5171	1	0.2465	0.7535	0.5	12	8.177	0.0683	1e-04
132.8408	1.3344	DC	D	Incorrect	1.325	134.4754	0.5171	-1	-0.4999	0.4999	0.6232	34	8.177	0.0683	1e-04
137.3611	0.9841	EF	E	Correct	0.975	138.6455	0.5171	-1	-0.6952	0.6952	0.5	56	8.177	0.0683	1e-04
141.8814	1.1176	EF	E	Correct	1.106	143.2993	0.517	-1	-0.6952	0.6952	0.5	56	8.177	0.0683	1e-04
148.9205	1.8181	DC	C	Correct	1.807	151.0389	0.517	1	0.3768	0.6232	0.4999	34	8.177	0.0683	1e-04
154.4416	1.4512	DC	C	Correct	1.443	156.193	0.5171	1	0.3511	0.6489	0.4999	34	8.177	0.0683	1e-04
156.977	1.1009	BA	A	Correct	1.084	158.3781	0.5171	-1	-0.7704	0.7704	0.5	12	8.177	0.0683	1e-04
161.4973	1.1676	BA	A	Correct	1.149	162.9485	0.5171	1	0.2297	0.7703	0.5	12	8.177	0.0683	1e-04
166.0176	1.0509	FE	E	Correct	1.035	167.3687	0.5171	-1	-0.6951	0.6951	0.5	56	8.177	0.0683	1e-04
