onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5168	0.9674	Cd	Correct	0.953	wl.l	0.9915	0.5338	0.4577	40	8.177	0.0683	1e-04
4.5368	1.0341	bD	Correct	1.032	ll	0.5338	0.4999	0.0339	10	8.177	0.0683	1e-04
8.0728	0.884	fA	Correct	0.877	wl.u	0.9977	0.5	0.4977	40	8.177	0.0683	1e-04
13.0938	1.0008	bA	Correct	0.991	wl.l	0.9977	0.4999	0.4978	60	8.177	0.0683	1e-04
16.1288	1.201	dF	inCorrect	1.188	ll	0.5338	0.5	0.0338	10	8.177	0.0683	1e-04
21.1498	1.0509	dE	inCorrect	1.046	wl.u	0.5338	0.9923	-0.4585	30	8.177	0.0683	1e-04
24.1858	1.1676	Db	Correct	1.164	ll	0.5338	0.4999	0.0339	10	8.177	0.0683	1e-04
32.7098	1.1843	Ce	Correct	1.173	ww	0.9915	0.9923	-8e-04	10	8.177	0.0683	1e-04
36.7288	1.1176	Eb	Correct	1.112	wl.u	0.9923	0.4999	0.4924	40	8.177	0.0683	1e-04
40.7488	1.4178	eA	inCorrect	1.401	ww	0.9923	0.9977	-0.0054	20	8.177	0.0683	1e-04
44.2858	1.1843	Ab	Correct	1.167	wl.l	0.9977	0.4999	0.4978	60	8.177	0.0683	1e-04
49.3058	1.1176	Ae	inCorrect	1.099	ww	0.9923	0.9977	-0.0054	20	8.177	0.0683	1e-04
53.3428	1.2177	cA	inCorrect	1.21	ww	0.9915	0.9977	-0.0062	10	8.177	0.0683	1e-04
56.8618	1.251	dF	inCorrect	1.239	ll	0.5338	0.5	0.0338	10	8.177	0.0683	1e-04
60.8818	1.5345	eC	inCorrect	1.522	ww	0.9923	0.9915	8e-04	10	8.177	0.0683	1e-04
65.4028	1.2677	Cf	Correct	1.261	wl.u	0.9915	0.5	0.4915	30	8.177	0.0683	1e-04
69.4228	0.9341	fA	Correct	0.919	wl.u	0.9977	0.5	0.4977	40	8.177	0.0683	1e-04
76.4618	1.2344	bF	inCorrect	1.231	ll	0.4999	0.5	-1e-04	20	8.177	0.0683	1e-04
81.4818	1.1676	Ab	Correct	1.154	wl.l	0.9977	0.4999	0.4978	60	8.177	0.0683	1e-04
85.0018	1.7847	Fd	inCorrect	1.781	ll	0.5338	0.5	0.0338	10	8.177	0.0683	1e-04
89.0218	1.2343	bA	Correct	1.227	wl.l	0.9977	0.4999	0.4978	60	8.177	0.0683	1e-04
96.5608	1.3177	eA	inCorrect	1.301	ww	0.9923	0.9977	-0.0054	20	8.177	0.0683	1e-04
101.5818	1.4512	Ab	Correct	1.448	wl.l	0.9977	0.4999	0.4978	60	8.177	0.0683	1e-04
105.1008	1.3344	Cf	Correct	1.332	wl.u	0.9915	0.5	0.4915	30	8.177	0.0683	1e-04
108.6378	1.3677	Ef	Correct	1.364	wl.l	0.9923	0.5	0.4923	20	8.177	0.0683	1e-04
112.6738	2.0016	Fb	Correct	1.995	ll	0.5	0.4999	1e-04	20	8.177	0.0683	1e-04
