onset	duration	RT	Trial_type	Response	SSD
0.5338	0.5171	0	Stop	succesful_stop	200
5.0374	0.5171	0	Stop	succesful_stop	250
8.5403	0.5171	0	Stop	succesful_stop	300
12.0598	0.5171	761	Go	correct	n/a
16.0631	0.517	799	Go	correct	n/a
21.0504	0.5171	738	Go	correct	n/a
24.5533	0.5171	679	Go	correct	n/a
28.0728	0.5171	779	Go	correct	n/a
33.5606	0.5171	768	Go	correct	n/a
36.563	0.5171	797	Go	correct	n/a
41.5671	0.5171	685	Go	correct	n/a
49.0732	0.5171	1089	Go	Incorrect	n/a
52.576	0.5171	832	Go	correct	n/a
57.0797	0.5171	0	Stop	succesful_stop	350
61.0829	0.5171	765	Go	correct	n/a
64.1021	0.517	886	Go	correct	n/a
68.1053	0.5171	813	Go	Incorrect	n/a
73.0927	0.5171	828	Go	correct	n/a
77.0959	0.5171	804	Go	correct	n/a
84.1183	0.5171	767	Go	correct	n/a
89.1057	0.5171	749	Go	correct	n/a
93.1089	0.5171	0	Stop	succesful_stop	400
96.6118	0.5171	0	Stop	succesful_stop	450
101.6159	0.517	0	Stop	succesful_stop	500
104.1346	0.5171	0	Stop	succesful_stop	550
109.6224	0.517	1316	Go	Incorrect	n/a
113.6256	0.5171	1011	Go	correct	n/a
116.1443	0.5171	828	Go	correct	n/a
120.6313	0.5171	767	Go	correct	n/a
128.1541	0.5171	751	Stop	Failed_stop	600
133.6419	0.517	697	Go	correct	n/a
136.6443	0.5171	843	Stop	Failed_stop	650
141.148	0.517	770	Stop	Failed_stop	700
144.6508	0.5171	1050	Go	correct	n/a
148.654	0.5171	1106	Go	correct	n/a
153.6581	0.5171	920	Go	correct	n/a
156.1768	0.5171	856	Stop	Failed_stop	750
160.1801	0.5171	911	Go	Incorrect	n/a
165.1675	0.517	946	Go	Incorrect	n/a
169.1707	0.5171	950	Go	Incorrect	n/a
172.1898	0.5171	934	Go	Incorrect	n/a
176.1931	0.5171	819	Go	Incorrect	n/a
180.6801	0.517	945	Go	correct	n/a
188.6866	0.517	959	Stop	Failed_stop	800
193.6906	0.5171	1000	Go	correct	n/a
196.2093	0.5171	1001	Go	correct	n/a
201.1967	0.5171	981	Stop	Failed_stop	850
204.6996	0.517	1179	Go	correct	n/a
209.2032	0.5171	909	Stop	Failed_stop	900
212.2223	0.5171	825	Stop	Failed_stop	950
217.7101	0.5171	847	Go	correct	n/a
221.7134	0.5171	901	Go	correct	n/a
224.2321	0.5171	1134	Go	correct	n/a
229.2195	0.5171	1115	Go	Incorrect	n/a
233.7231	0.5171	981	Stop	Failed_stop	1000
236.2418	0.5171	1353	Go	correct	n/a
240.7288	0.5171	995	Go	Incorrect	n/a
244.7321	0.5171	1036	Stop	Failed_stop	1000
