onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.05	1.4012	CD	C	Correct	1.384	1.7514	0.5171	1	0.5	0.5	0.5	34	2.9421	0.0195	8e-04
9.074	1.3011	CD	C	Correct	1.288	10.6753	0.5171	-1	-0.5098	0.5098	0.5	34	2.9421	0.0195	8e-04
12.1098	1.568	AB	B	Incorrect	1.55	13.978	0.5171	1	0.5	0.5	0.5	12	2.9421	0.0195	8e-04
16.6302	1.3677	AB	B	Incorrect	1.359	18.2982	0.5171	-1	-0.5098	0.5098	0.5	12	2.9421	0.0195	8e-04
20.6501	1.2677	CD	D	Incorrect	1.254	22.218	0.5171	-1	-0.5	0.5	0.5094	34	2.9421	0.0195	8e-04
25.1704	1.1843	AB	A	Correct	1.177	26.655	0.5171	1	0.5	0.5	0.5094	12	2.9421	0.0195	8e-04
29.6908	1.1175	FE	F	Incorrect	1.113	31.1086	0.5171	-1	-0.5	0.5	0.5	56	2.9421	0.0195	8e-04
32.7099	0.834	EF	E	Correct	0.823	33.8441	0.5171	-1	-0.5	0.5	0.4996	56	2.9421	0.0195	8e-04
37.2302	1.7514	AB	A	Correct	1.738	39.2819	0.5171	1	0.4902	0.5098	0.5094	12	2.9421	0.0195	8e-04
40.7497	1.6347	CD	C	Correct	1.629	42.6847	0.517	1	0.4906	0.5094	0.4996	34	2.9421	0.0195	8e-04
44.7697	1.4678	FE	F	Incorrect	1.459	46.5378	0.5171	-1	-0.4996	0.4996	0.4996	56	2.9421	0.0195	8e-04
49.29	0.9008	DC	D	Incorrect	0.891	50.491	0.5171	-1	-0.4996	0.4996	0.5189	34	2.9421	0.0195	8e-04
53.8104	1.0174	EF	E	Correct	1.013	55.1281	0.5171	-1	-0.4996	0.4996	0.4992	56	2.9421	0.0195	8e-04
57.3299	0.9508	FE	F	Incorrect	0.937	58.5809	0.5171	1	0.5008	0.4992	0.4992	56	2.9421	0.0195	8e-04
61.8502	1.0676	DC	C	Correct	1.062	63.218	0.5171	-1	-0.5189	0.5189	0.4992	34	2.9421	0.0195	8e-04
72.8925	1.7681	DC	C	Correct	1.764	74.9609	0.5171	1	0.4815	0.5185	0.4992	34	2.9421	0.0195	8e-04
77.4129	1.4345	EF	F	Incorrect	1.427	79.1476	0.5171	-1	-0.509	0.509	0.4992	56	2.9421	0.0195	8e-04
80.4487	1.4345	BA	B	Incorrect	1.419	82.1834	0.5171	-1	-0.5094	0.5094	0.5193	12	2.9421	0.0195	8e-04
85.9698	1.2343	CD	D	Incorrect	1.231	87.5044	0.5171	-1	-0.4992	0.4992	0.5279	34	2.9421	0.0195	8e-04
