onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.0492	0.734	eC	Correct	0.727	ww	0.9978	0.9961	0.0017	10	1.6985	0.2967	0.0013
4.5702	0.7814	cA	Correct	0.781	ww	0.9999	0.9978	0.0021	10	1.6985	0.2967	0.0013
8.0892	0.6672	cA	inCorrect	0.657	ww	0.9978	0.9999	-0.0021	10	1.6985	0.2967	0.0013
12.1262	0.5671	bE	Correct	0.564	wl.u	0.9961	0.9016	0.0945	40	1.6985	0.2967	0.0013
16.6462	0.6172	Ad	Correct	0.61	wl.u	0.9999	0.983	0.0169	50	1.6985	0.2967	0.0013
20.6662	0.7006	Eb	Correct	0.683	wl.u	0.9961	0.9016	0.0945	40	1.6985	0.2967	0.0013
24.2022	0.7339	dE	Correct	0.722	wl.u	0.9961	0.983	0.0131	30	1.6985	0.2967	0.0013
32.7262	0.7506	dF	inCorrect	0.744	ll	0.983	0.995	-0.012	10	1.6985	0.2967	0.0013
37.2462	0.6839	dA	Correct	0.668	wl.u	0.9999	0.983	0.0169	50	1.6985	0.2967	0.0013
40.7662	0.8006	bA	inCorrect	0.785	wl.l	0.9016	0.9999	-0.0983	60	1.6985	0.2967	0.0013
44.7862	0.7006	eA	Correct	0.687	ww	0.9999	0.9961	0.0038	20	1.6985	0.2967	0.0013
48.8062	0.9174	Ed	Correct	0.908	wl.u	0.9961	0.983	0.0131	30	1.6985	0.2967	0.0013
52.8262	0.8674	dF	Correct	0.853	ll	0.995	0.983	0.012	10	1.6985	0.2967	0.0013
56.3622	0.9341	dC	Correct	0.919	wl.l	0.9978	0.983	0.0148	40	1.6985	0.2967	0.0013
60.8822	0.6506	Ef	inCorrect	0.633	wl.l	0.995	0.9961	-0.0011	20	1.6985	0.2967	0.0013
64.4192	0.7672	eA	Correct	0.749	ww	0.9999	0.9961	0.0038	20	1.6985	0.2967	0.0013
68.4552	0.5004	bA	Correct	0.495	wl.l	0.9999	0.9016	0.0983	60	1.6985	0.2967	0.0013
72.4922	0.7339	fE	inCorrect	0.725	wl.l	0.995	0.9961	-0.0011	20	1.6985	0.2967	0.0013
77.5132	0.6171	bD	inCorrect	0.601	ll	0.9016	0.983	-0.0814	10	1.6985	0.2967	0.0013
81.5322	0.5671	Ed	inCorrect	0.561	wl.u	0.983	0.9961	-0.0131	30	1.6985	0.2967	0.0013
84.5682	0.4671	Fb	Correct	0.457	ll	0.995	0.9016	0.0934	20	1.6985	0.2967	0.0013
88.6052	0.8174	eC	Correct	0.801	ww	0.9978	0.9961	0.0017	10	1.6985	0.2967	0.0013
93.1252	1.301	dC	Correct	1.296	wl.l	0.9978	0.983	0.0148	40	1.6985	0.2967	0.0013
96.6612	1.0842	Ad	inCorrect	1.072	wl.u	0.983	0.9999	-0.0169	50	1.6985	0.2967	0.0013
100.6982	0.6005	Ce	Correct	0.582	ww	0.9978	0.9961	0.0017	10	1.6985	0.2967	0.0013
105.2182	0.7172	eC	Correct	0.702	ww	0.9978	0.9961	0.0017	10	1.6985	0.2967	0.0013
109.2382	0.834	Cb	inCorrect	0.825	wl.u	0.9016	0.9978	-0.0962	50	1.6985	0.2967	0.0013
112.7752	1.151	fC	inCorrect	1.139	wl.u	0.995	0.9978	-0.0028	30	1.6985	0.2967	0.0013
117.2952	0.6171	fA	inCorrect	0.603	wl.u	0.995	0.9999	-0.0049	40	1.6985	0.2967	0.0013
124.8342	0.8341	Ae	inCorrect	0.826	ww	0.9961	0.9999	-0.0038	20	1.6985	0.2967	0.0013
129.8552	0.5171	dA	inCorrect	0.513	wl.u	0.983	0.9999	-0.0169	50	1.6985	0.2967	0.0013
133.3752	0.834	Db	inCorrect	0.832	ll	0.9016	0.983	-0.0814	10	1.6985	0.2967	0.0013
137.3952	0.9174	Cb	Correct	0.911	wl.u	0.9978	0.9016	0.0962	50	1.6985	0.2967	0.0013
141.9152	0.6839	Db	Correct	0.665	ll	0.983	0.9016	0.0814	10	1.6985	0.2967	0.0013
149.4542	0.6339	dE	Correct	0.625	wl.u	0.9961	0.983	0.0131	30	1.6985	0.2967	0.0013
153.9752	0.5489	Ac	Correct	0.548	ww	0.9999	0.9978	0.0021	10	1.6985	0.2967	0.0013
156.9942	0.7839	fA	Correct	0.781	wl.u	0.9999	0.995	0.0049	40	1.6985	0.2967	0.0013
166.0182	0.4337	Fd	Correct	0.421	ll	0.995	0.983	0.012	10	1.6985	0.2967	0.0013
169.5372	0.4337	Ac	Correct	0.419	ww	0.9999	0.9978	0.0021	10	1.6985	0.2967	0.0013
173.0742	0.7006	Ad	Correct	0.689	wl.u	0.9999	0.983	0.0169	50	1.6985	0.2967	0.0013
177.1102	0.6338	cA	Correct	0.625	ww	0.9999	0.9978	0.0021	10	1.6985	0.2967	0.0013
181.6312	0.5838	Ab	Correct	0.571	wl.l	0.9999	0.9016	0.0983	60	1.6985	0.2967	0.0013
189.1702	0.5838	Ab	Correct	0.581	wl.l	0.9999	0.9016	0.0983	60	1.6985	0.2967	0.0013
193.2072	0.6839	Cf	Correct	0.676	wl.u	0.9978	0.995	0.0028	30	1.6985	0.2967	0.0013
197.7272	0.6171	Ab	inCorrect	0.612	wl.l	0.9016	0.9999	-0.0983	60	1.6985	0.2967	0.0013
201.2632	0.5838	fA	inCorrect	0.578	wl.u	0.995	0.9999	-0.0049	40	1.6985	0.2967	0.0013
206.2842	0.6172	bD	inCorrect	0.605	ll	0.9016	0.983	-0.0814	10	1.6985	0.2967	0.0013
210.3042	0.884	fE	inCorrect	0.87	wl.l	0.995	0.9961	-0.0011	20	1.6985	0.2967	0.0013
213.3402	0.7506	Ce	inCorrect	0.736	ww	0.9961	0.9978	-0.0017	10	1.6985	0.2967	0.0013
218.3612	0.8674	Ce	Correct	0.85	ww	0.9978	0.9961	0.0017	10	1.6985	0.2967	0.0013
221.3962	0.8006	Af	Correct	0.791	wl.u	0.9999	0.995	0.0049	40	1.6985	0.2967	0.0013
225.9172	0.9007	Ef	inCorrect	0.889	wl.l	0.995	0.9961	-0.0011	20	1.6985	0.2967	0.0013
229.9372	0.6839	dF	inCorrect	0.676	ll	0.983	0.995	-0.012	10	1.6985	0.2967	0.0013
234.4572	0.5504	Db	Correct	0.548	ll	0.983	0.9016	0.0814	10	1.6985	0.2967	0.0013
238.4772	0.784	dF	Correct	0.768	ll	0.995	0.983	0.012	10	1.6985	0.2967	0.0013
242.4972	0.7673	eA	inCorrect	0.754	ww	0.9961	0.9999	-0.0038	20	1.6985	0.2967	0.0013
245.5332	0.5504	Ab	inCorrect	0.545	wl.l	0.9016	0.9999	-0.0983	60	1.6985	0.2967	0.0013
249.5692	0.7506	Ae	inCorrect	0.745	ww	0.9961	0.9999	-0.0038	20	1.6985	0.2967	0.0013
254.0902	0.7507	Ac	Correct	0.745	ww	0.9999	0.9978	0.0021	10	1.6985	0.2967	0.0013
258.6102	0.6172	cA	inCorrect	0.611	ww	0.9978	0.9999	-0.0021	10	1.6985	0.2967	0.0013
262.1302	0.8507	Db	inCorrect	0.834	ll	0.9016	0.983	-0.0814	10	1.6985	0.2967	0.0013
