onset	duration	RT	Trial_type	Response	SSD
1.0341	0.5171	480	Go	correct	n/a
4.537	0.5171	551	Go	correct	n/a
8.0565	0.5171	295	Stop	Failed_stop	200
13.5443	0.5171	460	Go	correct	n/a
17.5476	0.5171	0	Stop	succesful_stop	200
20.0663	0.5171	759	Go	correct	n/a
24.5533	0.5171	427	Stop	Failed_stop	250
29.057	0.5171	511	Go	correct	n/a
32.0761	0.5171	0	Stop	succesful_stop	250
36.0794	0.517	519	Stop	Failed_stop	300
41.5672	0.5171	517	Go	correct	n/a
44.0859	0.5171	517	Stop	Failed_stop	300
48.0891	0.5171	588	Go	correct	n/a
53.5769	0.5171	582	Go	correct	n/a
61.5835	0.5171	474	Go	correct	n/a
68.1055	0.517	0	Stop	succesful_stop	250
72.5924	0.5171	0	Stop	succesful_stop	250
76.5957	0.5171	0	Stop	succesful_stop	300
81.5998	0.5171	0	Stop	succesful_stop	350
85.1026	0.5171	519	Go	correct	n/a
89.6063	0.5171	455	Go	correct	n/a
92.125	0.5171	550	Stop	Failed_stop	400
96.1283	0.5171	467	Go	correct	n/a
105.1189	0.5171	498	Stop	Failed_stop	450
108.1381	0.5171	481	Go	correct	n/a
112.1413	0.5171	428	Go	correct	n/a
117.1287	0.5171	464	Stop	Failed_stop	500
120.6316	0.5171	448	Go	correct	n/a
124.6349	0.517	412	Go	correct	n/a
133.1418	0.5171	477	Go	correct	n/a
136.1609	0.5171	475	Go	correct	n/a
141.6487	0.5171	450	Go	correct	n/a
149.1548	0.5171	440	Go	correct	n/a
152.174	0.517	449	Go	correct	n/a
156.1772	0.5171	450	Go	Incorrect	n/a
160.6642	0.5171	626	Stop	Failed_stop	500
164.6675	0.5171	569	Stop	Failed_stop	450
172.1903	0.5171	444	Go	correct	n/a
176.6773	0.517	414	Go	correct	n/a
181.1809	0.5171	455	Go	correct	n/a
184.6838	0.5171	386	Go	correct	n/a
188.687	0.5171	394	Stop	Failed_stop	400
192.6903	0.5171	502	Go	Incorrect	n/a
197.194	0.5171	0	Stop	succesful_stop	350
201.1972	0.5171	0	Stop	succesful_stop	300
205.2005	0.5171	516	Go	correct	n/a
208.2196	0.5171	0	Stop	succesful_stop	250
213.207	0.5171	0	Stop	succesful_stop	250
216.2261	0.5171	1277	Go	correct	n/a
221.2135	0.5171	420	Stop	Failed_stop	300
224.2327	0.5171	497	Go	correct	n/a
229.7205	0.5171	388	Go	Incorrect	n/a
232.2392	0.5171	458	Go	correct	n/a
236.2425	0.517	448	Stop	Failed_stop	300
241.2299	0.517	526	Go	correct	n/a
245.2331	0.5171	418	Go	correct	n/a
249.2364	0.5171	453	Go	correct	n/a
252.7392	0.5171	411	Go	Incorrect	n/a
257.7433	0.5171	428	Go	correct	n/a
260.7458	0.517	552	Stop	Failed_stop	250
265.2494	0.5171	440	Stop	Failed_stop	200
268.7523	0.5171	0	Stop	succesful_stop	150
272.2718	0.5171	0	Stop	succesful_stop	100
277.2592	0.5171	467	Go	correct	n/a
280.2783	0.5171	443	Go	Incorrect	n/a
284.7653	0.5171	409	Stop	Failed_stop	50
289.269	0.5171	548	Go	Incorrect	n/a
293.7727	0.5171	477	Go	correct	n/a
297.7759	0.5171	649	Go	correct	n/a
304.2979	0.5171	513	Go	correct	n/a
309.7857	0.5171	0	Stop	succesful_stop	50
312.3044	0.5171	527	Go	correct	n/a
316.7914	0.5171	826	Go	correct	n/a
321.2951	0.5171	553	Go	correct	n/a
324.3142	0.5171	563	Go	correct	n/a
329.3016	0.5171	495	Stop	Failed_stop	50
333.3049	0.5171	503	Go	correct	n/a
336.8077	0.5171	433	Go	correct	n/a
340.811	0.5171	0	Stop	succesful_stop	50
345.3147	0.5171	0	Stop	succesful_stop	50
349.8183	0.5171	504	Go	correct	n/a
353.8216	0.5171	0	Stop	succesful_stop	50
357.8249	0.5171	0	Stop	succesful_stop	100
360.8273	0.5171	743	Go	correct	n/a
369.8347	0.517	522	Stop	Failed_stop	150
372.8371	0.5171	588	Go	correct	n/a
380.3599	0.5171	483	Go	correct	n/a
384.8469	0.5171	512	Go	correct	n/a
389.851	0.517	500	Go	correct	n/a
393.3538	0.5171	423	Go	Incorrect	n/a
396.8567	0.5171	487	Go	correct	n/a
400.8599	0.5171	649	Go	Incorrect	n/a
408.8665	0.517	615	Go	correct	n/a
412.386	0.5171	550	Go	correct	n/a
417.8738	0.5171	707	Go	Incorrect	n/a
421.3766	0.5171	590	Go	correct	n/a
428.399	0.5171	619	Go	correct	n/a
437.8901	0.5171	712	Go	Incorrect	n/a
