onset	duration	Stim
16.045	1.018	Face
18.046	1.018	Face
20.048	1.018	Face
22.05	1.018	Face
24.051	1.018	Face
26.053	1.018	Face
28.055	1.018	Face
30.056	1.018	Face
44.168	1.018	Object
46.168	1.002	Object
48.171	1.018	Object
50.173	1.018	Object
52.174	1.018	Object
54.176	1.018	Object
56.178	1.018	Object
58.179	1.018	Object
72.291	1.018	House
74.292	1.017	House
76.294	1.018	House
78.296	1.018	House
80.297	1.018	House
82.299	1.018	House
84.3	1.018	House
86.302	1.018	House
100.414	1.018	Scrambled
102.415	1.018	Scrambled
104.417	1.018	Scrambled
106.418	1.018	Scrambled
108.42	1.018	Scrambled
110.422	1.018	Scrambled
112.423	1.018	Scrambled
114.425	1.018	Scrambled
128.52	1.018	House
130.521	1.018	House
132.523	1.018	House
134.525	1.018	House
136.526	1.018	House
138.528	1.018	House
140.53	1.017	House
142.531	1.018	House
156.643	1.018	Face
158.644	1.018	Face
160.646	1.018	Face
162.648	1.018	Face
164.649	1.018	Face
166.651	1.018	Face
168.653	1.018	Face
170.654	1.018	Face
184.749	1.018	Scrambled
186.751	1.018	Scrambled
188.752	1.018	Scrambled
190.754	1.018	Scrambled
192.755	1.018	Scrambled
194.757	1.018	Scrambled
196.759	1.018	Scrambled
198.76	1.018	Scrambled
212.872	1.018	Object
214.874	1.018	Object
216.875	1.018	Object
218.877	1.018	Object
220.878	1.018	Object
222.88	1.018	Object
224.882	1.018	Object
226.883	1.018	Object
240.961	1.018	Object
242.963	1.018	Object
244.965	1.018	Object
246.966	1.018	Object
248.968	1.018	Object
250.97	1.018	Object
252.971	1.018	Object
254.973	1.018	Object
269.084	1.018	Scrambled
271.086	1.018	Scrambled
273.088	1.018	Scrambled
275.089	1.018	Scrambled
277.091	1.018	Scrambled
279.093	1.018	Scrambled
281.094	1.018	Scrambled
283.096	1.018	Scrambled
297.207	1.018	Face
299.209	1.018	Face
301.211	1.018	Face
303.212	1.018	Face
305.214	1.018	Face
307.215	1.018	Face
309.217	1.018	Face
311.219	1.018	Face
325.313	1.018	House
327.315	1.018	House
329.317	1.018	House
331.318	1.018	House
333.32	1.018	House
335.322	1.018	House
337.323	1.018	House
339.325	1.018	House
353.436	1.018	Scrambled
355.438	1.018	Scrambled
357.44	1.018	Scrambled
359.441	1.018	Scrambled
361.443	1.018	Scrambled
363.445	1.018	Scrambled
365.446	1.018	Scrambled
367.448	1.018	Scrambled
381.543	1.018	House
383.544	1.018	House
385.546	1.018	House
387.548	1.018	House
389.549	1.018	House
391.551	1.018	House
393.551	1.002	House
395.554	1.018	House
409.649	1.018	Object
411.651	1.018	Object
413.652	1.018	Object
415.654	1.018	Object
417.655	1.018	Object
419.657	1.018	Object
421.659	1.018	Object
423.66	1.017	Object
437.772	1.018	Face
439.773	1.018	Face
441.775	1.018	Face
443.777	1.018	Face
445.778	1.018	Face
447.78	1.018	Face
449.782	1.018	Face
451.783	1.018	Face
