onset	duration	Stim
16.033	1.018	Face
18.034	1.018	Face
20.034	1.002	Face
22.038	1.018	Face
24.038	1.002	Face
26.041	1.018	Face
28.043	1.018	Face
30.043	1.002	Face
44.156	1.018	Object
46.156	1.002	Object
48.159	1.018	Object
50.16	1.017	Object
52.162	1.018	Object
54.164	1.018	Object
56.165	1.018	Object
58.167	1.018	Object
72.278	1.017	House
74.28	1.018	House
76.282	1.018	House
78.283	1.018	House
80.285	1.018	House
82.286	1.018	House
84.288	1.018	House
86.29	1.018	House
100.401	1.018	Scrambled
102.403	1.018	Scrambled
104.404	1.018	Scrambled
106.406	1.018	Scrambled
108.408	1.018	Scrambled
110.409	1.018	Scrambled
112.411	1.018	Scrambled
114.412	1.018	Scrambled
128.524	1.017	House
130.525	1.018	House
132.527	1.018	House
134.529	1.018	House
136.53	1.018	House
138.532	1.017	House
140.534	1.018	House
142.535	1.018	House
156.647	1.018	Face
158.648	1.018	Face
160.65	1.018	Face
162.651	1.018	Face
164.653	1.018	Face
166.655	1.018	Face
168.656	1.018	Face
170.658	1.018	Face
184.769	1.017	Scrambled
186.771	1.018	Scrambled
188.773	1.018	Scrambled
190.774	1.018	Scrambled
192.776	1.018	Scrambled
194.777	1.018	Scrambled
196.779	1.018	Scrambled
198.781	1.018	Scrambled
212.892	1.018	Object
214.894	1.018	Object
216.895	1.017	Object
218.897	1.018	Object
220.899	1.018	Object
222.9	1.018	Object
224.902	1.017	Object
226.903	1.017	Object
241.015	1.018	Object
243.016	1.018	Object
245.018	1.018	Object
247.02	1.018	Object
249.021	1.018	Object
251.023	1.018	Object
253.025	1.018	Object
255.026	1.018	Object
269.138	1.018	Scrambled
271.139	1.018	Scrambled
273.141	1.017	Scrambled
275.142	1.018	Scrambled
277.144	1.018	Scrambled
279.146	1.018	Scrambled
281.147	1.018	Scrambled
283.149	1.017	Scrambled
297.244	1.018	Face
299.245	1.018	Face
301.247	1.018	Face
303.248	1.018	Face
305.25	1.018	Face
307.252	1.018	Face
309.253	1.018	Face
311.255	1.018	Face
325.35	1.018	House
327.351	1.018	House
329.353	1.018	House
331.355	1.018	House
333.356	1.018	House
335.358	1.017	House
337.359	1.018	House
339.361	1.018	House
353.472	1.018	Scrambled
355.474	1.018	Scrambled
357.476	1.017	Scrambled
359.477	1.018	Scrambled
361.479	1.018	Scrambled
363.481	1.018	Scrambled
365.482	1.018	Scrambled
367.484	1.018	Scrambled
381.595	1.018	House
383.597	1.018	House
385.598	1.018	House
387.6	1.018	House
389.602	1.018	House
391.603	1.018	House
393.603	1.002	House
395.607	1.018	House
409.701	1.018	Object
411.703	1.017	Object
413.705	1.018	Object
415.706	1.018	Object
417.708	1.018	Object
419.709	1.018	Object
421.711	1.017	Object
423.713	1.018	Object
437.824	1.018	Face
439.826	1.018	Face
441.827	1.018	Face
443.829	1.018	Face
445.831	1.018	Face
447.832	1.018	Face
449.834	1.018	Face
451.835	1.018	Face
