onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
1.0336	2.3018	Fd	Correct	2.285	ll	0.4143	0.5579	-0.1436	10	12.2959	0.1267	0.0843
4.0696	1.1676	Ae	Correct	1.151	ww	0.8673	0.7107	0.1566	20	12.2959	0.1267	0.0843
8.5896	1.5345	Cf	Correct	1.516	wl.u	0.829	0.4143	0.4147	30	12.2959	0.1267	0.0843
12.6266	1.0174	Cb	Correct	1.014	wl.u	0.829	0.4579	0.3711	50	12.2959	0.1267	0.0843
17.1466	1.7013	fE	Correct	1.686	wl.l	0.7107	0.4143	0.2964	20	12.2959	0.1267	0.0843
20.6666	1.4178	Ce	Correct	1.412	ww	0.829	0.7107	0.1183	10	12.2959	0.1267	0.0843
25.1866	1.5846	bD	Correct	1.566	ll	0.5579	0.4579	0.1	10	12.2959	0.1267	0.0843
28.2386	1.5847	bE	Correct	1.572	wl.u	0.7107	0.4579	0.2528	40	12.2959	0.1267	0.0843
32.2756	3.9365	dF	Correct	3.924	ll	0.4143	0.5579	-0.1436	10	12.2959	0.1267	0.0843
37.2966	1.4512	bF	Correct	1.443	ll	0.4143	0.4579	-0.0436	20	12.2959	0.1267	0.0843
40.3316	1.3845	fC	Correct	1.368	wl.u	0.829	0.4143	0.4147	30	12.2959	0.1267	0.0843
44.8526	2.2018	Db	Correct	2.188	ll	0.5579	0.4579	0.1	10	12.2959	0.1267	0.0843
48.8726	1.6347	bE	Correct	1.626	wl.u	0.7107	0.4579	0.2528	40	12.2959	0.1267	0.0843
52.4086	1.618	eC	Correct	1.603	ww	0.829	0.7107	0.1183	10	12.2959	0.1267	0.0843
56.9286	1.3178	dF	Correct	1.312	ll	0.4143	0.5579	-0.1436	10	12.2959	0.1267	0.0843
61.4486	1.4345	fC	Correct	1.428	wl.u	0.829	0.4143	0.4147	30	12.2959	0.1267	0.0843
65.4686	3.0025	Ce	omission	0	ww	0.7107	0.829	-0.1183	10	12.2959	0.1267	0.0843
70.9736	1.2009	dF	Correct	1.185	ll	0.4143	0.5579	-0.1436	10	12.2959	0.1267	0.0843
74.5096	1.1175	Ae	Correct	1.107	ww	0.8673	0.7107	0.1566	20	12.2959	0.1267	0.0843
79.5306	1.3511	fE	Correct	1.347	wl.l	0.7107	0.4143	0.2964	20	12.2959	0.1267	0.0843
