onset	duration	Stim
16.046	1.018	Face
18.048	1.018	Face
20.048	1.002	Face
22.051	1.018	Face
24.052	1.017	Face
26.052	1.002	Face
28.056	1.018	Face
30.057	1.018	Face
44.152	1.018	Object
46.152	1.002	Object
48.155	1.018	Object
50.157	1.018	Object
52.159	1.018	Object
54.16	1.018	Object
56.162	1.018	Object
58.164	1.018	Object
72.275	1.018	House
74.277	1.018	House
76.278	1.018	House
78.28	1.018	House
80.282	1.018	House
82.283	1.017	House
84.285	1.018	House
86.286	1.018	House
100.398	1.018	Scrambled
102.4	1.018	Scrambled
104.401	1.018	Scrambled
106.403	1.018	Scrambled
108.404	1.018	Scrambled
110.406	1.018	Scrambled
112.408	1.018	Scrambled
114.409	1.018	Scrambled
128.521	1.018	House
130.523	1.018	House
132.524	1.018	House
134.526	1.018	House
136.527	1.018	House
138.529	1.018	House
140.531	1.018	House
142.532	1.018	House
156.627	1.018	Face
158.629	1.018	Face
160.63	1.018	Face
162.632	1.018	Face
164.634	1.018	Face
166.635	1.018	Face
168.637	1.018	Face
170.639	1.018	Face
184.75	1.018	Scrambled
186.752	1.018	Scrambled
188.753	1.018	Scrambled
190.755	1.018	Scrambled
192.757	1.018	Scrambled
194.758	1.018	Scrambled
196.76	1.018	Scrambled
198.761	1.018	Scrambled
212.873	1.018	Object
214.875	1.018	Object
216.876	1.018	Object
218.878	1.018	Object
220.88	1.017	Object
222.881	1.018	Object
224.883	1.018	Object
226.884	1.018	Object
240.963	1.018	Object
242.964	1.018	Object
244.966	1.018	Object
246.967	1.018	Object
248.969	1.018	Object
250.971	1.018	Object
252.972	1.018	Object
254.974	1.018	Object
269.085	1.018	Scrambled
271.087	1.018	Scrambled
273.089	1.018	Scrambled
275.09	1.018	Scrambled
277.092	1.018	Scrambled
279.094	1.018	Scrambled
281.095	1.018	Scrambled
283.097	1.018	Scrambled
297.208	1.018	Face
299.21	1.018	Face
301.212	1.018	Face
303.213	1.018	Face
305.215	1.018	Face
307.217	1.018	Face
309.218	1.018	Face
311.22	1.017	Face
325.331	1.018	House
327.333	1.018	House
329.335	1.018	House
331.336	1.017	House
333.338	1.018	House
335.339	1.018	House
337.341	1.018	House
339.343	1.018	House
353.438	1.018	Scrambled
355.439	1.018	Scrambled
357.441	1.018	Scrambled
359.442	1.018	Scrambled
361.444	1.018	Scrambled
363.446	1.018	Scrambled
365.447	1.018	Scrambled
367.449	1.018	Scrambled
381.56	1.018	House
383.562	1.017	House
385.564	1.018	House
387.565	1.018	House
389.567	1.018	House
391.569	1.018	House
393.57	1.018	House
395.572	1.018	House
409.667	1.018	Object
411.668	1.018	Object
413.67	1.018	Object
415.672	1.018	Object
417.673	1.018	Object
419.675	1.018	Object
421.677	1.017	Object
423.678	1.018	Object
437.79	1.018	Face
439.791	1.018	Face
441.793	1.018	Face
443.795	1.018	Face
445.796	1.018	Face
447.798	1.018	Face
449.799	1.018	Face
451.801	1.018	Face
