onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.05	1.3678	BA	B	Incorrect	1.355	1.718	0.5171	-1	-0.8085	0.8085	1	12	5.5889	0.3813	0
4.5704	0.834	DC	C	Correct	0.824	5.7046	0.5171	-1	-1	1	0.5	34	5.5889	0.3813	0
8.5903	1.8014	EF	F	Incorrect	1.797	10.692	0.5171	-1	-0.9932	0.9932	0.9719	56	5.5889	0.3813	0
13.611	0.884	DC	C	Correct	0.879	14.7904	0.5053	1	0	1	0.5	34	5.5889	0.3813	0
16.1464	1.3844	EF	E	Correct	1.381	17.8311	0.5171	-1	-0.9719	0.9719	0.9932	56	5.5889	0.3813	0
20.183	0.8006	CD	C	Correct	0.788	21.2839	0.5171	1	0	1	0.5	34	5.5889	0.3813	0
25.2037	0.6839	CD	C	Correct	0.67	26.1878	0.5171	1	0	1	0.5	34	5.5889	0.3813	0
28.2395	1.4845	BA	A	Correct	1.476	30.0243	0.5171	1	0	1	0.8084	12	5.5889	0.3813	0
33.7606	1.5179	EF	E	Correct	1.504	35.5788	0.5171	1	0.0281	0.9719	0.9932	56	5.5889	0.3813	0
37.7806	1.6346	FE	F	Incorrect	1.624	39.7155	0.517	-1	-0.9932	0.9932	0.9826	56	5.5889	0.3813	0
41.3001	1.5179	EF	E	Correct	1.502	43.1182	0.5171	1	0.0174	0.9826	0.9932	56	5.5889	0.3813	0
45.32	0.9174	FE	E	Correct	0.908	46.5376	0.5171	1	0.0108	0.9892	0.9932	56	5.5889	0.3813	0
48.8395	1.4679	BA	B	Incorrect	1.46	50.6076	0.5171	-1	-0.8084	0.8084	1	12	5.5889	0.3813	0
53.3598	1.2844	EF	E	Correct	1.28	54.9444	0.5171	-1	-0.9933	0.9933	0.9932	56	5.5889	0.3813	0
57.8802	0.9507	DC	C	Correct	0.943	59.1312	0.517	1	0	1	0.5	34	5.5889	0.3813	0
64.4188	1.4511	FE	F	Incorrect	1.445	66.1702	0.5171	-1	-0.9932	0.9932	0.9933	56	5.5889	0.3813	0
69.4395	1.9015	CD	C	Correct	1.887	71.6413	0.5171	-1	-1	1	0.5	34	5.5889	0.3813	0
73.4594	0.6672	CD	C	Correct	0.655	74.4269	0.5171	1	0	1	0.5	34	5.5889	0.3813	0
77.4793	2.0017	FE	F	Incorrect	1.988	79.7812	0.5171	-1	-0.9932	0.9932	0.9933	56	5.5889	0.3813	0
85.0021	0.7339	DC	C	Correct	0.731	86.0363	0.5171	1	0	1	0.5	34	5.5889	0.3813	0
89.022	1.8348	BA	B	Incorrect	1.833	91.1571	0.5171	-1	-0.8084	0.8084	1	12	5.5889	0.3813	0
93.0253	1.1175	DC	D	Incorrect	1.107	94.4431	0.5171	1	0.5	0.5	1	34	5.5889	0.3813	0
96.5615	0.6838	DC	C	Correct	0.678	97.5456	0.5171	1	0	1	0.6907	34	5.5889	0.3813	0
102.0826	0.834	CD	C	Correct	0.822	103.2168	0.5171	-1	-1	1	0.6907	34	5.5889	0.3813	0
109.1049	1.1843	EF	E	Correct	1.167	110.5895	0.517	1	0.0067	0.9933	0.9932	56	5.5889	0.3813	0
114.1257	1.5179	EF	E	Correct	1.509	115.9438	0.5171	1	0.0041	0.9959	0.9932	56	5.5889	0.3813	0
116.661	3.9866	EF	n/a	omission	0	120.9478	0.5171	0	0	0	0	0	5.5889	0.3813	0
124.6675	0.784	DC	C	Correct	0.777	125.7517	0.5171	1	0	1	0.6907	34	5.5889	0.3813	0
128.7041	0.9675	EF	F	Incorrect	0.965	129.9718	0.5171	1	0.0068	0.9932	0.9974	56	5.5889	0.3813	0
133.2244	1.1009	AB	A	Correct	1.09	134.6256	0.5171	-1	-1	1	0.8084	12	5.5889	0.3813	0
137.7448	1.1342	CD	C	Correct	1.126	139.1793	0.517	-1	-1	1	0.6907	34	5.5889	0.3813	0
142.2651	1.251	BA	A	Correct	1.236	143.8164	0.517	1	0	1	0.8084	12	5.5889	0.3813	0
145.7846	1.0842	CD	C	Correct	1.066	147.1691	0.517	-1	-1	1	0.6907	34	5.5889	0.3813	0
