onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.548	1.421	FE	F	Incorrect	1.402	3.251	0.502	-1	-0.5	0.5	0.5	56	8.4969	0.0885	5e-04
4.5703	0.6839	FE	F	Incorrect	0.681	5.5519	0.503	1	0.5002	0.4998	0.5	56	8.4969	0.0885	5e-04
9.0907	0.6505	FE	F	Incorrect	0.646	10.0414	0.5171	-1	-0.544	0.544	0.5	56	8.4969	0.0885	5e-04
13.611	1.6514	DC	D	Incorrect	1.646	15.5626	0.5171	-1	-0.5	0.5	0.5	34	8.4969	0.0885	5e-04
16.6301	1.2177	FE	F	Incorrect	1.214	18.148	0.5171	-1	-0.5438	0.5438	0.5	56	8.4969	0.0885	5e-04
21.1505	1.5179	DC	C	Correct	1.51	22.9686	0.5171	1	0.5	0.5	0.4998	34	8.4969	0.0885	5e-04
25.6708	1.6847	CD	C	Correct	1.681	27.6558	0.517	-1	-0.5443	0.5443	0.4998	34	8.4969	0.0885	5e-04
28.6899	2.1518	BA	B	Incorrect	2.143	31.1419	0.5171	-1	-0.5	0.5	0.5	12	8.4969	0.0885	5e-04
37.2135	1.7348	AB	B	Incorrect	1.727	39.2485	0.5171	-1	-0.4998	0.4998	0.5	12	8.4969	0.0885	5e-04
44.2526	1.7848	AB	A	Correct	1.772	46.3376	0.5171	-1	-0.5	0.5	0.4995	12	8.4969	0.0885	5e-04
49.7737	1.2177	FE	E	Correct	1.199	51.2916	0.5171	-1	-0.5	0.5	0.5436	56	8.4969	0.0885	5e-04
57.3132	1.5846	AB	B	Incorrect	1.578	59.198	0.5171	-1	-0.4995	0.4995	0.4998	12	8.4969	0.0885	5e-04
60.8327	1.6513	DC	D	Incorrect	1.638	62.7843	0.5171	-1	-0.4998	0.4998	0.544	34	8.4969	0.0885	5e-04
65.353	2.4854	BA	A	Correct	2.475	68.1386	0.2336	1	0.5002	0.4998	0.4993	12	8.4969	0.0885	5e-04
72.8758	1.6013	AB	A	Correct	1.599	74.7774	0.517	1	0.456	0.544	0.4993	12	8.4969	0.0885	5e-04
77.8799	2.1684	CD	C	Correct	2.154	80.3485	0.0501	1	0.456	0.544	0.4995	34	8.4969	0.0885	5e-04
80.4153	2.919	DC	D	Incorrect	2.912	83.6345	0.5171	-1	-0.4995	0.4995	0.5844	34	8.4969	0.0885	5e-04
84.4519	2.2018	BA	A	Correct	2.189	86.9539	0.5171	1	0.4156	0.5844	0.4993	12	8.4969	0.0885	5e-04
88.4885	1.8015	EF	E	Correct	1.787	90.5902	0.5171	1	0.5002	0.4998	0.5436	56	8.4969	0.0885	5e-04
94.0096	2.5021	DC	n/a	omission	0	96.8119	0.5171	0	0	0	0	0	8.4969	0.0885	5e-04
99.5141	1.1676	DC	D	Incorrect	1.16	100.982	0.5171	1	0.5007	0.4993	0.5844	34	8.4969	0.0885	5e-04
104.0344	1.3678	CD	C	Correct	1.352	105.7025	0.5171	-1	-0.5844	0.5844	0.5436	34	8.4969	0.0885	5e-04
107.0702	1.5847	DC	C	Correct	1.571	108.9551	0.5171	1	0.4159	0.5841	0.5436	34	8.4969	0.0885	5e-04
111.5906	0.9341	DC	C	Correct	0.918	112.8249	0.5171	-1	-0.6209	0.6209	0.5436	34	8.4969	0.0885	5e-04
116.1109	1.2677	DC	C	Correct	1.253	117.6789	0.517	1	0.3794	0.6206	0.5436	34	8.4969	0.0885	5e-04
119.1467	1.7514	CD	C	Correct	1.734	121.1984	0.5171	1	0.3458	0.6542	0.5436	34	8.4969	0.0885	5e-04
123.1833	1.3511	DC	C	Correct	1.348	124.8347	0.5171	-1	-0.6848	0.6848	0.5436	34	8.4969	0.0885	5e-04
127.7037	1.7681	AB	A	Correct	1.761	129.772	0.5171	1	0.3788	0.6212	0.4993	12	8.4969	0.0885	5e-04
131.2399	1.618	DC	C	Correct	1.607	133.1581	0.5171	1	0.3155	0.6845	0.5436	34	8.4969	0.0885	5e-04
136.2606	1.3678	FE	E	Correct	1.359	137.9286	0.5171	-1	-0.544	0.544	0.5436	56	8.4969	0.0885	5e-04
140.781	1.6346	BA	B	Incorrect	1.625	142.7159	0.517	-1	-0.4993	0.4993	0.6547	12	8.4969	0.0885	5e-04
144.8009	1.7514	CD	C	Correct	1.744	146.8526	0.467	-1	-0.7124	0.7124	0.5436	34	8.4969	0.0885	5e-04
147.3363	1.5679	FE	F	Incorrect	1.563	149.2045	0.5171	-1	-0.5436	0.5436	0.5438	56	8.4969	0.0885	5e-04
152.357	1.5513	EF	E	Correct	1.547	154.2085	0.5171	-1	-0.5438	0.5438	0.5433	56	8.4969	0.0885	5e-04
155.8766	1.4011	EF	E	Correct	1.384	157.5779	0.5171	1	0.4564	0.5436	0.5433	56	8.4969	0.0885	5e-04
160.8973	1.8348	DC	C	Correct	1.821	163.0324	0.3836	-1	-0.7121	0.7121	0.5436	34	8.4969	0.0885	5e-04
163.9164	2.2185	BA	B	Incorrect	2.211	166.4351	0.5171	-1	-0.4991	0.4991	0.6547	12	8.4969	0.0885	5e-04
167.9363	1.8349	CD	C	Correct	1.818	170.0714	0.5171	1	0.2882	0.7118	0.5436	34	8.4969	0.0885	5e-04
172.4567	1.3844	DC	C	Correct	1.369	174.1414	0.5171	1	0.2627	0.7373	0.5436	34	8.4969	0.0885	5e-04
180.4799	1.8014	EF	E	Correct	1.796	182.5816	0.5171	1	0.416	0.584	0.5433	56	8.4969	0.0885	5e-04
185.0002	1.6513	AB	B	Incorrect	1.641	186.9518	0.5171	1	0.5011	0.4989	0.6547	12	8.4969	0.0885	5e-04
188.0193	1.4012	BA	B	Incorrect	1.383	189.7207	0.5171	-1	-0.5432	0.5432	0.6547	12	8.4969	0.0885	5e-04
193.0401	1.718	EF	E	Correct	1.7	195.0584	0.5171	-1	-0.6208	0.6208	0.5433	56	8.4969	0.0885	5e-04
196.0759	0.9841	FE	E	Correct	0.965	197.3436	0.517	1	0.3795	0.6205	0.5433	56	8.4969	0.0885	5e-04
200.6129	1.4678	CD	D	Incorrect	1.454	202.381	0.5171	1	0.4564	0.5436	0.7605	34	8.4969	0.0885	5e-04
204.1324	1.6513	CD	C	Correct	1.636	206.084	0.5171	-1	-0.7605	0.7605	0.584	34	8.4969	0.0885	5e-04
207.6686	2.0684	AB	B	Incorrect	2.053	210.0372	0.5171	-1	-0.543	0.543	0.6547	12	8.4969	0.0885	5e-04
212.6894	1.1008	EF	E	Correct	1.096	214.0905	0.5171	1	0.3459	0.6541	0.5433	56	8.4969	0.0885	5e-04
216.2089	1.4011	DC	C	Correct	1.39	217.9103	0.517	-1	-0.7602	0.7602	0.584	34	8.4969	0.0885	5e-04
