onset	duration	Stim
16.041	1.018	Face
18.043	1.018	Face
20.044	1.018	Face
22.046	1.018	Face
24.046	1.002	Face
26.049	1.018	Face
28.051	1.018	Face
30.052	1.018	Face
44.147	1.018	Object
46.147	1.003	Object
48.151	1.018	Object
50.152	1.018	Object
52.154	1.018	Object
54.155	1.018	Object
56.157	1.018	Object
58.159	1.018	Object
72.254	1.017	House
74.255	1.018	House
76.257	1.018	House
78.258	1.018	House
80.26	1.018	House
82.262	1.018	House
84.263	1.018	House
86.265	1.018	House
100.376	1.018	Scrambled
102.378	1.018	Scrambled
104.38	1.018	Scrambled
106.381	1.018	Scrambled
108.383	1.018	Scrambled
110.385	1.018	Scrambled
112.386	1.017	Scrambled
114.388	1.018	Scrambled
128.483	1.018	House
130.484	1.018	House
132.486	1.018	House
134.488	1.018	House
136.489	1.018	House
138.491	1.017	House
140.492	1.018	House
142.494	1.018	House
156.572	1.017	Face
158.574	1.018	Face
160.575	1.018	Face
162.577	1.018	Face
164.579	1.018	Face
166.58	1.018	Face
168.582	1.018	Face
170.584	1.018	Face
184.695	1.018	Scrambled
186.697	1.018	Scrambled
188.698	1.018	Scrambled
190.7	1.018	Scrambled
192.702	1.018	Scrambled
194.703	1.018	Scrambled
196.705	1.018	Scrambled
198.707	1.018	Scrambled
212.818	1.018	Object
214.82	1.018	Object
216.821	1.018	Object
218.823	1.018	Object
220.825	1.018	Object
222.826	1.018	Object
224.828	1.018	Object
226.829	1.018	Object
240.924	1.018	Object
242.926	1.018	Object
244.928	1.018	Object
246.929	1.018	Object
248.931	1.018	Object
250.932	1.018	Object
252.934	1.018	Object
254.936	1.018	Object
269.047	1.018	Scrambled
271.049	1.018	Scrambled
273.05	1.018	Scrambled
275.052	1.018	Scrambled
277.054	1.018	Scrambled
279.055	1.018	Scrambled
281.057	1.018	Scrambled
283.059	1.018	Scrambled
297.153	1.018	Face
299.155	1.018	Face
301.157	1.018	Face
303.158	1.018	Face
305.16	1.018	Face
307.162	1.018	Face
309.163	1.018	Face
311.165	1.018	Face
325.26	1.018	House
327.261	1.018	House
329.263	1.018	House
331.265	1.018	House
333.266	1.018	House
335.268	1.017	House
337.269	1.018	House
339.271	1.018	House
353.366	1.018	Scrambled
355.368	1.018	Scrambled
357.369	1.018	Scrambled
359.371	1.018	Scrambled
361.372	1.018	Scrambled
363.374	1.018	Scrambled
365.376	1.018	Scrambled
367.377	1.017	Scrambled
381.489	1.018	House
383.49	1.018	House
385.492	1.018	House
387.494	1.018	House
389.495	1.018	House
391.497	1.018	House
393.499	1.018	House
395.5	1.018	House
409.612	1.018	Object
411.613	1.018	Object
413.615	1.018	Object
415.617	1.018	Object
417.618	1.018	Object
419.62	1.018	Object
421.622	1.017	Object
423.623	1.018	Object
437.735	1.018	Face
439.736	1.018	Face
441.738	1.018	Face
443.74	1.018	Face
445.741	1.018	Face
447.743	1.018	Face
449.744	1.018	Face
451.746	1.018	Face
