onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.033	1.2677	eA	Correct	1.258	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
5.054	1.1676	Cf	Correct	1.15	wl.u	0.7556	0.4892	0.2664	30	4.4757	0.0301	0.0241
9.074	1.2844	Cd	Correct	1.274	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
12.593	1.4512	Ce	Correct	1.445	ww	0.7556	0.6422	0.1134	10	4.4757	0.0301	0.0241
17.113	0.9341	Af	Correct	0.92	wl.u	0.8019	0.4892	0.3127	40	4.4757	0.0301	0.0241
20.633	1.1009	Fb	Correct	1.098	ll	0.4892	0.4301	0.0591	20	4.4757	0.0301	0.0241
25.153	1.0675	Ad	Correct	1.063	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
28.189	1.1509	Ad	Correct	1.134	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
32.709	1.4011	dC	Correct	1.397	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
36.729	1.2343	Eb	Correct	1.218	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
41.25	1.3178	dA	Correct	1.309	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
44.769	1.618	Eb	Correct	1.616	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
49.273	1.251	Cb	Correct	1.247	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
52.792	1.3177	dC	Correct	1.313	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
57.313	1.2677	bC	Correct	1.254	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
60.832	1.4679	Ae	Correct	1.452	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
64.852	1.2176	eC	Correct	1.207	ww	0.7556	0.6422	0.1134	10	4.4757	0.0301	0.0241
68.872	1.0508	dA	Correct	1.041	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
73.392	1.1343	Cb	Correct	1.131	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
76.428	1.301	Ce	Correct	1.289	ww	0.7556	0.6422	0.1134	10	4.4757	0.0301	0.0241
80.948	1.3344	dA	Correct	1.317	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
84.968	1.2344	eA	Correct	1.231	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
89.489	1.0175	Ae	Correct	1.002	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
93.509	0.8173	Ac	Correct	0.813	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
97.028	1.5012	Eb	Correct	1.489	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
101.048	1.2177	Cd	Correct	1.2	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
105.068	1.668	dC	Correct	1.654	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
109.088	1.1676	Cd	Correct	1.164	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
112.624	1.1009	Ab	Correct	1.092	wl.l	0.8019	0.4301	0.3718	60	4.4757	0.0301	0.0241
117.144	1.1009	fA	Correct	1.09	wl.u	0.8019	0.4892	0.3127	40	4.4757	0.0301	0.0241
121.665	1.0508	Ae	Correct	1.036	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
125.184	1.5012	bE	Correct	1.484	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
129.204	1.1843	Fd	Correct	1.166	ll	0.4892	0.4702	0.019	10	4.4757	0.0301	0.0241
133.724	0.9674	Ac	Correct	0.958	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
137.744	1.5679	eC	Correct	1.561	ww	0.7556	0.6422	0.1134	10	4.4757	0.0301	0.0241
140.78	1.251	Eb	Correct	1.246	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
145.801	1.3177	Ed	inCorrect	1.307	wl.u	0.4702	0.6422	-0.172	30	4.4757	0.0301	0.0241
152.84	1.3344	eA	Correct	1.317	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
157.861	1.3845	fA	Correct	1.381	wl.u	0.8019	0.4892	0.3127	40	4.4757	0.0301	0.0241
161.881	1.5846	bE	Correct	1.571	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
168.92	1.1009	bC	Correct	1.083	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
173.94	1.1009	bD	inCorrect	1.087	ll	0.4301	0.4702	-0.0401	10	4.4757	0.0301	0.0241
181.463	1.1176	Ad	Correct	1.102	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
185.483	1.4512	bF	inCorrect	1.443	ll	0.4301	0.4892	-0.0591	20	4.4757	0.0301	0.0241
189.503	1.4846	Fb	Correct	1.467	ll	0.4892	0.4301	0.0591	20	4.4757	0.0301	0.0241
193.523	1.5179	Ac	Correct	1.503	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
201.062	0.9507	Ae	Correct	0.939	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
205.583	1.3177	Cd	Correct	1.304	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
209.602	1.2343	Ef	Correct	1.229	wl.l	0.6422	0.4892	0.153	20	4.4757	0.0301	0.0241
213.622	1.201	fA	Correct	1.196	wl.u	0.8019	0.4892	0.3127	40	4.4757	0.0301	0.0241
218.143	1.4678	cA	Correct	1.465	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
221.178	1.3845	eC	inCorrect	1.381	ww	0.6422	0.7556	-0.1134	10	4.4757	0.0301	0.0241
226.199	0.9674	Ab	Correct	0.959	wl.l	0.8019	0.4301	0.3718	60	4.4757	0.0301	0.0241
229.719	1.7514	bF	inCorrect	1.748	ll	0.4301	0.4892	-0.0591	20	4.4757	0.0301	0.0241
237.258	1.4178	Ad	Correct	1.415	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
242.279	1.251	Eb	Correct	1.246	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
245.798	1.1843	bC	Correct	1.173	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
249.818	1.3511	Db	inCorrect	1.34	ll	0.4301	0.4702	-0.0401	10	4.4757	0.0301	0.0241
254.339	1.0175	dF	Correct	1.002	ll	0.4892	0.4702	0.019	10	4.4757	0.0301	0.0241
257.858	1.0175	dF	Correct	1.005	ll	0.4892	0.4702	0.019	10	4.4757	0.0301	0.0241
261.394	1.9516	Ed	Correct	1.949	wl.u	0.6422	0.4702	0.172	30	4.4757	0.0301	0.0241
269.918	1.2844	Eb	Correct	1.272	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
273.454	1.201	Cb	Correct	1.183	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
277.491	1.668	Ce	Correct	1.655	ww	0.7556	0.6422	0.1134	10	4.4757	0.0301	0.0241
282.011	1.0842	Ce	Correct	1.076	ww	0.7556	0.6422	0.1134	10	4.4757	0.0301	0.0241
285.547	1.1843	Cd	Correct	1.168	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
289.584	1.1843	bC	Correct	1.172	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
294.104	1.4846	bA	Correct	1.466	wl.l	0.8019	0.4301	0.3718	60	4.4757	0.0301	0.0241
298.624	1.151	Ac	Correct	1.142	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
306.147	1.668	bD	inCorrect	1.653	ll	0.4301	0.4702	-0.0401	10	4.4757	0.0301	0.0241
309.683	1.6513	bF	inCorrect	1.638	ll	0.4301	0.4892	-0.0591	20	4.4757	0.0301	0.0241
314.204	1.2844	Cb	Correct	1.278	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
317.74	1.3177	Cd	Correct	1.313	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
322.761	1.0342	dC	Correct	1.024	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
326.781	1.3844	fE	Correct	1.377	wl.l	0.6422	0.4892	0.153	20	4.4757	0.0301	0.0241
333.82	1.7848	dA	Correct	1.773	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
337.856	1.1843	Ae	Correct	1.182	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
342.377	1.1676	Ef	Correct	1.161	wl.l	0.6422	0.4892	0.153	20	4.4757	0.0301	0.0241
350.4	1.2343	Cf	Correct	1.217	wl.u	0.7556	0.4892	0.2664	30	4.4757	0.0301	0.0241
353.936	1.2009	Cd	Correct	1.191	wl.l	0.7556	0.4702	0.2854	40	4.4757	0.0301	0.0241
361.976	1.3177	dF	Correct	1.31	ll	0.4892	0.4702	0.019	10	4.4757	0.0301	0.0241
366.496	1.0509	Af	Correct	1.042	wl.u	0.8019	0.4892	0.3127	40	4.4757	0.0301	0.0241
370.516	1.4179	cA	Correct	1.413	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
375.036	1.301	bD	inCorrect	1.298	ll	0.4301	0.4702	-0.0401	10	4.4757	0.0301	0.0241
379.056	1.2343	Ad	Correct	1.228	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
382.092	1.3177	dA	Correct	1.301	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
387.113	1.3678	Af	Correct	1.363	wl.u	0.8019	0.4892	0.3127	40	4.4757	0.0301	0.0241
391.133	0.834	Ab	Correct	0.818	wl.l	0.8019	0.4301	0.3718	60	4.4757	0.0301	0.0241
395.153	1.985	dF	Correct	1.967	ll	0.4892	0.4702	0.019	10	4.4757	0.0301	0.0241
398.672	0.7673	Ad	Correct	0.75	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
403.192	1.3678	fE	Correct	1.359	wl.l	0.6422	0.4892	0.153	20	4.4757	0.0301	0.0241
406.712	1.251	Fd	Correct	1.245	ll	0.4892	0.4702	0.019	10	4.4757	0.0301	0.0241
415.236	1.2677	bA	Correct	1.262	wl.l	0.8019	0.4301	0.3718	60	4.4757	0.0301	0.0241
419.255	1.668	Ed	Correct	1.66	wl.u	0.6422	0.4702	0.172	30	4.4757	0.0301	0.0241
426.294	1.5179	Cb	Correct	1.505	wl.u	0.7556	0.4301	0.3255	50	4.4757	0.0301	0.0241
430.815	1.5346	Cf	Correct	1.522	wl.u	0.7556	0.4892	0.2664	30	4.4757	0.0301	0.0241
434.351	1.4512	bE	Correct	1.449	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
438.855	1.5179	fE	Correct	1.515	wl.l	0.6422	0.4892	0.153	20	4.4757	0.0301	0.0241
442.391	1.5846	Af	Correct	1.573	wl.u	0.8019	0.4892	0.3127	40	4.4757	0.0301	0.0241
451.415	1.4345	Eb	Correct	1.416	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
454.951	1.151	bE	Correct	1.146	wl.u	0.6422	0.4301	0.2121	40	4.4757	0.0301	0.0241
458.487	1.3344	bD	inCorrect	1.317	ll	0.4301	0.4702	-0.0401	10	4.4757	0.0301	0.0241
463.008	1.6346	bF	inCorrect	1.622	ll	0.4301	0.4892	-0.0591	20	4.4757	0.0301	0.0241
467.528	1.1509	bA	Correct	1.136	wl.l	0.8019	0.4301	0.3718	60	4.4757	0.0301	0.0241
470.564	1.3844	Ed	Correct	1.367	wl.u	0.6422	0.4702	0.172	30	4.4757	0.0301	0.0241
475.584	1.1342	Ad	Correct	1.123	wl.u	0.8019	0.4702	0.3317	50	4.4757	0.0301	0.0241
478.62	1.3678	dE	Correct	1.362	wl.u	0.6422	0.4702	0.172	30	4.4757	0.0301	0.0241
483.641	1.0842	Ae	Correct	1.081	ww	0.8019	0.6422	0.1597	20	4.4757	0.0301	0.0241
487.16	0.8173	Ac	Correct	0.804	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
490.697	1.3344	cA	Correct	1.328	ww	0.8019	0.7556	0.0463	10	4.4757	0.0301	0.0241
