onset	duration	RT	Trial_type	Response	SSD
1.5346	0.5171	1510	Stop	Failed_stop	200
5.5378	0.5171	617	Go	correct	n/a
9.5411	0.5171	354	Go	Incorrect	n/a
12.5435	0.5171	597	Go	correct	n/a
17.5476	0.5171	596	Go	correct	n/a
20.55	0.5171	734	Stop	Failed_stop	200
25.0537	0.5171	457	Stop	Failed_stop	150
29.5573	0.5171	616	Go	correct	n/a
33.0602	0.5171	0	Stop	succesful_stop	100
37.5638	0.5171	519	Go	correct	n/a
40.0826	0.517	537	Go	correct	n/a
44.0858	0.5171	631	Go	correct	n/a
49.0732	0.5171	560	Go	correct	n/a
52.576	0.5171	589	Go	correct	n/a
56.5793	0.5171	516	Stop	Failed_stop	50
64.5858	0.5171	510	Go	correct	n/a
68.589	0.5171	553	Go	correct	n/a
73.0927	0.5171	0	Stop	succesful_stop	50
77.5964	0.517	0	Stop	succesful_stop	50
80.1151	0.5171	497	Go	correct	n/a
85.1025	0.517	601	Go	correct	n/a
88.1216	0.5171	0	Stop	succesful_stop	50
92.1248	0.5171	600	Go	correct	n/a
100.615	0.5171	809	Go	correct	n/a
105.1187	0.5171	457	Stop	Failed_stop	100
113.6256	0.5171	532	Go	correct	n/a
117.1285	0.517	550	Go	correct	n/a
120.6313	0.5171	526	Go	correct	n/a
125.6354	0.5171	0	Stop	succesful_stop	100
129.1382	0.5171	419	Go	correct	n/a
133.1415	0.5171	0	Stop	succesful_stop	150
136.6443	0.5171	1070	Go	correct	n/a
140.1638	0.5171	0	Stop	succesful_stop	200
149.1545	0.5171	688	Go	correct	n/a
152.6573	0.5171	557	Go	correct	n/a
156.6606	0.5171	634	Go	correct	n/a
161.1642	0.5171	417	Go	correct	n/a
164.6671	0.5171	620	Stop	Failed_stop	250
169.6711	0.5171	639	Go	correct	n/a
173.6744	0.5171	549	Go	correct	n/a
176.1931	0.5171	0	Stop	succesful_stop	300
181.1805	0.5171	518	Go	correct	n/a
185.1837	0.5171	431	Go	correct	n/a
189.6874	0.5171	462	Stop	Failed_stop	350
