onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.0668	2.1017	DC	C	Correct	2.069	2.4687	0.5171	1	0.5	0.5	0.5	34	8.8011	0.0952	0.0245
4.6038	1.2009	DC	C	Correct	1.198	6.105	0.5171	1	0.4524	0.5476	0.5	34	8.8011	0.0952	0.0245
9.6245	1.5846	CD	C	Correct	1.577	11.5094	0.5171	1	0.4093	0.5907	0.5	34	8.8011	0.0952	0.0245
13.144	1.568	DC	C	Correct	1.552	15.0122	0.5171	1	0.3704	0.6296	0.5	34	8.8011	0.0952	0.0245
16.1798	1.4512	DC	C	Correct	1.447	17.9313	0.517	1	0.3351	0.6649	0.5	34	8.8011	0.0952	0.0245
20.2165	2.1517	AB	B	Incorrect	2.143	22.6684	0.5171	-1	-0.5	0.5	0.5	12	8.8011	0.0952	0.0245
29.7409	2.502	FE	n/a	omission	0	32.5431	0.5171	0	0	0	0	0	8.8011	0.0952	0.0245
36.2461	1.6013	EF	E	Correct	1.593	38.1477	0.5171	1	0.5	0.5	0.5	56	8.8011	0.0952	0.0245
40.2661	1.4011	DC	C	Correct	1.392	41.9675	0.517	1	0.3032	0.6968	0.5	34	8.8011	0.0952	0.0245
44.286	2.085	AB	B	Incorrect	2.075	46.6713	0.1334	1	0.5122	0.4878	0.5	12	8.8011	0.0952	0.0245
47.8055	1.7515	FE	E	Correct	1.74	49.8572	0.5171	1	0.4524	0.5476	0.5	56	8.8011	0.0952	0.0245
51.3251	1.4345	CD	C	Correct	1.421	53.0598	0.5171	1	0.2743	0.7257	0.5	34	8.8011	0.0952	0.0245
55.8454	1.3845	EF	F	Incorrect	1.37	57.5301	0.5171	1	0.5	0.5	0.5907	56	8.8011	0.0952	0.0245
60.3657	1.3845	FE	E	Correct	1.367	62.0504	0.5171	1	0.4093	0.5907	0.5476	56	8.8011	0.0952	0.0245
64.3857	1.6513	EF	F	Incorrect	1.634	66.3372	0.5171	-1	-0.5476	0.5476	0.6296	56	8.8011	0.0952	0.0245
68.4056	1.7514	BA	B	Incorrect	1.739	70.4573	0.467	-1	-0.5365	0.5365	0.5	12	8.8011	0.0952	0.0245
71.4247	1.8515	CD	C	Correct	1.836	73.5765	0.517	1	0.2482	0.7518	0.5	34	8.8011	0.0952	0.0245
75.9451	1.1175	AB	B	Incorrect	1.108	77.3629	0.5171	-1	-0.5234	0.5234	0.5	12	8.8011	0.0952	0.0245
80.4654	1.201	CD	C	Correct	1.187	81.9666	0.5171	1	0.2246	0.7754	0.5	34	8.8011	0.0952	0.0245
87.4878	1.0508	DC	C	Correct	1.041	88.8389	0.517	1	0.2032	0.7968	0.5	34	8.8011	0.0952	0.0245
92.5085	1.8182	AB	B	Incorrect	1.805	94.6269	0.4003	1	0.4894	0.5106	0.5	12	8.8011	0.0952	0.0245
95.0439	1.618	CD	C	Correct	1.604	96.9621	0.5171	1	0.1839	0.8161	0.5	34	8.8011	0.0952	0.0245
100.5651	1.4178	EF	F	Incorrect	1.406	102.2831	0.5171	-1	-0.5342	0.5342	0.6296	56	8.8011	0.0952	0.0245
104.0846	1.7848	EF	F	Incorrect	1.767	106.1696	0.5171	-1	-0.5211	0.5211	0.6296	56	8.8011	0.0952	0.0245
107.1371	1.8014	FE	F	Incorrect	1.796	109.2388	0.5171	1	0.4916	0.5084	0.6296	56	8.8011	0.0952	0.0245
112.1578	1.0342	DC	C	Correct	1.019	113.4922	0.5171	-1	-0.8336	0.8336	0.5	34	8.8011	0.0952	0.0245
116.6781	1.2177	CD	C	Correct	1.2	118.196	0.5171	1	0.1868	0.8132	0.5	34	8.8011	0.0952	0.0245
119.2302	1.3845	DC	C	Correct	1.369	120.9149	0.5171	1	0.169	0.831	0.5	34	8.8011	0.0952	0.0245
123.7506	1.4011	BA	B	Incorrect	1.382	125.4353	0.517	-1	-0.5572	0.5572	0.5	12	8.8011	0.0952	0.0245
128.2876	1.5679	AB	B	Incorrect	1.561	130.1558	0.517	-1	-0.5435	0.5435	0.5	12	8.8011	0.0952	0.0245
132.8079	1.8515	BA	A	Correct	1.844	134.9597	0.3669	1	0.5	0.5	0.5302	12	8.8011	0.0952	0.0245
136.8278	1.4679	CD	C	Correct	1.452	138.5959	0.5171	1	0.1529	0.8471	0.5	34	8.8011	0.0952	0.0245
143.8502	1.5179	AB	B	Incorrect	1.508	145.6684	0.517	-1	-0.5302	0.5302	0.5476	12	8.8011	0.0952	0.0245
147.8701	1.2344	DC	C	Correct	1.232	149.4047	0.5171	-1	-0.8617	0.8617	0.5	34	8.8011	0.0952	0.0245
152.8742	1.1343	DC	C	Correct	1.126	154.3087	0.5171	1	0.1594	0.8406	0.5	34	8.8011	0.0952	0.0245
155.8933	1.4512	DC	C	Correct	1.445	157.6448	0.517	-1	-0.8557	0.8557	0.5	34	8.8011	0.0952	0.0245
159.4295	1.8015	FE	E	Correct	1.784	161.5312	0.5171	-1	-0.6296	0.6296	0.5552	56	8.8011	0.0952	0.0245
163.4661	1.5847	EF	F	Incorrect	1.576	165.351	0.5171	-1	-0.5552	0.5552	0.6142	56	8.8011	0.0952	0.0245
168.4869	1.7681	AB	B	Incorrect	1.755	170.5552	0.5171	1	0.4828	0.5172	0.5476	12	8.8011	0.0952	0.0245
172.0064	2.035	BA	B	Incorrect	2.019	174.3416	0.5171	-1	-0.5632	0.5632	0.5476	12	8.8011	0.0952	0.0245
177.0272	1.1175	DC	C	Correct	1.105	178.445	0.5171	1	0.1652	0.8348	0.5	34	8.8011	0.0952	0.0245
179.5626	2.4853	AB	B	Incorrect	2.483	182.3481	0.5171	-1	-0.5494	0.5494	0.5476	12	8.8011	0.0952	0.0245
183.5992	1.7681	FE	E	Correct	1.758	185.6675	0.5171	-1	-0.6142	0.6142	0.5416	56	8.8011	0.0952	0.0245
188.6199	1.0342	DC	C	Correct	1.021	189.9543	0.5171	-1	-0.8505	0.8505	0.5	34	8.8011	0.0952	0.0245
195.659	2.0183	FE	E	Correct	2.014	197.9775	0.5171	-1	-0.5992	0.5992	0.5416	56	8.8011	0.0952	0.0245
200.6797	1.8348	BA	B	Incorrect	1.832	202.8148	0.5171	-1	-0.536	0.536	0.5476	12	8.8011	0.0952	0.0245
203.7155	3.1859	FE	E	Correct	3.18	207.2017	0.5171	1	0.4155	0.5845	0.5416	56	8.8011	0.0952	0.0245
208.2358	2.0684	FE	F	Incorrect	2.06	210.6044	0.5171	-1	-0.5416	0.5416	0.6241	56	8.8011	0.0952	0.0245
220.796	2.2185	AB	A	Correct	2.216	223.3148	0.5004	1	0.4524	0.5476	0.5228	12	8.8011	0.0952	0.0245
225.3164	1.4345	AB	A	Correct	1.42	227.0511	0.5171	1	0.4093	0.5907	0.5228	12	8.8011	0.0952	0.0245
229.3363	1.1176	BA	A	Correct	1.111	230.7541	0.5171	1	0.3704	0.6296	0.5228	12	8.8011	0.0952	0.0245
232.8558	1.5346	CD	C	Correct	1.525	234.6907	0.517	-1	-0.8297	0.8297	0.5	34	8.8011	0.0952	0.0245
236.3754	1.1509	BA	A	Correct	1.134	237.8265	0.5171	-1	-0.6649	0.6649	0.5228	12	8.8011	0.0952	0.0245
241.3961	1.4845	DC	C	Correct	1.469	243.1809	0.5171	1	0.1906	0.8094	0.5	34	8.8011	0.0952	0.0245
