onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5495	1.9516	dF	inCorrect	1.942	ll	0.5249	0.7656	-0.2407	10	6.4516	0.201	0.0524
5.0705	1.3344	Fd	Correct	1.328	ll	0.7656	0.5249	0.2407	10	6.4516	0.201	0.0524
8.1065	1.251	dC	Correct	1.242	wl.l	0.9354	0.5249	0.4105	40	6.4516	0.201	0.0524
12.6265	1.0175	dE	Correct	1.013	wl.u	0.8923	0.5249	0.3674	30	6.4516	0.201	0.0524
16.1625	0.9007	dC	Correct	0.896	wl.l	0.9354	0.5249	0.4105	40	6.4516	0.201	0.0524
21.1835	1.5512	bF	Correct	1.538	ll	0.7656	0.553	0.2126	20	6.4516	0.201	0.0524
24.2185	0.8674	Eb	Correct	0.86	wl.u	0.8923	0.553	0.3393	40	6.4516	0.201	0.0524
32.2585	1.4178	Fb	Correct	1.403	ll	0.7656	0.553	0.2126	20	6.4516	0.201	0.0524
37.2795	1.3511	Fd	Correct	1.346	ll	0.7656	0.5249	0.2407	10	6.4516	0.201	0.0524
40.3155	0.784	cA	inCorrect	0.776	ww	0.9354	0.9661	-0.0307	10	6.4516	0.201	0.0524
45.3355	0.784	Ef	Correct	0.767	wl.l	0.8923	0.7656	0.1267	20	6.4516	0.201	0.0524
48.3715	1.0508	eC	inCorrect	1.048	ww	0.8923	0.9354	-0.0431	10	6.4516	0.201	0.0524
52.4085	1.1008	bC	Correct	1.087	wl.u	0.9354	0.553	0.3824	50	6.4516	0.201	0.0524
56.9285	1.2176	eA	inCorrect	1.211	ww	0.8923	0.9661	-0.0738	20	6.4516	0.201	0.0524
61.4485	1.4679	Ab	Correct	1.451	wl.l	0.9661	0.553	0.4131	60	6.4516	0.201	0.0524
64.9685	1.6514	dA	Correct	1.647	wl.u	0.9661	0.5249	0.4412	50	6.4516	0.201	0.0524
68.9885	1.7514	dF	inCorrect	1.74	ll	0.5249	0.7656	-0.2407	10	6.4516	0.201	0.0524
72.5245	1.7014	dA	Correct	1.696	wl.u	0.9661	0.5249	0.4412	50	6.4516	0.201	0.0524
81.5485	0.8674	Ef	Correct	0.85	wl.l	0.8923	0.7656	0.1267	20	6.4516	0.201	0.0524
84.5845	1.4678	fE	Correct	1.456	wl.l	0.8923	0.7656	0.1267	20	6.4516	0.201	0.0524
89.1045	0.7839	cA	inCorrect	0.776	ww	0.9354	0.9661	-0.0307	10	6.4516	0.201	0.0524
92.6405	0.6505	cA	inCorrect	0.633	ww	0.9354	0.9661	-0.0307	10	6.4516	0.201	0.0524
96.6775	1.8182	bF	Correct	1.807	ll	0.7656	0.553	0.2126	20	6.4516	0.201	0.0524
101.1975	0.7506	Cf	Correct	0.741	wl.u	0.9354	0.7656	0.1698	30	6.4516	0.201	0.0524
105.2175	0.7673	Cb	Correct	0.752	wl.u	0.9354	0.553	0.3824	50	6.4516	0.201	0.0524
109.2375	1.9683	fA	Correct	1.963	wl.u	0.9661	0.7656	0.2005	40	6.4516	0.201	0.0524
112.7735	1.718	Fb	Correct	1.701	ll	0.7656	0.553	0.2126	20	6.4516	0.201	0.0524
