onset	duration	RT	Trial_type	Response	SSD
1.0174	0.5171	892	Go	correct	n/a
5.0207	0.5171	722	Go	Incorrect	n/a
8.0398	0.5171	501	Go	correct	n/a
12.5268	0.5171	645	Stop	Failed_stop	200
16.0463	0.5171	654	Go	correct	n/a
20.0496	0.517	0	Stop	succesful_stop	200
25.5374	0.517	1172	Go	correct	n/a
28.0561	0.517	674	Go	Incorrect	n/a
32.543	0.5171	678	Go	correct	n/a
36.5463	0.5171	886	Go	correct	n/a
41.5504	0.517	1070	Go	Incorrect	n/a
44.5528	0.5171	614	Go	correct	n/a
49.0564	0.5171	819	Go	Incorrect	n/a
52.5593	0.5171	763	Go	correct	n/a
56.5625	0.5171	0	Stop	succesful_stop	250
60.0821	0.5171	743	Go	Incorrect	n/a
64.0853	0.5171	802	Go	Incorrect	n/a
68.0886	0.5171	853	Go	correct	n/a
77.5796	0.5171	0	Stop	succesful_stop	300
81.0825	0.517	945	Go	correct	n/a
84.1016	0.5171	531	Stop	Failed_stop	350
88.1048	0.5171	783	Go	correct	n/a
93.5926	0.5171	875	Go	correct	n/a
97.0955	0.517	772	Go	correct	n/a
100.5983	0.5171	784	Go	correct	n/a
105.102	0.517	825	Go	correct	n/a
108.1211	0.5171	779	Go	Incorrect	n/a
113.1085	0.517	798	Go	correct	n/a
116.1276	0.5171	947	Go	correct	n/a
120.6146	0.517	982	Go	Incorrect	n/a
128.6211	0.517	0	Stop	succesful_stop	400
133.6251	0.5171	774	Go	correct	n/a
137.6284	0.5171	0	Stop	succesful_stop	450
141.1312	0.5171	0	Stop	succesful_stop	500
144.1503	0.5171	450	Go	correct	n/a
152.6406	0.517	777	Go	correct	n/a
161.6479	0.5171	739	Go	correct	n/a
164.1666	0.5171	1025	Go	Incorrect	n/a
169.6544	0.5171	0	Stop	succesful_stop	550
172.6568	0.5171	0	Stop	succesful_stop	600
177.6609	0.5171	707	Stop	Failed_stop	650
181.6641	0.5171	713	Go	Incorrect	n/a
185.167	0.5171	762	Stop	Failed_stop	700
188.6698	0.5171	746	Stop	Failed_stop	750
192.1893	0.5171	831	Go	correct	n/a
197.6771	0.5171	1014	Go	Incorrect	n/a
200.1958	0.5171	953	Go	Incorrect	n/a
204.1991	0.5171	769	Go	correct	n/a
213.1897	0.5171	1387	Stop	Failed_stop	800
217.193	0.5171	1396	Go	correct	n/a
220.6958	0.5171	1064	Go	correct	n/a
224.2153	0.5171	799	Stop	Failed_stop	850
229.7031	0.5171	751	Go	correct	n/a
233.206	0.5171	882	Go	correct	n/a
236.2251	0.5171	941	Go	Incorrect	n/a
240.2283	0.5171	791	Stop	Failed_stop	900
245.2157	0.5171	903	Stop	Failed_stop	950
248.7186	0.5171	0	Stop	succesful_stop	950
252.2381	0.5171	1127	Go	Incorrect	n/a
256.2414	0.517	924	Go	correct	n/a
260.2446	0.5171	804	Go	Incorrect	n/a
264.7316	0.5171	946	Go	correct	n/a
269.2352	0.5171	425	Stop	Failed_stop	1000
272.7381	0.5171	1135	Go	correct	n/a
277.2417	0.5171	801	Go	correct	n/a
280.2608	0.5171	972	Stop	Failed_stop	1000
285.2482	0.5171	1018	Go	correct	n/a
289.7519	0.5171	852	Stop	Failed_stop	950
293.7551	0.5171	1012	Stop	Failed_stop	900
297.7584	0.5171	942	Stop	Failed_stop	850
300.2771	0.5171	0	Stop	succesful_stop	800
304.2804	0.517	982	Go	correct	n/a
308.7673	0.5171	889	Go	correct	n/a
317.2742	0.5171	959	Go	Incorrect	n/a
321.7779	0.5171	856	Go	correct	n/a
325.2807	0.5171	1124	Go	Incorrect	n/a
329.284	0.5171	1022	Go	correct	n/a
333.7876	0.5171	895	Go	correct	n/a
336.3064	0.517	1165	Go	Incorrect	n/a
340.3096	0.5171	768	Go	correct	n/a
344.7966	0.5171	872	Stop	Failed_stop	750
348.3161	0.5171	0	Stop	succesful_stop	700
353.8039	0.5171	856	Stop	Failed_stop	650
356.8063	0.5171	0	Stop	succesful_stop	600
365.8136	0.5171	826	Go	Incorrect	n/a
372.3356	0.5171	957	Stop	Failed_stop	550
376.8226	0.5171	884	Go	correct	n/a
380.8258	0.5171	965	Go	correct	n/a
384.3454	0.517	792	Go	correct	n/a
389.8332	0.517	0	Stop	succesful_stop	500
392.3519	0.517	925	Go	correct	n/a
396.3551	0.5171	830	Go	correct	n/a
401.8429	0.5171	717	Go	correct	n/a
409.349	0.5171	722	Stop	Failed_stop	450
412.8518	0.5171	0	Stop	succesful_stop	400
417.8559	0.5171	827	Go	correct	n/a
421.8592	0.517	943	Go	correct	n/a
425.8624	0.5171	880	Go	Incorrect	n/a
432.8681	0.5171	923	Go	correct	n/a
437.3718	0.517	0	Stop	succesful_stop	350
440.3909	0.5171	830	Go	correct	n/a
444.8778	0.5171	845	Go	correct	n/a
449.3815	0.5171	776	Go	correct	n/a
453.3848	0.517	0	Stop	succesful_stop	300
457.388	0.5171	0	Stop	succesful_stop	250
460.8908	0.5171	851	Go	Incorrect	n/a
465.3945	0.5171	873	Go	correct	n/a
469.3978	0.517	739	Go	correct	n/a
473.401	0.5171	838	Go	correct	n/a
480.4234	0.5171	0	Stop	succesful_stop	250
489.9144	0.5171	752	Go	correct	n/a
496.9201	0.5171	727	Go	correct	n/a
500.9234	0.517	783	Go	correct	n/a
509.9307	0.5171	891	Go	correct	n/a
512.4494	0.5171	776	Go	correct	n/a
516.9364	0.517	0	Stop	succesful_stop	300
521.9404	0.5171	1043	Go	correct	n/a
525.9437	0.5171	876	Go	correct	n/a
529.4465	0.5171	0	Stop	succesful_stop	350
533.9502	0.5171	0	Stop	succesful_stop	400
536.4689	0.5171	943	Go	correct	n/a
540.4721	0.5171	760	Go	correct	n/a
545.9599	0.5171	0	Stop	succesful_stop	450
549.9632	0.5171	771	Go	correct	n/a
553.466	0.5171	755	Go	correct	n/a
557.4693	0.5171	809	Go	correct	n/a
561.4725	0.5171	921	Go	correct	n/a
564.9754	0.517	939	Go	correct	n/a
568.9786	0.5171	0	Stop	succesful_stop	500
572.9819	0.517	1139	Go	correct	n/a
577.4855	0.5171	0	Stop	succesful_stop	550
581.4888	0.5171	817	Stop	Failed_stop	600
585.492	0.5171	911	Go	correct	n/a
592.9981	0.5171	767	Stop	Failed_stop	650
598.0022	0.5171	0	Stop	succesful_stop	700
601.505	0.5171	847	Go	correct	n/a
604.5241	0.5171	861	Go	correct	n/a
610.0119	0.5171	720	Go	correct	n/a
613.5148	0.5171	603	Go	correct	n/a
616.5339	0.5171	796	Go	correct	n/a
620.5371	0.5171	815	Stop	Failed_stop	750
624.5404	0.5171	0	Stop	succesful_stop	800
628.5436	0.5171	927	Stop	Failed_stop	850
632.5469	0.5171	812	Stop	Failed_stop	900
637.5343	0.5171	800	Go	correct	n/a
642.0379	0.5171	860	Go	correct	n/a
644.5566	0.5171	919	Go	Incorrect	n/a
649.544	0.5171	1116	Go	correct	n/a
653.5473	0.5171	752	Stop	Failed_stop	950
658.0509	0.5171	959	Go	correct	n/a
