onset	duration	Stim
16.033	1.018	Face
18.034	1.018	Face
20.036	1.018	Face
22.036	1.002	Face
24.039	1.018	Face
26.041	1.018	Face
28.041	1.003	Face
30.044	1.018	Face
44.121	1.002	Object
46.121	1.004	Object
48.125	1.018	Object
50.127	1.018	Object
52.129	1.018	Object
54.13	1.018	Object
56.132	1.018	Object
58.134	1.018	Object
72.245	1.018	House
74.247	1.018	House
76.248	1.018	House
78.25	1.018	House
80.252	1.018	House
82.253	1.018	House
84.255	1.018	House
86.256	1.018	House
100.368	1.017	Scrambled
102.37	1.018	Scrambled
104.371	1.018	Scrambled
106.373	1.018	Scrambled
108.374	1.017	Scrambled
110.376	1.018	Scrambled
112.378	1.018	Scrambled
114.379	1.018	Scrambled
128.491	1.018	House
130.492	1.018	House
132.494	1.018	House
134.496	1.018	House
136.497	1.018	House
138.499	1.018	House
140.5	1.018	House
142.502	1.018	House
156.614	1.018	Face
158.615	1.017	Face
160.617	1.018	Face
162.618	1.018	Face
164.62	1.018	Face
166.622	1.018	Face
168.623	1.018	Face
170.625	1.018	Face
184.736	1.017	Scrambled
186.738	1.018	Scrambled
188.74	1.018	Scrambled
190.741	1.018	Scrambled
192.743	1.018	Scrambled
194.745	1.018	Scrambled
196.746	1.018	Scrambled
198.748	1.018	Scrambled
212.859	1.018	Object
214.861	1.018	Object
216.862	1.018	Object
218.864	1.018	Object
220.866	1.018	Object
222.867	1.018	Object
224.869	1.018	Object
226.871	1.018	Object
240.982	1.018	Object
242.984	1.018	Object
244.985	1.018	Object
246.987	1.018	Object
248.989	1.018	Object
250.99	1.017	Object
252.992	1.018	Object
254.993	1.018	Object
269.105	1.018	Scrambled
271.107	1.018	Scrambled
273.108	1.018	Scrambled
275.11	1.018	Scrambled
277.111	1.018	Scrambled
279.113	1.018	Scrambled
281.115	1.018	Scrambled
283.116	1.018	Scrambled
297.228	1.018	Face
299.229	1.018	Face
301.231	1.018	Face
303.233	1.018	Face
305.234	1.018	Face
307.236	1.018	Face
309.237	1.018	Face
311.239	1.018	Face
325.351	1.018	House
327.352	1.017	House
329.354	1.018	House
331.355	1.018	House
333.357	1.018	House
335.359	1.017	House
337.36	1.018	House
339.362	1.018	House
353.473	1.018	Scrambled
355.475	1.018	Scrambled
357.477	1.018	Scrambled
359.478	1.018	Scrambled
361.48	1.018	Scrambled
363.482	1.018	Scrambled
365.483	1.018	Scrambled
367.485	1.018	Scrambled
381.596	1.018	House
383.598	1.018	House
385.6	1.017	House
387.601	1.018	House
389.603	1.018	House
391.604	1.018	House
393.606	1.018	House
395.608	1.018	House
409.719	1.018	Object
411.721	1.018	Object
413.722	1.018	Object
415.724	1.018	Object
417.726	1.018	Object
419.727	1.018	Object
421.729	1.018	Object
423.73	1.018	Object
437.842	1.018	Face
439.844	1.018	Face
441.845	1.018	Face
443.847	1.018	Face
445.848	1.018	Face
447.85	1.018	Face
449.852	1.018	Face
451.853	1.018	Face
