onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5337	1.2343	Ed	Correct	1.216	wl.u	0.912	0.5487	0.3633	30	8.0677	0.0334	0
5.0517	1.5365	Ac	Correct	1.522	ww	0.9349	0.9203	0.0146	10	8.0677	0.0334	0
8.5727	1.6847	Cb	Correct	1.681	wl.u	0.9203	0.5487	0.3716	50	8.0677	0.0334	0
12.1097	1.8014	Fb	Correct	1.792	ll	0.5923	0.5487	0.0436	20	8.0677	0.0334	0
16.1457	1.5178	cA	inCorrect	1.511	ww	0.9203	0.9349	-0.0146	10	8.0677	0.0334	0
21.1667	1.3178	Ed	Correct	1.313	wl.u	0.912	0.5487	0.3633	30	8.0677	0.0334	0
24.6857	1.5679	dF	Correct	1.553	ll	0.5923	0.5487	0.0436	10	8.0677	0.0334	0
28.7057	1.5679	dF	Correct	1.566	ll	0.5923	0.5487	0.0436	10	8.0677	0.0334	0
32.7257	1.4011	dF	Correct	1.386	ll	0.5923	0.5487	0.0436	10	8.0677	0.0334	0
36.7457	1.3844	dF	Correct	1.38	ll	0.5923	0.5487	0.0436	10	8.0677	0.0334	0
40.2817	1.668	bF	Correct	1.654	ll	0.5923	0.5487	0.0436	20	8.0677	0.0334	0
45.3027	1.7848	fE	Correct	1.773	wl.l	0.912	0.5923	0.3197	20	8.0677	0.0334	0
49.3227	1.5012	dA	Correct	1.492	wl.u	0.9349	0.5487	0.3862	50	8.0677	0.0334	0
52.8417	1.4845	Db	inCorrect	1.479	ll	0.5487	0.5487	0	10	8.0677	0.0334	0
56.8617	1.4845	bE	Correct	1.47	wl.u	0.912	0.5487	0.3633	40	8.0677	0.0334	0
61.3817	1.7348	bE	Correct	1.725	wl.u	0.912	0.5487	0.3633	40	8.0677	0.0334	0
64.9017	1.4845	Ce	inCorrect	1.478	ww	0.912	0.9203	-0.0083	10	8.0677	0.0334	0
68.4377	1.301	dC	Correct	1.291	wl.l	0.9203	0.5487	0.3716	40	8.0677	0.0334	0
72.4737	1.2844	Db	inCorrect	1.271	ll	0.5487	0.5487	0	10	8.0677	0.0334	0
76.5107	1.7514	bC	Correct	1.745	wl.u	0.9203	0.5487	0.3716	50	8.0677	0.0334	0
81.5317	1.6346	eA	Correct	1.628	ww	0.9349	0.912	0.0229	20	8.0677	0.0334	0
85.0507	1.9349	bD	inCorrect	1.928	ll	0.5487	0.5487	0	10	8.0677	0.0334	0
89.0707	1.7514	bA	Correct	1.737	wl.l	0.9349	0.5487	0.3862	60	8.0677	0.0334	0
93.5907	1.2844	eA	inCorrect	1.268	ww	0.912	0.9349	-0.0229	20	8.0677	0.0334	0
101.6137	2.3019	bF	Correct	2.292	ll	0.5923	0.5487	0.0436	20	8.0677	0.0334	0
105.6337	1.6347	Eb	Correct	1.629	wl.u	0.912	0.5487	0.3633	40	8.0677	0.0334	0
112.6727	1.0341	bE	Correct	1.03	wl.u	0.912	0.5487	0.3633	40	8.0677	0.0334	0
117.1937	1.6012	Cb	Correct	1.591	wl.u	0.9203	0.5487	0.3716	50	8.0677	0.0334	0
120.7297	1.251	Af	Correct	1.235	wl.u	0.9349	0.5923	0.3426	40	8.0677	0.0334	0
125.7497	1.2176	Db	inCorrect	1.207	ll	0.5487	0.5487	0	10	8.0677	0.0334	0
129.2697	1.3344	dF	Correct	1.327	ll	0.5923	0.5487	0.0436	10	8.0677	0.0334	0
