onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.0831	1.1843	eC	Correct	1.168	ww	0.6603	0.6074	0.0529	10	1.2468	0.0151	0.0062
4.1191	1.0842	Cf	inCorrect	1.08	wl.u	0.5522	0.6603	-0.1081	30	1.2468	0.0151	0.0062
9.1401	0.9841	dA	Correct	0.968	wl.u	0.7125	0.4977	0.2148	50	1.2468	0.0151	0.0062
12.1761	1.3011	Fb	Correct	1.288	ll	0.5522	0.4641	0.0881	20	1.2468	0.0151	0.0062
16.2121	1.1342	Fb	Correct	1.116	ll	0.5522	0.4641	0.0881	20	1.2468	0.0151	0.0062
20.2491	0.8841	dE	inCorrect	0.875	wl.u	0.4977	0.6074	-0.1097	30	1.2468	0.0151	0.0062
24.7691	0.9174	Ab	Correct	0.902	wl.l	0.7125	0.4641	0.2484	60	1.2468	0.0151	0.0062
32.3091	1.251	Cb	Correct	1.235	wl.u	0.6603	0.4641	0.1962	50	1.2468	0.0151	0.0062
36.3451	0.9841	Ed	inCorrect	0.976	wl.u	0.4977	0.6074	-0.1097	30	1.2468	0.0151	0.0062
41.3661	1.0008	Ae	inCorrect	0.997	ww	0.6074	0.7125	-0.1051	20	1.2468	0.0151	0.0062
44.4021	0.9341	Ad	Correct	0.927	wl.u	0.7125	0.4977	0.2148	50	1.2468	0.0151	0.0062
48.4381	0.9174	Ab	Correct	0.904	wl.l	0.7125	0.4641	0.2484	60	1.2468	0.0151	0.0062
53.4591	1.2677	Ae	inCorrect	1.256	ww	0.6074	0.7125	-0.1051	20	1.2468	0.0151	0.0062
56.4951	1.0008	Db	Correct	0.988	ll	0.4977	0.4641	0.0336	10	1.2468	0.0151	0.0062
61.0151	0.9841	fA	inCorrect	0.972	wl.u	0.5522	0.7125	-0.1603	40	1.2468	0.0151	0.0062
65.0351	1.0008	dC	inCorrect	0.996	wl.l	0.4977	0.6603	-0.1626	40	1.2468	0.0151	0.0062
68.5711	0.9174	Eb	Correct	0.914	wl.u	0.6074	0.4641	0.1433	40	1.2468	0.0151	0.0062
