onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
1.0516	0.9508	eA	Correct	0.943	ww	0.9999	0.9995	4e-04	20	3.289	0.285	1e-04
4.5716	0.884	dA	inCorrect	0.87	wl.u	0.9062	0.9999	-0.0937	50	3.289	0.285	1e-04
9.0916	1.301	Fd	Correct	1.291	ll	0.9909	0.9062	0.0847	10	3.289	0.285	1e-04
12.1276	1.251	Eb	Correct	1.24	wl.u	0.9995	0.99	0.0095	40	3.289	0.285	1e-04
17.1486	1.0842	bD	inCorrect	1.076	ll	0.99	0.9062	0.0838	10	3.289	0.285	1e-04
20.6676	1.1676	bD	inCorrect	1.154	ll	0.99	0.9062	0.0838	10	3.289	0.285	1e-04
28.2076	0.9175	Ad	Correct	0.902	wl.u	0.9999	0.9062	0.0937	50	3.289	0.285	1e-04
33.2286	0.9324	bE	inCorrect	0.932	wl.u	0.99	0.9995	-0.0095	40	3.289	0.285	1e-04
36.7306	1.2677	bE	Correct	1.262	wl.u	0.9995	0.99	0.0095	40	3.289	0.285	1e-04
40.2676	1.9349	eA	inCorrect	1.919	ww	0.9995	0.9999	-4e-04	20	3.289	0.285	1e-04
44.3036	1.3845	eA	Correct	1.37	ww	0.9999	0.9995	4e-04	20	3.289	0.285	1e-04
48.8236	1.0676	Ad	Correct	1.066	wl.u	0.9999	0.9062	0.0937	50	3.289	0.285	1e-04
52.8276	1.3511	Cf	Correct	1.34	wl.u	0.9998	0.9909	0.0089	30	3.289	0.285	1e-04
56.8476	1.1009	Eb	inCorrect	1.087	wl.u	0.99	0.9995	-0.0095	40	3.289	0.285	1e-04
61.3676	1.1843	bA	inCorrect	1.178	wl.l	0.99	0.9999	-0.0099	60	3.289	0.285	1e-04
64.8866	1.0509	dC	inCorrect	1.042	wl.l	0.9062	0.9998	-0.0936	40	3.289	0.285	1e-04
68.9066	1.1009	dA	Correct	1.083	wl.u	0.9999	0.9062	0.0937	50	3.289	0.285	1e-04
73.4276	1.2009	bC	inCorrect	1.194	wl.u	0.99	0.9998	-0.0098	50	3.289	0.285	1e-04
77.4476	1.2677	Fd	Correct	1.261	ll	0.9909	0.9062	0.0847	10	3.289	0.285	1e-04
80.4826	1.3677	Cd	Correct	1.356	wl.l	0.9998	0.9062	0.0936	40	3.289	0.285	1e-04
84.5196	0.8507	fA	inCorrect	0.844	wl.u	0.9909	0.9999	-0.009	40	3.289	0.285	1e-04
89.0396	1.201	eC	inCorrect	1.188	ww	0.9995	0.9998	-3e-04	10	3.289	0.285	1e-04
93.0596	1.3011	Ed	Correct	1.293	wl.u	0.9995	0.9062	0.0933	30	3.289	0.285	1e-04
96.5956	1.5679	Fb	Correct	1.565	ll	0.9909	0.99	9e-04	20	3.289	0.285	1e-04
101.1166	1.0676	Ad	Correct	1.057	wl.u	0.9999	0.9062	0.0937	50	3.289	0.285	1e-04
104.6526	1.2177	dA	inCorrect	1.203	wl.u	0.9062	0.9999	-0.0937	50	3.289	0.285	1e-04
109.1726	1.5179	Db	Correct	1.512	ll	0.9062	0.99	-0.0838	10	3.289	0.285	1e-04
