onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.0501	2.085	EF	E	Correct	2.068	2.4353	0.5171	-1	-0.9463	0.9463	0.7287	56	7.1187	0.0981	7e-04
5.5712	1.2843	CD	C	Correct	1.281	7.1558	0.517	1	0.0331	0.9669	0.5905	34	7.1187	0.0981	7e-04
12.5935	0.9841	CD	C	Correct	0.978	13.8778	0.5171	1	0.0299	0.9701	0.5905	34	7.1187	0.0981	7e-04
21.6174	1.3177	AB	A	Correct	1.303	23.2353	0.5171	1	0.0143	0.9857	0.5	12	7.1187	0.0981	7e-04
25.1369	3.0024	FE	n/a	omission	0	28.4395	0.5171	0	0	0	0	0	7.1187	0.0981	7e-04
32.6429	1.3678	BA	A	Correct	1.356	34.3109	0.5171	1	0.0129	0.9871	0.5	12	7.1187	0.0981	7e-04
35.1783	1.4845	BA	A	Correct	1.479	36.963	0.5171	1	0.0116	0.9884	0.5	12	7.1187	0.0981	7e-04
43.2181	1.3676	DC	C	Correct	1.362	44.8861	0.517	1	0.0269	0.9731	0.5905	34	7.1187	0.0981	7e-04
47.2546	2.1851	EF	E	Correct	2.182	49.74	0.517	-1	-0.9456	0.9456	0.7287	56	7.1187	0.0981	7e-04
51.7749	2.1184	EF	E	Correct	2.113	54.1935	0.5171	1	0.0551	0.9449	0.7287	56	7.1187	0.0981	7e-04
55.3111	1.5679	AB	A	Correct	1.565	57.1793	0.5171	1	0.0105	0.9895	0.5	12	7.1187	0.0981	7e-04
63.3509	1.6513	FE	E	Correct	1.645	65.3025	0.517	1	0.0497	0.9503	0.7287	56	7.1187	0.0981	7e-04
67.3875	2.2351	CD	C	Correct	2.217	69.9228	0.5171	1	0.0243	0.9757	0.5905	34	7.1187	0.0981	7e-04
71.9078	2.085	BA	A	Correct	2.081	74.293	0.5171	-1	-0.9905	0.9905	0.5	12	7.1187	0.0981	7e-04
76.4281	1.2176	DC	C	Correct	1.205	77.9459	0.5171	-1	-0.9781	0.9781	0.5905	34	7.1187	0.0981	7e-04
79.4638	1.3678	AB	A	Correct	1.359	81.1318	0.5171	1	0.0102	0.9898	0.5	12	7.1187	0.0981	7e-04
84.4845	1.7514	CD	C	Correct	1.736	86.5362	0.5171	-1	-0.9774	0.9774	0.5905	34	7.1187	0.0981	7e-04
88.004	1.7848	BA	A	Correct	1.778	90.089	0.5171	1	0.0092	0.9908	0.5	12	7.1187	0.0981	7e-04
92.5243	2.2518	CD	C	Correct	2.238	95.0764	0.467	1	0.0233	0.9767	0.5905	34	7.1187	0.0981	7e-04
95.5601	3.1859	FE	E	Correct	3.183	99.0462	0.5338	-1	-0.9552	0.9552	0.7287	56	7.1187	0.0981	7e-04
100.5808	2.6021	EF	E	Correct	2.59	103.4831	0.1168	1	0.0455	0.9545	0.7287	56	7.1187	0.0981	7e-04
104.1003	2.0016	EF	E	Correct	1.986	106.4021	0.5171	1	0.041	0.959	0.7287	56	7.1187	0.0981	7e-04
109.121	1.8682	EF	E	Correct	1.86	111.2894	0.3503	-1	-0.963	0.963	0.7287	56	7.1187	0.0981	7e-04
116.1433	1.4512	AB	A	Correct	1.434	117.8947	0.5171	-1	-0.9917	0.9917	0.5	12	7.1187	0.0981	7e-04
121.164	2.502	FE	n/a	omission	0	123.9662	0.5171	0	0	0	0	0	7.1187	0.0981	7e-04
126.6684	1.3845	AB	A	Correct	1.37	128.3531	0.5171	1	0.009	0.991	0.5	12	7.1187	0.0981	7e-04
130.2046	1.5846	FE	F	Incorrect	1.567	132.0894	0.5171	1	0.2713	0.7287	0.9623	56	7.1187	0.0981	7e-04
134.7249	1.5012	CD	C	Correct	1.494	136.5263	0.5171	1	0.021	0.979	0.5905	34	7.1187	0.0981	7e-04
138.7448	2.8523	DC	C	Correct	2.837	141.8973	0.367	1	0.019	0.981	0.5905	34	7.1187	0.0981	7e-04
142.2809	1.9183	AB	A	Correct	1.906	144.4994	0.5171	1	0.0081	0.9919	0.5	12	7.1187	0.0981	7e-04
147.8021	2.502	BA	n/a	omission	0	150.6043	0.5171	0	0	0	0	0	7.1187	0.0981	7e-04
153.8069	1.0842	AB	A	Correct	1.07	155.1913	0.5171	1	0.0073	0.9927	0.5	12	7.1187	0.0981	7e-04
