onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.5346	1.5653	FE	F	Incorrect	1.565	3.3999	0.5032	1	0.5	0.5	0.5	56	7.1187	0.0981	7e-04
12.093	3.0858	FE	F	Incorrect	3.068	15.4791	0.5171	1	0.451	0.549	0.5	56	7.1187	0.0981	7e-04
16.1296	1.8515	EF	E	Correct	1.838	18.2813	0.5171	-1	-0.5	0.5	0.5933	56	7.1187	0.0981	7e-04
21.6507	1.6847	EF	E	Correct	1.679	23.6356	0.5171	1	0.5004	0.4996	0.5933	56	7.1187	0.0981	7e-04
25.1702	1.6346	AB	A	Correct	1.63	27.1051	0.5171	1	0.5	0.5	0.5	12	7.1187	0.0981	7e-04
29.1901	1.618	AB	A	Correct	1.614	31.1083	0.5171	1	0.451	0.549	0.5	12	7.1187	0.0981	7e-04
32.2259	3.0024	AB	A	Correct	2.992	35.5285	0.5171	1	0.4067	0.5933	0.5	12	7.1187	0.0981	7e-04
36.7462	1.9015	AB	A	Correct	1.883	38.9313	0.517	1	0.3669	0.6331	0.5	12	7.1187	0.0981	7e-04
44.3022	1.8348	DC	D	Incorrect	1.82	46.4373	0.5171	1	0.5	0.5	0.5	34	7.1187	0.0981	7e-04
48.8225	2.1684	CD	D	Incorrect	2.161	51.2912	0.5171	-1	-0.549	0.549	0.5	34	7.1187	0.0981	7e-04
52.8424	2.1684	DC	C	Correct	2.163	55.3111	0.5171	1	0.5	0.5	0.5486	34	7.1187	0.0981	7e-04
60.8655	1.4012	EF	E	Correct	1.391	62.5669	0.5171	1	0.4513	0.5487	0.5933	56	7.1187	0.0981	7e-04
68.922	2.3352	DC	D	Incorrect	2.329	71.5575	0.517	-1	-0.5486	0.5486	0.549	34	7.1187	0.0981	7e-04
73.9427	1.8015	FE	F	Incorrect	1.79	76.0444	0.417	-1	-0.5933	0.5933	0.593	56	7.1187	0.0981	7e-04
77.9626	2.0183	BA	A	Correct	2.015	80.2811	0.2002	1	0.3309	0.6691	0.5	12	7.1187	0.0981	7e-04
80.9817	1.7848	FE	F	Incorrect	1.769	83.0667	0.5171	-1	-0.5928	0.5928	0.593	56	7.1187	0.0981	7e-04
