onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5167	1.0509	Cd	Correct	1.04	wl.l	0.9843	0.7879	0.1964	40	4.5775	0.0694	3e-04
4.0527	1.1509	Cb	Correct	1.148	wl.u	0.9843	0.6489	0.3354	50	4.5775	0.0694	3e-04
9.0737	0.784	dE	Correct	0.77	wl.u	0.9726	0.7879	0.1847	30	4.5775	0.0694	3e-04
12.1097	0.9675	eA	Correct	0.96	ww	0.9872	0.9726	0.0146	20	4.5775	0.0694	3e-04
16.1457	1.5179	dE	Correct	1.502	wl.u	0.9726	0.7879	0.1847	30	4.5775	0.0694	3e-04
20.6667	1.0675	Fb	inCorrect	1.054	ll	0.6489	0.7373	-0.0884	20	4.5775	0.0694	3e-04
24.6857	1.0675	Ac	inCorrect	1.05	ww	0.9843	0.9872	-0.0029	10	4.5775	0.0694	3e-04
29.2067	0.9007	Ab	Correct	0.89	wl.l	0.9872	0.6489	0.3383	60	4.5775	0.0694	3e-04
33.2267	1.5846	Ad	Correct	1.567	wl.u	0.9872	0.7879	0.1993	50	4.5775	0.0694	3e-04
36.2617	1.1676	Ac	Correct	1.151	ww	0.9872	0.9843	0.0029	10	4.5775	0.0694	3e-04
41.2827	0.6672	fE	Correct	0.661	wl.l	0.9726	0.7373	0.2353	20	4.5775	0.0694	3e-04
45.3027	0.9007	dF	inCorrect	0.896	ll	0.7879	0.7373	0.0506	10	4.5775	0.0694	3e-04
48.8227	1.251	Ad	Correct	1.248	wl.u	0.9872	0.7879	0.1993	50	4.5775	0.0694	3e-04
52.8417	1.8182	Ae	inCorrect	1.802	ww	0.9726	0.9872	-0.0146	20	4.5775	0.0694	3e-04
56.3787	0.9174	Ab	Correct	0.906	wl.l	0.9872	0.6489	0.3383	60	4.5775	0.0694	3e-04
60.8987	1.0842	eC	inCorrect	1.077	ww	0.9726	0.9843	-0.0117	10	4.5775	0.0694	3e-04
64.9187	1.5513	eC	inCorrect	1.537	ww	0.9726	0.9843	-0.0117	10	4.5775	0.0694	3e-04
68.4547	0.9341	eC	inCorrect	0.923	ww	0.9726	0.9843	-0.0117	10	4.5775	0.0694	3e-04
72.9747	1.9016	bF	inCorrect	1.89	ll	0.6489	0.7373	-0.0884	20	4.5775	0.0694	3e-04
76.5117	1.1009	cA	inCorrect	1.085	ww	0.9843	0.9872	-0.0029	10	4.5775	0.0694	3e-04
81.0317	0.9174	Ab	Correct	0.903	wl.l	0.9872	0.6489	0.3383	60	4.5775	0.0694	3e-04
84.5677	1.0509	bF	inCorrect	1.04	ll	0.6489	0.7373	-0.0884	20	4.5775	0.0694	3e-04
89.0877	0.9174	Eb	Correct	0.903	wl.u	0.9726	0.6489	0.3237	40	4.5775	0.0694	3e-04
93.6087	1.8682	Db	inCorrect	1.857	ll	0.6489	0.7879	-0.139	10	4.5775	0.0694	3e-04
97.1277	1.3845	Cb	Correct	1.37	wl.u	0.9843	0.6489	0.3354	50	4.5775	0.0694	3e-04
101.1477	2.2018	dF	Correct	2.194	ll	0.7373	0.7879	-0.0506	10	4.5775	0.0694	3e-04
105.6677	1.8014	bE	Correct	1.787	wl.u	0.9726	0.6489	0.3237	40	4.5775	0.0694	3e-04
109.1877	2.1685	Eb	Correct	2.159	wl.u	0.9726	0.6489	0.3237	40	4.5775	0.0694	3e-04
113.7077	0.9507	bC	Correct	0.948	wl.u	0.9843	0.6489	0.3354	50	4.5775	0.0694	3e-04
120.7467	0.8673	Ae	inCorrect	0.855	ww	0.9726	0.9872	-0.0146	20	4.5775	0.0694	3e-04
124.7837	1.2343	Ed	Correct	1.229	wl.u	0.9726	0.7879	0.1847	30	4.5775	0.0694	3e-04
133.3067	1.718	bA	Correct	1.716	wl.l	0.9872	0.6489	0.3383	60	4.5775	0.0694	3e-04
137.8107	1.6514	Cf	inCorrect	1.634	wl.u	0.7373	0.9843	-0.247	30	4.5775	0.0694	3e-04
140.8467	1.5179	bD	inCorrect	1.503	ll	0.6489	0.7879	-0.139	10	4.5775	0.0694	3e-04
