onset	duration	Stim
16.038	1.018	Face
18.038	1.002	Face
20.041	1.018	Face
22.041	1.002	Face
24.044	1.018	Face
26.046	1.018	Face
28.046	1.002	Face
30.049	1.018	Face
44.16	1.018	Object
46.16	1.002	Object
48.164	1.018	Object
50.165	1.018	Object
52.167	1.018	Object
54.168	1.018	Object
56.17	1.018	Object
58.172	1.018	Object
72.283	1.018	House
74.285	1.018	House
76.286	1.018	House
78.288	1.018	House
80.289	1.018	House
82.291	1.018	House
84.293	1.018	House
86.294	1.018	House
100.389	1.018	Scrambled
102.39	1.018	Scrambled
104.392	1.018	Scrambled
106.394	1.018	Scrambled
108.395	1.018	Scrambled
110.397	1.018	Scrambled
112.398	1.018	Scrambled
114.4	1.018	Scrambled
128.495	1.018	House
130.496	1.018	House
132.498	1.018	House
134.499	1.018	House
136.501	1.018	House
138.503	1.018	House
140.504	1.018	House
142.506	1.018	House
156.617	1.018	Face
158.619	1.018	Face
160.62	1.018	Face
162.622	1.018	Face
164.623	1.018	Face
166.625	1.018	Face
168.627	1.018	Face
170.628	1.018	Face
184.706	1.017	Scrambled
186.708	1.017	Scrambled
188.709	1.017	Scrambled
190.711	1.017	Scrambled
192.713	1.017	Scrambled
194.714	1.017	Scrambled
196.716	1.017	Scrambled
198.717	1.017	Scrambled
212.829	1.017	Object
214.83	1.018	Object
216.832	1.017	Object
218.834	1.017	Object
220.835	1.017	Object
222.837	1.017	Object
224.838	1.017	Object
226.84	1.017	Object
240.951	1.018	Object
242.953	1.017	Object
244.954	1.018	Object
246.956	1.017	Object
248.958	1.017	Object
250.959	1.017	Object
252.961	1.017	Object
254.962	1.017	Object
269.074	1.018	Scrambled
271.075	1.017	Scrambled
273.077	1.017	Scrambled
275.079	1.017	Scrambled
277.08	1.017	Scrambled
279.082	1.017	Scrambled
281.083	1.017	Scrambled
283.085	1.017	Scrambled
297.18	1.017	Face
299.181	1.017	Face
301.183	1.018	Face
303.184	1.017	Face
305.186	1.018	Face
307.188	1.017	Face
309.189	1.018	Face
311.191	1.018	Face
325.285	1.018	House
327.287	1.018	House
329.289	1.018	House
331.29	1.018	House
333.292	1.018	House
335.293	1.018	House
337.295	1.018	House
339.297	1.018	House
353.408	1.018	Scrambled
355.409	1.018	Scrambled
357.411	1.018	Scrambled
359.413	1.018	Scrambled
361.414	1.018	Scrambled
363.416	1.018	Scrambled
365.417	1.018	Scrambled
367.419	1.018	Scrambled
381.53	1.018	House
383.532	1.018	House
385.534	1.018	House
387.535	1.018	House
389.537	1.018	House
391.538	1.018	House
393.538	1.002	House
395.542	1.018	House
409.636	1.018	Object
411.638	1.018	Object
413.639	1.018	Object
415.641	1.018	Object
417.643	1.018	Object
419.644	1.018	Object
421.646	1.018	Object
423.647	1.018	Object
437.759	1.018	Face
439.76	1.018	Face
441.762	1.018	Face
443.763	1.018	Face
445.765	1.018	Face
447.767	1.018	Face
449.768	1.018	Face
451.77	1.018	Face
