onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5332	1.2343	Ae	Correct	1.224	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
4.0692	1.3844	Af	Correct	1.379	wl.u	0.8623	0.7057	0.1566	40	3.685	0.0193	2e-04
8.1062	1.6513	dC	Correct	1.64	wl.l	0.7723	0.5522	0.2201	40	3.685	0.0193	2e-04
12.6262	1.2343	bD	inCorrect	1.22	ll	0.5081	0.5522	-0.0441	10	3.685	0.0193	2e-04
21.1502	1.4511	Ae	Correct	1.448	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
24.6692	1.0842	dF	Correct	1.077	ll	0.7057	0.5522	0.1535	10	3.685	0.0193	2e-04
29.1892	1.3344	Fd	Correct	1.319	ll	0.7057	0.5522	0.1535	10	3.685	0.0193	2e-04
33.2092	1.3845	dE	Correct	1.367	wl.u	0.6533	0.5522	0.1011	30	3.685	0.0193	2e-04
40.2482	1.8515	Ae	Correct	1.846	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
45.2692	1.7347	Ad	Correct	1.718	wl.u	0.8623	0.5522	0.3101	50	3.685	0.0193	2e-04
48.7882	1.668	dF	Correct	1.655	ll	0.7057	0.5522	0.1535	10	3.685	0.0193	2e-04
53.3092	1.2844	dC	Correct	1.277	wl.l	0.7723	0.5522	0.2201	40	3.685	0.0193	2e-04
61.3322	1.568	Ad	Correct	1.553	wl.u	0.8623	0.5522	0.3101	50	3.685	0.0193	2e-04
64.8512	1.3511	dA	Correct	1.344	wl.u	0.8623	0.5522	0.3101	50	3.685	0.0193	2e-04
68.3872	1.6179	eA	Correct	1.611	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
73.4082	1.718	bF	Correct	1.702	ll	0.7057	0.5081	0.1976	20	3.685	0.0193	2e-04
77.4282	0.9174	Af	Correct	0.91	wl.u	0.8623	0.7057	0.1566	40	3.685	0.0193	2e-04
81.4482	1.3177	dE	Correct	1.301	wl.u	0.6533	0.5522	0.1011	30	3.685	0.0193	2e-04
85.4682	1.9849	Ef	Correct	1.981	wl.l	0.6533	0.7057	-0.0524	20	3.685	0.0193	2e-04
88.5042	1.7514	eC	inCorrect	1.74	ww	0.6533	0.7723	-0.119	10	3.685	0.0193	2e-04
93.5242	1.4011	Cd	Correct	1.395	wl.l	0.7723	0.5522	0.2201	40	3.685	0.0193	2e-04
97.0442	1.1009	Cb	Correct	1.094	wl.u	0.7723	0.5081	0.2642	50	3.685	0.0193	2e-04
100.5802	1.1009	Cb	Correct	1.094	wl.u	0.7723	0.5081	0.2642	50	3.685	0.0193	2e-04
104.6162	1.301	Cf	inCorrect	1.286	wl.u	0.7057	0.7723	-0.0666	30	3.685	0.0193	2e-04
109.1372	1.568	Ad	Correct	1.55	wl.u	0.8623	0.5522	0.3101	50	3.685	0.0193	2e-04
112.6732	1.7014	eC	inCorrect	1.693	ww	0.6533	0.7723	-0.119	10	3.685	0.0193	2e-04
116.7092	1.668	eA	Correct	1.655	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
125.7332	1.3844	Ad	Correct	1.376	wl.u	0.8623	0.5522	0.3101	50	3.685	0.0193	2e-04
129.7532	1.8682	Ce	Correct	1.862	ww	0.7723	0.6533	0.119	10	3.685	0.0193	2e-04
133.7732	1.9516	eC	inCorrect	1.949	ww	0.6533	0.7723	-0.119	10	3.685	0.0193	2e-04
136.8092	1.5679	Eb	Correct	1.564	wl.u	0.6533	0.5081	0.1452	40	3.685	0.0193	2e-04
145.8332	1.2176	Fd	Correct	1.201	ll	0.7057	0.5522	0.1535	10	3.685	0.0193	2e-04
149.3522	1.3177	Cb	Correct	1.309	wl.u	0.7723	0.5081	0.2642	50	3.685	0.0193	2e-04
153.3722	1.0842	bD	Correct	1.072	ll	0.5522	0.5081	0.0441	10	3.685	0.0193	2e-04
156.9082	1.0342	dE	Correct	1.023	wl.u	0.6533	0.5522	0.1011	30	3.685	0.0193	2e-04
160.9452	1.9348	eC	inCorrect	1.933	ww	0.6533	0.7723	-0.119	10	3.685	0.0193	2e-04
165.4482	1.1175	eA	Correct	1.1	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
168.9852	2.2685	fC	inCorrect	2.264	wl.u	0.7057	0.7723	-0.0666	30	3.685	0.0193	2e-04
173.0212	1.3678	dC	Correct	1.351	wl.l	0.7723	0.5522	0.2201	40	3.685	0.0193	2e-04
181.0612	1.6012	Ae	Correct	1.585	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
185.0972	1.3678	Db	inCorrect	1.358	ll	0.5081	0.5522	-0.0441	10	3.685	0.0193	2e-04
189.1342	1.5345	cA	inCorrect	1.519	ww	0.7723	0.8623	-0.09	10	3.685	0.0193	2e-04
193.1712	1.4178	dE	Correct	1.404	wl.u	0.6533	0.5522	0.1011	30	3.685	0.0193	2e-04
197.2072	1.2844	cA	Correct	1.278	ww	0.8623	0.7723	0.09	10	3.685	0.0193	2e-04
201.7272	1.7347	Ef	Correct	1.729	wl.l	0.6533	0.7057	-0.0524	20	3.685	0.0193	2e-04
205.2642	1.5345	Fd	Correct	1.525	ll	0.7057	0.5522	0.1535	10	3.685	0.0193	2e-04
209.7842	1.1676	Af	Correct	1.156	wl.u	0.8623	0.7057	0.1566	40	3.685	0.0193	2e-04
217.3232	1.3344	dE	Correct	1.33	wl.u	0.6533	0.5522	0.1011	30	3.685	0.0193	2e-04
221.3602	1.1509	Ce	inCorrect	1.135	ww	0.6533	0.7723	-0.119	10	3.685	0.0193	2e-04
226.3812	1.5846	bC	Correct	1.567	wl.u	0.7723	0.5081	0.2642	50	3.685	0.0193	2e-04
230.4002	2.035	fC	inCorrect	2.02	wl.u	0.7057	0.7723	-0.0666	30	3.685	0.0193	2e-04
233.9202	1.0008	Ae	Correct	0.99	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
238.4402	1.1676	bE	Correct	1.157	wl.u	0.6533	0.5081	0.1452	40	3.685	0.0193	2e-04
241.9602	1.5679	eC	inCorrect	1.554	ww	0.6533	0.7723	-0.119	10	3.685	0.0193	2e-04
245.4962	1.6847	bC	Correct	1.67	wl.u	0.7723	0.5081	0.2642	50	3.685	0.0193	2e-04
250.0162	0.9174	bA	Correct	0.913	wl.l	0.8623	0.5081	0.3542	60	3.685	0.0193	2e-04
254.0362	1.0508	bA	Correct	1.047	wl.l	0.8623	0.5081	0.3542	60	3.685	0.0193	2e-04
258.0562	1.1342	Ab	Correct	1.125	wl.l	0.8623	0.5081	0.3542	60	3.685	0.0193	2e-04
261.5922	1.0008	bA	Correct	0.994	wl.l	0.8623	0.5081	0.3542	60	3.685	0.0193	2e-04
265.6292	1.3678	Cb	Correct	1.351	wl.u	0.7723	0.5081	0.2642	50	3.685	0.0193	2e-04
270.1492	1.301	Ef	Correct	1.297	wl.l	0.6533	0.7057	-0.0524	20	3.685	0.0193	2e-04
274.1692	1.301	Ac	Correct	1.292	ww	0.8623	0.7723	0.09	10	3.685	0.0193	2e-04
278.6892	1.0508	dA	Correct	1.037	wl.u	0.8623	0.5522	0.3101	50	3.685	0.0193	2e-04
282.7092	1.4179	Eb	Correct	1.411	wl.u	0.6533	0.5081	0.1452	40	3.685	0.0193	2e-04
290.2322	0.8174	bD	Correct	0.812	ll	0.5522	0.5081	0.0441	10	3.685	0.0193	2e-04
294.7522	1.1509	eA	Correct	1.146	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
298.2712	1.3678	fC	inCorrect	1.362	wl.u	0.7057	0.7723	-0.0666	30	3.685	0.0193	2e-04
302.7922	1.5512	Ce	inCorrect	1.536	ww	0.6533	0.7723	-0.119	10	3.685	0.0193	2e-04
306.8122	1.0675	fA	Correct	1.05	wl.u	0.8623	0.7057	0.1566	40	3.685	0.0193	2e-04
310.3312	1.7681	Fd	Correct	1.766	ll	0.7057	0.5522	0.1535	10	3.685	0.0193	2e-04
314.8352	1.6347	Cb	Correct	1.63	wl.u	0.7723	0.5081	0.2642	50	3.685	0.0193	2e-04
317.8702	1.201	fA	Correct	1.185	wl.u	0.8623	0.7057	0.1566	40	3.685	0.0193	2e-04
322.3912	1.5179	dE	Correct	1.516	wl.u	0.6533	0.5522	0.1011	30	3.685	0.0193	2e-04
325.9272	1.668	fE	Correct	1.65	wl.l	0.6533	0.7057	-0.0524	20	3.685	0.0193	2e-04
329.9632	2.0683	dF	inCorrect	2.059	ll	0.5522	0.7057	-0.1535	10	3.685	0.0193	2e-04
334.0002	2.0016	Ae	inCorrect	1.989	ww	0.6533	0.8623	-0.209	20	3.685	0.0193	2e-04
338.5202	2.0183	bC	inCorrect	2.001	wl.u	0.5081	0.7723	-0.2642	50	3.685	0.0193	2e-04
343.0412	1.8348	Fb	Correct	1.818	ll	0.7057	0.5081	0.1976	20	3.685	0.0193	2e-04
346.0762	1.4178	Db	inCorrect	1.4	ll	0.5081	0.5522	-0.0441	10	3.685	0.0193	2e-04
350.5972	1.2176	eA	Correct	1.206	ww	0.8623	0.6533	0.209	20	3.685	0.0193	2e-04
354.1332	1.1676	cA	Correct	1.158	ww	0.8623	0.7723	0.09	10	3.685	0.0193	2e-04
358.6532	2.2018	dC	Correct	2.184	wl.l	0.7723	0.5522	0.2201	40	3.685	0.0193	2e-04
