onset	duration	Stim
16.044	1.018	Face
18.046	1.018	Face
20.048	1.018	Face
22.048	1.002	Face
24.051	1.018	Face
26.053	1.018	Face
28.054	1.018	Face
30.056	1.018	Face
44.149	1.002	Object
46.149	1.004	Object
48.154	1.018	Object
50.155	1.018	Object
52.157	1.018	Object
54.159	1.018	Object
56.16	1.018	Object
58.162	1.017	Object
72.273	1.018	House
74.275	1.018	House
76.277	1.018	House
78.278	1.018	House
80.28	1.018	House
82.282	1.018	House
84.283	1.018	House
86.285	1.018	House
100.396	1.018	Scrambled
102.398	1.018	Scrambled
104.4	1.018	Scrambled
106.401	1.018	Scrambled
108.403	1.018	Scrambled
110.404	1.018	Scrambled
112.406	1.018	Scrambled
114.408	1.018	Scrambled
128.502	1.018	House
130.504	1.018	House
132.506	1.017	House
134.507	1.018	House
136.509	1.018	House
138.511	1.018	House
140.512	1.018	House
142.514	1.018	House
156.625	1.018	Face
158.627	1.018	Face
160.629	1.018	Face
162.63	1.018	Face
164.632	1.018	Face
166.633	1.018	Face
168.635	1.018	Face
170.637	1.018	Face
184.731	1.018	Scrambled
186.733	1.018	Scrambled
188.735	1.018	Scrambled
190.736	1.018	Scrambled
192.738	1.018	Scrambled
194.74	1.018	Scrambled
196.741	1.018	Scrambled
198.743	1.018	Scrambled
212.854	1.018	Object
214.856	1.017	Object
216.858	1.018	Object
218.859	1.018	Object
220.861	1.018	Object
222.862	1.017	Object
224.864	1.018	Object
226.866	1.018	Object
240.977	1.018	Object
242.979	1.018	Object
244.98	1.018	Object
246.982	1.018	Object
248.984	1.018	Object
250.985	1.018	Object
252.987	1.018	Object
254.988	1.018	Object
269.1	1.018	Scrambled
271.102	1.018	Scrambled
273.103	1.018	Scrambled
275.105	1.018	Scrambled
277.106	1.018	Scrambled
279.108	1.018	Scrambled
281.11	1.018	Scrambled
283.111	1.018	Scrambled
297.223	1.018	Face
299.224	1.018	Face
301.226	1.018	Face
303.228	1.018	Face
305.229	1.018	Face
307.231	1.018	Face
309.233	1.018	Face
311.234	1.018	Face
325.346	1.018	House
327.347	1.018	House
329.349	1.018	House
331.35	1.018	House
333.352	1.018	House
335.354	1.018	House
337.355	1.018	House
339.357	1.018	House
353.452	1.018	Scrambled
355.453	1.017	Scrambled
357.455	1.018	Scrambled
359.457	1.018	Scrambled
361.458	1.018	Scrambled
363.46	1.018	Scrambled
365.462	1.018	Scrambled
367.463	1.018	Scrambled
381.575	1.018	House
383.576	1.018	House
385.578	1.018	House
387.579	1.018	House
389.581	1.018	House
391.583	1.018	House
393.583	1.002	House
395.586	1.018	House
409.697	1.018	Object
411.699	1.018	Object
413.701	1.018	Object
415.702	1.018	Object
417.704	1.018	Object
419.706	1.018	Object
421.707	1.018	Object
423.709	1.018	Object
437.82	1.018	Face
439.822	1.017	Face
441.824	1.018	Face
443.825	1.018	Face
445.827	1.018	Face
447.828	1.017	Face
449.83	1.018	Face
451.832	1.018	Face
