onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
423.0099	0.7006	bA	Correct	0.685	wl.l	0.8278	0.5332	0.2946	60	4.505	0.017	0
427.0299	0.9841	Ac	Correct	0.979	ww	0.8278	0.7612	0.0666	10	4.505	0.017	0
431.5499	0.8507	Cb	Correct	0.837	wl.u	0.7612	0.5332	0.228	50	4.505	0.017	0
435.0699	0.7673	Ed	Correct	0.765	wl.u	0.6963	0.5932	0.1031	30	4.505	0.017	0
438.6059	1.8015	eC	inCorrect	1.795	ww	0.6963	0.7612	-0.0649	10	4.505	0.017	0
443.6269	0.7839	Ef	inCorrect	0.782	wl.l	0.633	0.6963	-0.0633	20	4.505	0.017	0
447.1459	0.9007	bD	inCorrect	0.885	ll	0.5332	0.5932	-0.06	10	4.505	0.017	0
454.6859	0.9341	bE	Correct	0.92	wl.u	0.6963	0.5332	0.1631	40	4.505	0.017	0
458.7219	0.8173	Ce	Correct	0.813	ww	0.7612	0.6963	0.0649	10	4.505	0.017	0
462.7589	2.1017	Ae	Correct	2.088	ww	0.8278	0.6963	0.1315	20	4.505	0.017	0
466.7949	0.9007	Ce	inCorrect	0.887	ww	0.6963	0.7612	-0.0649	10	4.505	0.017	0
471.3159	0.6506	dE	Correct	0.644	wl.u	0.6963	0.5932	0.1031	30	4.505	0.017	0
475.3359	0.8673	Ef	inCorrect	0.854	wl.l	0.633	0.6963	-0.0633	20	4.505	0.017	0
479.8559	0.6672	Db	inCorrect	0.664	ll	0.5332	0.5932	-0.06	10	4.505	0.017	0
487.8789	0.6672	dA	Correct	0.659	wl.u	0.8278	0.5932	0.2346	50	4.505	0.017	0
495.9019	1.0842	fC	Correct	1.066	wl.u	0.7612	0.633	0.1282	30	4.505	0.017	0
498.9549	1.3178	Cf	inCorrect	1.307	wl.u	0.633	0.7612	-0.1282	30	4.505	0.017	0
507.4779	1.1009	bA	Correct	1.082	wl.l	0.8278	0.5332	0.2946	60	4.505	0.017	0
511.9989	1.1009	bD	inCorrect	1.095	ll	0.5332	0.5932	-0.06	10	4.505	0.017	0
515.0349	0.834	Ad	Correct	0.828	wl.u	0.8278	0.5932	0.2346	50	4.505	0.017	0
520.0549	1.0175	cA	Correct	1.015	ww	0.8278	0.7612	0.0666	10	4.505	0.017	0
524.0749	0.5838	Ac	inCorrect	0.581	ww	0.7612	0.8278	-0.0666	10	4.505	0.017	0
527.1109	0.9675	bC	inCorrect	0.964	wl.u	0.5332	0.7612	-0.228	50	4.505	0.017	0
531.1479	0.8341	fE	Correct	0.826	wl.l	0.6963	0.633	0.0633	20	4.505	0.017	0
