onset	duration	Stim
16.036	1.018	Face
18.038	1.018	Face
20.04	1.017	Face
22.04	1.002	Face
24.043	1.018	Face
26.043	1.002	Face
28.046	1.018	Face
30.046	1.002	Face
44.159	1.018	Object
46.159	1.002	Object
48.162	1.018	Object
50.164	1.018	Object
52.166	1.017	Object
54.167	1.017	Object
56.169	1.017	Object
58.17	1.018	Object
72.265	1.018	House
74.267	1.018	House
76.268	1.018	House
78.27	1.017	House
80.271	1.017	House
82.273	1.017	House
84.275	1.018	House
86.276	1.018	House
100.388	1.018	Scrambled
102.389	1.018	Scrambled
104.391	1.018	Scrambled
106.392	1.018	Scrambled
108.394	1.018	Scrambled
110.396	1.018	Scrambled
112.397	1.017	Scrambled
114.399	1.017	Scrambled
128.51	1.018	House
130.512	1.018	House
132.513	1.018	House
134.515	1.018	House
136.517	1.018	House
138.518	1.018	House
140.52	1.018	House
142.521	1.018	House
156.633	1.018	Face
158.634	1.018	Face
160.636	1.018	Face
162.638	1.018	Face
164.639	1.018	Face
166.641	1.018	Face
168.642	1.018	Face
170.644	1.018	Face
184.739	1.018	Scrambled
186.74	1.018	Scrambled
188.742	1.018	Scrambled
190.743	1.018	Scrambled
192.745	1.018	Scrambled
194.747	1.018	Scrambled
196.748	1.018	Scrambled
198.75	1.018	Scrambled
212.861	1.018	Object
214.863	1.018	Object
216.864	1.018	Object
218.866	1.018	Object
220.868	1.018	Object
222.869	1.018	Object
224.871	1.018	Object
226.872	1.018	Object
240.984	1.017	Object
242.985	1.017	Object
244.987	1.018	Object
246.989	1.018	Object
248.99	1.018	Object
250.992	1.018	Object
252.993	1.018	Object
254.995	1.018	Object
269.106	1.018	Scrambled
271.108	1.018	Scrambled
273.11	1.017	Scrambled
275.111	1.018	Scrambled
277.113	1.018	Scrambled
279.114	1.018	Scrambled
281.116	1.018	Scrambled
283.118	1.018	Scrambled
297.229	1.018	Face
299.231	1.018	Face
301.232	1.018	Face
303.234	1.018	Face
305.235	1.017	Face
307.237	1.017	Face
309.239	1.018	Face
311.24	1.018	Face
325.352	1.018	House
327.353	1.018	House
329.355	1.018	House
331.356	1.018	House
333.358	1.018	House
335.36	1.017	House
337.361	1.017	House
339.363	1.017	House
353.474	1.018	Scrambled
355.476	1.018	Scrambled
357.477	1.018	Scrambled
359.479	1.018	Scrambled
361.481	1.018	Scrambled
363.482	1.018	Scrambled
365.484	1.018	Scrambled
367.485	1.017	Scrambled
381.597	1.018	House
383.598	1.018	House
385.6	1.018	House
387.602	1.018	House
389.603	1.018	House
391.605	1.018	House
393.606	1.018	House
395.608	1.018	House
409.719	1.018	Object
411.721	1.018	Object
413.723	1.018	Object
415.724	1.018	Object
417.726	1.018	Object
419.727	1.018	Object
421.729	1.018	Object
423.731	1.018	Object
437.825	1.018	Face
439.827	1.018	Face
441.828	1.018	Face
443.83	1.018	Face
445.832	1.018	Face
447.833	1.018	Face
449.835	1.018	Face
451.836	1.018	Face
