onset	duration	RT	Trial_type	Response	SSD
0.05	0.5171	893	Go	correct	n/a
5.0373	0.5171	0	Stop	succesful_stop	200
8.5402	0.5171	453	Go	correct	n/a
13.0438	0.5171	503	Go	correct	n/a
17.047	0.5171	432	Go	correct	n/a
21.0502	0.5171	460	Go	correct	n/a
25.5539	0.5171	0	Stop	succesful_stop	250
29.5571	0.5171	410	Stop	Failed_stop	300
33.5603	0.5171	0	Stop	succesful_stop	350
36.079	0.5171	501	Stop	Failed_stop	400
40.566	0.5171	801	Go	correct	n/a
44.5692	0.5171	753	Go	correct	n/a
49.0728	0.5171	793	Go	correct	n/a
53.0761	0.517	449	Stop	Failed_stop	450
56.0951	0.5171	841	Go	correct	n/a
65.5861	0.5171	705	Go	correct	n/a
68.5885	0.5171	749	Go	correct	n/a
73.5926	0.5171	464	Go	correct	n/a
77.0954	0.5171	563	Go	correct	n/a
80.1145	0.5171	587	Go	correct	n/a
84.1177	0.5171	596	Go	correct	n/a
88.121	0.517	555	Go	correct	n/a
92.1242	0.5171	458	Go	correct	n/a
101.1148	0.517	477	Stop	Failed_stop	500
104.6176	0.5171	641	Stop	Failed_stop	500
112.1403	0.5171	0	Stop	succesful_stop	450
116.1435	0.5171	840	Go	correct	n/a
121.6313	0.5171	386	Go	correct	n/a
125.1341	0.5171	522	Stop	Failed_stop	450
129.1373	0.5171	576	Go	correct	n/a
133.1406	0.517	328	Go	correct	n/a
136.1597	0.517	241	Go	Incorrect	n/a
140.1629	0.5171	239	Go	correct	n/a
145.6506	0.5171	372	Go	correct	n/a
148.1693	0.5171	533	Go	correct	n/a
152.6563	0.5171	256	Go	Incorrect	n/a
156.1758	0.5171	398	Stop	Failed_stop	400
160.179	0.5171	565	Go	Incorrect	n/a
164.1822	0.5171	505	Go	correct	n/a
169.67	0.5171	423	Go	correct	n/a
173.6732	0.5171	482	Stop	Failed_stop	350
177.6764	0.5171	563	Go	correct	n/a
185.1825	0.5171	608	Go	correct	n/a
189.1857	0.5171	475	Go	correct	n/a
192.6885	0.5171	655	Stop	Failed_stop	300
196.208	0.5171	0	Stop	succesful_stop	250
200.2113	0.5171	542	Go	correct	n/a
209.7023	0.517	602	Go	correct	n/a
216.2242	0.5171	0	Stop	succesful_stop	200
220.7111	0.5171	495	Go	correct	n/a
225.2148	0.517	756	Go	correct	n/a
229.7184	0.5171	578	Go	Incorrect	n/a
232.7208	0.5171	691	Go	Incorrect	n/a
241.2277	0.517	565	Go	correct	n/a
245.2309	0.5171	541	Go	correct	n/a
249.7345	0.5171	618	Go	correct	n/a
