onset	duration	Stim
16.042	1.018	Face
18.042	1.002	Face
20.045	1.018	Face
22.047	1.018	Face
24.048	1.018	Face
26.05	1.018	Face
28.05	1.002	Face
30.053	1.018	Face
44.146	1.002	Object
46.146	1.004	Object
48.151	1.018	Object
50.153	1.018	Object
52.154	1.018	Object
54.156	1.018	Object
56.158	1.017	Object
58.159	1.018	Object
72.271	1.018	House
74.272	1.017	House
76.272	1.002	House
78.276	1.018	House
80.277	1.018	House
82.279	1.018	House
84.279	1.002	House
86.282	1.018	House
100.393	1.018	Scrambled
102.393	1.002	Scrambled
104.397	1.018	Scrambled
106.397	1.002	Scrambled
108.4	1.018	Scrambled
110.401	1.017	Scrambled
112.403	1.018	Scrambled
114.405	1.018	Scrambled
128.516	1.017	House
130.518	1.018	House
132.519	1.018	House
134.521	1.018	House
136.522	1.018	House
138.524	1.018	House
140.526	1.018	House
142.527	1.018	House
156.639	1.018	Face
158.64	1.018	Face
160.642	1.018	Face
162.644	1.017	Face
164.645	1.017	Face
166.647	1.018	Face
168.648	1.018	Face
170.65	1.018	Face
184.761	1.018	Scrambled
186.763	1.018	Scrambled
188.765	1.018	Scrambled
190.765	1.002	Scrambled
192.768	1.018	Scrambled
194.769	1.018	Scrambled
196.771	1.018	Scrambled
198.773	1.017	Scrambled
212.867	1.018	Object
214.869	1.017	Object
216.871	1.018	Object
218.872	1.018	Object
220.872	1.002	Object
222.875	1.018	Object
224.877	1.018	Object
226.879	1.018	Object
240.99	1.018	Object
242.992	1.018	Object
244.993	1.018	Object
246.995	1.018	Object
248.996	1.017	Object
250.998	1.018	Object
253	1.018	Object
255.001	1.018	Object
269.096	1.018	Scrambled
271.096	1.002	Scrambled
273.099	1.018	Scrambled
275.099	1.002	Scrambled
277.102	1.018	Scrambled
279.102	1.003	Scrambled
281.106	1.018	Scrambled
283.106	1.002	Scrambled
297.219	1.018	Face
299.22	1.017	Face
301.222	1.018	Face
303.223	1.018	Face
305.225	1.018	Face
307.227	1.018	Face
309.228	1.018	Face
311.23	1.018	Face
325.308	1.018	House
327.31	1.017	House
329.311	1.018	House
331.313	1.018	House
333.314	1.018	House
335.316	1.018	House
337.318	1.018	House
339.319	1.018	House
353.397	1.018	Scrambled
355.399	1.017	Scrambled
357.399	1.002	Scrambled
359.402	1.018	Scrambled
361.402	1.002	Scrambled
363.405	1.018	Scrambled
365.407	1.018	Scrambled
367.408	1.018	Scrambled
381.52	1.018	House
383.521	1.018	House
385.523	1.018	House
387.525	1.018	House
389.526	1.017	House
391.528	1.018	House
393.528	1.002	House
395.531	1.018	House
409.626	1.018	Object
411.627	1.018	Object
413.629	1.018	Object
415.631	1.018	Object
417.632	1.018	Object
419.634	1.018	Object
421.636	1.017	Object
423.637	1.018	Object
437.748	1.018	Face
439.75	1.017	Face
441.752	1.018	Face
443.753	1.018	Face
445.755	1.018	Face
447.757	1.018	Face
449.758	1.018	Face
451.76	1.018	Face
