onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.0648	1.2704	EF	F	Incorrect	1.258	2.6355	0.5171	-1	-0.5	0.5	0.5	56	3.8672	0.0305	0.0012
5.0875	1.2343	CD	C	Correct	1.217	6.622	0.5171	-1	-0.5	0.5	0.5	34	3.8672	0.0305	0.0012
8.607	1.1175	EF	E	Correct	1.1	10.0248	0.5171	1	0.5	0.5	0.4994	56	3.8672	0.0305	0.0012
13.1272	1.1177	AB	B	Incorrect	1.103	14.5451	0.5171	-1	-0.5	0.5	0.5	12	3.8672	0.0305	0.0012
17.1472	1.8515	DC	D	Incorrect	1.836	19.299	0.517	-1	-0.5	0.5	0.4994	34	3.8672	0.0305	0.0012
21.6675	1.4846	DC	D	Incorrect	1.474	23.4523	0.5171	-1	-0.4994	0.4994	0.4994	34	3.8672	0.0305	0.0012
24.2029	2.2018	CD	C	Correct	2.189	26.7049	0.5171	1	0.5006	0.4994	0.4988	34	3.8672	0.0305	0.0012
28.7232	1.6013	DC	D	Incorrect	1.588	30.6248	0.5171	1	0.5012	0.4988	0.5146	34	3.8672	0.0305	0.0012
32.7432	1.9182	BA	B	Incorrect	1.914	34.9616	0.5171	-1	-0.4994	0.4994	0.5	12	3.8672	0.0305	0.0012
36.2794	1.5512	AB	A	Correct	1.549	38.1309	0.517	1	0.5	0.5	0.4988	12	3.8672	0.0305	0.0012
41.2834	2.0183	BA	B	Incorrect	2.01	43.6019	0.5171	-1	-0.4988	0.4988	0.5152	12	3.8672	0.0305	0.0012
44.3192	1.4679	AB	A	Correct	1.464	46.0873	0.5171	-1	-0.5152	0.5152	0.4982	12	3.8672	0.0305	0.0012
49.3399	2.1684	DC	C	Correct	2.16	51.8086	0.5171	1	0.4854	0.5146	0.5141	34	3.8672	0.0305	0.0012
53.3598	2.1351	DC	C	Correct	2.121	55.7951	0.5171	1	0.4706	0.5294	0.5141	34	3.8672	0.0305	0.0012
57.3798	1.6179	FE	E	Correct	1.608	59.298	0.5171	-1	-0.5152	0.5152	0.4994	56	3.8672	0.0305	0.0012
61.3997	1.5012	EF	E	Correct	1.489	63.2011	0.5171	1	0.4854	0.5146	0.4994	56	3.8672	0.0305	0.0012
64.9192	1.2844	EF	E	Correct	1.276	66.5038	0.5171	-1	-0.5294	0.5294	0.4994	56	3.8672	0.0305	0.0012
68.4554	1.7514	FE	F	Incorrect	1.747	70.5071	0.517	1	0.5006	0.4994	0.5287	56	3.8672	0.0305	0.0012
72.492	1.1843	EF	F	Incorrect	1.175	73.9765	0.5171	1	0.4854	0.5146	0.5287	56	3.8672	0.0305	0.0012
77.5127	1.618	EF	F	Incorrect	1.603	79.4309	0.5171	-1	-0.5294	0.5294	0.5287	56	3.8672	0.0305	0.0012
80.5485	1.668	CD	D	Incorrect	1.655	82.5168	0.5171	-1	-0.5141	0.5141	0.5438	34	3.8672	0.0305	0.0012
88.5883	2.2352	FE	F	Incorrect	2.222	91.1237	0.5171	1	0.4712	0.5288	0.5287	56	3.8672	0.0305	0.0012
93.1087	1.668	DC	D	Incorrect	1.656	95.0769	0.5171	1	0.4866	0.5134	0.5438	34	3.8672	0.0305	0.0012
96.6449	1.4345	FE	E	Correct	1.43	98.3796	0.5171	-1	-0.5287	0.5287	0.5431	56	3.8672	0.0305	0.0012
