onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
233.7719	0.834	DC	D	Incorrect	0.82	235.3565	0.5171	-1	-0.5663	0.5663	0.6245	34	4.5775	0.0694	3e-04
238.7926	1.1342	BA	B	Incorrect	1.129	240.6774	0.5171	-1	-0.4991	0.4991	0.7187	12	4.5775	0.0694	3e-04
246.5321	0.8841	DC	D	Incorrect	0.873	248.1668	0.5171	-1	-0.5661	0.5661	0.6245	34	4.5775	0.0694	3e-04
249.5679	0.6339	DC	C	Correct	0.62	250.9524	0.5171	1	0.3755	0.6245	0.566	34	4.5775	0.0694	3e-04
254.0882	0.9508	CD	C	Correct	0.938	255.7896	0.5171	1	0.3495	0.6505	0.566	34	4.5775	0.0694	3e-04
258.1081	0.9341	FE	E	Correct	0.927	259.7928	0.5171	1	0.2269	0.7731	0.4997	56	4.5775	0.0694	3e-04
266.1313	0.834	EF	F	Incorrect	0.831	267.7159	0.5171	-1	-0.4997	0.4997	0.7889	56	4.5775	0.0694	3e-04
269.6675	1.1009	AB	A	Correct	1.085	271.519	0.517	1	0.2813	0.7187	0.499	12	4.5775	0.0694	3e-04
274.6882	0.9507	EF	E	Correct	0.935	276.3895	0.5171	-1	-0.7889	0.7889	0.4996	56	4.5775	0.0694	3e-04
279.2085	0.834	FE	E	Correct	0.827	280.7931	0.5171	-1	-0.7887	0.7887	0.4996	56	4.5775	0.0694	3e-04
285.6804	0.7005	FE	F	Incorrect	0.686	287.1315	0.5171	1	0.5004	0.4996	0.7885	56	4.5775	0.0694	3e-04
290.7011	0.784	DC	D	Incorrect	0.766	292.2357	0.517	-1	-0.566	0.566	0.6748	34	4.5775	0.0694	3e-04
295.2214	0.8507	BA	B	Incorrect	0.841	296.8227	0.5171	1	0.501	0.499	0.7382	12	4.5775	0.0694	3e-04
297.7568	0.9341	BA	B	Incorrect	0.925	299.4415	0.5171	-1	-0.5338	0.5338	0.7382	12	4.5775	0.0694	3e-04
301.7934	1.0341	EF	F	Incorrect	1.031	303.5781	0.5171	1	0.4656	0.5344	0.7885	56	4.5775	0.0694	3e-04
307.3145	0.9841	CD	C	Correct	0.982	309.0492	0.5171	-1	-0.6748	0.6748	0.5658	34	4.5775	0.0694	3e-04
310.834	0.784	CD	C	Correct	0.773	312.3686	0.517	1	0.3254	0.6746	0.5658	34	4.5775	0.0694	3e-04
314.3535	0.8006	EF	E	Correct	0.79	315.9047	0.5171	1	0.2115	0.7885	0.5667	56	4.5775	0.0694	3e-04
318.8738	0.8507	DC	D	Incorrect	0.839	320.4751	0.5171	1	0.4342	0.5658	0.6972	34	4.5775	0.0694	3e-04
325.9128	0.8674	BA	B	Incorrect	0.852	327.5308	0.5171	-1	-0.5336	0.5336	0.7382	12	4.5775	0.0694	3e-04
330.9335	1.0842	AB	A	Correct	1.068	332.7683	0.5171	1	0.2618	0.7382	0.5335	12	4.5775	0.0694	3e-04
334.9534	0.9174	AB	A	Correct	0.912	336.6214	0.5171	1	0.2436	0.7564	0.5335	12	4.5775	0.0694	3e-04
339.4737	1.0342	DC	D	Incorrect	1.025	341.2585	0.5171	1	0.404	0.596	0.6972	34	4.5775	0.0694	3e-04
342.4928	0.9341	BA	A	Correct	0.917	344.1775	0.5171	1	0.2267	0.7733	0.5335	12	4.5775	0.0694	3e-04
347.0132	0.934	FE	E	Correct	0.93	348.6978	0.5171	-1	-0.8031	0.8031	0.5667	56	4.5775	0.0694	3e-04
351.0331	0.9507	BA	B	Incorrect	0.946	352.7344	0.5171	1	0.4665	0.5335	0.789	12	4.5775	0.0694	3e-04
355.5534	0.6672	AB	A	Correct	0.656	356.9712	0.5171	1	0.211	0.789	0.5659	12	4.5775	0.0694	3e-04
358.5725	0.6171	EF	E	Correct	0.604	359.9402	0.5171	-1	-0.8029	0.8029	0.5667	56	4.5775	0.0694	3e-04
363.5932	0.7506	FE	E	Correct	0.734	365.0944	0.5171	-1	-0.8027	0.8027	0.5667	56	4.5775	0.0694	3e-04
367.6131	0.9341	CD	D	Incorrect	0.917	369.2978	0.5171	-1	-0.624	0.624	0.6972	34	4.5775	0.0694	3e-04
371.1326	0.9341	CD	D	Incorrect	0.917	372.8173	0.5171	1	0.3761	0.6239	0.6972	34	4.5775	0.0694	3e-04
374.6521	1.1176	AB	A	Correct	1.11	376.5203	0.5171	1	0.1963	0.8037	0.5659	12	4.5775	0.0694	3e-04
378.1883	0.9007	EF	E	Correct	0.887	379.8396	0.5171	1	0.1975	0.8025	0.5667	56	4.5775	0.0694	3e-04
382.2249	0.834	FE	F	Incorrect	0.816	383.8095	0.5171	-1	-0.5667	0.5667	0.8162	56	4.5775	0.0694	3e-04
387.2456	0.9007	DC	D	Incorrect	0.895	388.8969	0.5171	1	0.35	0.65	0.6972	34	4.5775	0.0694	3e-04
390.7651	0.784	DC	C	Correct	0.778	392.2997	0.517	-1	-0.6972	0.6972	0.6743	34	4.5775	0.0694	3e-04
395.7858	0.8674	FE	E	Correct	0.859	397.4038	0.5171	1	0.1838	0.8162	0.5665	56	4.5775	0.0694	3e-04
398.3212	0.8006	AB	A	Correct	0.795	399.8724	0.5171	1	0.1827	0.8173	0.5659	12	4.5775	0.0694	3e-04
402.3578	0.7506	FE	E	Correct	0.738	403.859	0.5171	1	0.171	0.829	0.5665	56	4.5775	0.0694	3e-04
407.3785	1.1009	DC	C	Correct	1.09	409.23	0.5171	-1	-0.697	0.697	0.6743	34	4.5775	0.0694	3e-04
411.3984	0.9007	CD	D	Incorrect	0.896	413.0497	0.5171	1	0.3257	0.6743	0.6969	34	4.5775	0.0694	3e-04
415.9187	1.1343	BA	A	Correct	1.125	417.8036	0.517	1	0.17	0.83	0.5659	12	4.5775	0.0694	3e-04
418.9378	0.8007	DC	D	Incorrect	0.789	420.4891	0.517	-1	-0.6969	0.6969	0.6969	34	4.5775	0.0694	3e-04
427.4613	1.0342	EF	E	Correct	1.03	429.2461	0.5171	-1	-0.8409	0.8409	0.5665	56	4.5775	0.0694	3e-04
430.4971	0.8173	EF	E	Correct	0.802	432.0651	0.517	-1	-0.8407	0.8407	0.5665	56	4.5775	0.0694	3e-04
436.0182	0.6672	DC	C	Correct	0.65	437.4361	0.517	-1	-0.6969	0.6969	0.6967	34	4.5775	0.0694	3e-04
440.0381	0.8007	EF	F	Incorrect	0.782	441.5727	0.5171	-1	-0.5665	0.5665	0.8404	56	4.5775	0.0694	3e-04
447.5776	0.8673	FE	E	Correct	0.849	449.1955	0.5171	1	0.1596	0.8404	0.5664	56	4.5775	0.0694	3e-04
451.5975	0.884	FE	E	Correct	0.881	453.2321	0.5171	-1	-0.8515	0.8515	0.5664	56	4.5775	0.0694	3e-04
454.6332	1.0843	DC	C	Correct	1.076	456.4681	0.517	1	0.3033	0.6967	0.6967	34	4.5775	0.0694	3e-04
459.1536	0.7506	FE	E	Correct	0.748	460.6548	0.5171	-1	-0.8513	0.8513	0.5664	56	4.5775	0.0694	3e-04
464.1743	0.7673	DC	C	Correct	0.752	465.6922	0.517	1	0.2823	0.7177	0.6967	34	4.5775	0.0694	3e-04
466.7097	0.8506	DC	C	Correct	0.848	468.3109	0.5171	1	0.2627	0.7373	0.6967	34	4.5775	0.0694	3e-04
471.23	0.9674	CD	C	Correct	0.962	472.948	0.5171	1	0.2444	0.7556	0.6967	34	4.5775	0.0694	3e-04
476.2507	0.9674	DC	C	Correct	0.95	477.9687	0.5171	1	0.2275	0.7725	0.6967	34	4.5775	0.0694	3e-04
478.8027	1.0842	FE	E	Correct	1.081	480.6375	0.5171	-1	-0.8511	0.8511	0.5664	56	4.5775	0.0694	3e-04
