onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5336	2.2185	eA	inCorrect	2.208	ww	0.7548	0.9629	-0.2081	20	8.8011	0.0952	0.0245
4.5536	0.834	fC	Correct	0.825	wl.u	0.8888	0.6495	0.2393	30	8.8011	0.0952	0.0245
9.0736	2.0516	Ad	inCorrect	2.035	wl.u	0.5413	0.9629	-0.4216	50	8.8011	0.0952	0.0245
13.0936	1.3511	Cf	Correct	1.335	wl.u	0.8888	0.6495	0.2393	30	8.8011	0.0952	0.0245
16.1296	1.9182	eA	Correct	1.91	ww	0.9629	0.7548	0.2081	20	8.8011	0.0952	0.0245
21.1496	1.7181	Cf	Correct	1.712	wl.u	0.8888	0.6495	0.2393	30	8.8011	0.0952	0.0245
24.6696	1.0508	fA	Correct	1.035	wl.u	0.9629	0.6495	0.3134	40	8.8011	0.0952	0.0245
29.1896	1.3511	Db	Correct	1.339	ll	0.5413	0.532	0.0093	10	8.8011	0.0952	0.0245
32.2256	1.5346	Ce	Correct	1.521	ww	0.8888	0.7548	0.134	10	8.8011	0.0952	0.0245
36.2626	1.1509	Ab	Correct	1.146	wl.l	0.9629	0.532	0.4309	60	8.8011	0.0952	0.0245
40.7826	1.6013	dA	inCorrect	1.599	wl.u	0.5413	0.9629	-0.4216	50	8.8011	0.0952	0.0245
44.8026	1.4178	dC	Correct	1.403	wl.l	0.8888	0.5413	0.3475	40	8.8011	0.0952	0.0245
48.3386	1.251	Ed	inCorrect	1.238	wl.u	0.5413	0.7548	-0.2135	30	8.8011	0.0952	0.0245
52.3756	1.5513	Af	Correct	1.537	wl.u	0.9629	0.6495	0.3134	40	8.8011	0.0952	0.0245
56.4116	1.251	Af	Correct	1.24	wl.u	0.9629	0.6495	0.3134	40	8.8011	0.0952	0.0245
64.9356	3.0024	Db	Correct	2.988	ll	0.5413	0.532	0.0093	10	8.8011	0.0952	0.0245
68.4716	1.9349	Ab	Correct	1.925	wl.l	0.9629	0.532	0.4309	60	8.8011	0.0952	0.0245
73.4926	1.3011	Db	Correct	1.287	ll	0.5413	0.532	0.0093	10	8.8011	0.0952	0.0245
77.0126	1.4678	Ce	Correct	1.463	ww	0.8888	0.7548	0.134	10	8.8011	0.0952	0.0245
81.0316	1.3845	bD	Correct	1.374	ll	0.5413	0.532	0.0093	10	8.8011	0.0952	0.0245
84.5686	1.1843	Ed	inCorrect	1.174	wl.u	0.5413	0.7548	-0.2135	30	8.8011	0.0952	0.0245
88.6046	1.5346	Cb	Correct	1.531	wl.u	0.8888	0.532	0.3568	50	8.8011	0.0952	0.0245
93.6256	1.2343	bE	Correct	1.229	wl.u	0.7548	0.532	0.2228	40	8.8011	0.0952	0.0245
101.1486	2.2352	Fb	inCorrect	2.231	ll	0.532	0.6495	-0.1175	20	8.8011	0.0952	0.0245
105.1686	1.2677	Db	Correct	1.254	ll	0.5413	0.532	0.0093	10	8.8011	0.0952	0.0245
109.6886	2.1684	dE	inCorrect	2.159	wl.u	0.5413	0.7548	-0.2135	30	8.8011	0.0952	0.0245
112.7246	1.2343	bF	Correct	1.219	ll	0.6495	0.532	0.1175	20	8.8011	0.0952	0.0245
117.2446	2.0183	Eb	inCorrect	2.006	wl.u	0.532	0.7548	-0.2228	40	8.8011	0.0952	0.0245
120.7806	1.8182	Ce	Correct	1.809	ww	0.8888	0.7548	0.134	10	8.8011	0.0952	0.0245
125.3016	1.8348	cA	inCorrect	1.829	ww	0.8888	0.9629	-0.0741	10	8.8011	0.0952	0.0245
129.3216	2.0684	bF	inCorrect	2.065	ll	0.532	0.6495	-0.1175	20	8.8011	0.0952	0.0245
132.8576	2.2352	Db	Correct	2.224	ll	0.5413	0.532	0.0093	10	8.8011	0.0952	0.0245
136.8936	1.5346	fE	Correct	1.531	wl.l	0.7548	0.6495	0.1053	20	8.8011	0.0952	0.0245
141.9146	2.1184	fE	Correct	2.111	wl.l	0.7548	0.6495	0.1053	20	8.8011	0.0952	0.0245
145.9346	2.402	dE	inCorrect	2.384	wl.u	0.5413	0.7548	-0.2135	30	8.8011	0.0952	0.0245
149.4546	1.1843	bC	Correct	1.173	wl.u	0.8888	0.532	0.3568	50	8.8011	0.0952	0.0245
152.9906	1.8349	bF	inCorrect	1.825	ll	0.532	0.6495	-0.1175	20	8.8011	0.0952	0.0245
157.5106	1.2176	bF	Correct	1.213	ll	0.6495	0.532	0.1175	20	8.8011	0.0952	0.0245
165.5336	1.8681	Ce	Correct	1.866	ww	0.8888	0.7548	0.134	10	8.8011	0.0952	0.0245
169.5536	2.5521	Ac	Correct	2.537	ww	0.9629	0.8888	0.0741	10	8.8011	0.0952	0.0245
173.5736	1.1509	bE	Correct	1.145	wl.u	0.7548	0.532	0.2228	40	8.8011	0.0952	0.0245
177.1096	1.3845	dC	Correct	1.376	wl.l	0.8888	0.5413	0.3475	40	8.8011	0.0952	0.0245
182.1306	2.0516	Fb	inCorrect	2.043	ll	0.532	0.6495	-0.1175	20	8.8011	0.0952	0.0245
185.1666	2.4686	dA	Correct	2.451	wl.u	0.9629	0.5413	0.4216	50	8.8011	0.0952	0.0245
