onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.5338	0.9508	Fb	inCorrect	0.937	ll	0.5243	0.5338	-0.0095	20	2.7614	0.0141	0.0011
4.5528	0.6839	Fd	Correct	0.667	ll	0.5338	0.5491	-0.0153	10	2.7614	0.0141	0.0011
12.5768	0.8174	cA	inCorrect	0.815	ww	0.727	0.7063	0.0207	10	2.7614	0.0141	0.0011
16.1128	0.7006	dE	Correct	0.691	wl.u	0.6548	0.5491	0.1057	30	2.7614	0.0141	0.0011
20.1488	0.6672	Cb	Correct	0.655	wl.u	0.727	0.5243	0.2027	50	2.7614	0.0141	0.0011
25.1698	0.7006	Ef	Correct	0.691	wl.l	0.6548	0.5338	0.121	20	2.7614	0.0141	0.0011
29.1898	0.7339	eC	inCorrect	0.717	ww	0.6548	0.727	-0.0722	10	2.7614	0.0141	0.0011
36.2288	0.5338	bC	Correct	0.527	wl.u	0.727	0.5243	0.2027	50	2.7614	0.0141	0.0011
40.2658	1.1009	Ab	Correct	1.096	wl.l	0.7063	0.5243	0.182	60	2.7614	0.0141	0.0011
45.2858	1.3678	eC	inCorrect	1.352	ww	0.6548	0.727	-0.0722	10	2.7614	0.0141	0.0011
48.8058	0.7173	bF	inCorrect	0.714	ll	0.5243	0.5338	-0.0095	20	2.7614	0.0141	0.0011
52.8258	0.9174	bD	inCorrect	0.915	ll	0.5243	0.5491	-0.0248	10	2.7614	0.0141	0.0011
56.8458	0.8507	Ad	Correct	0.847	wl.u	0.7063	0.5491	0.1572	50	2.7614	0.0141	0.0011
60.8648	0.9174	fA	inCorrect	0.909	wl.u	0.5338	0.7063	-0.1725	40	2.7614	0.0141	0.0011
64.4018	0.9842	Ab	Correct	0.98	wl.l	0.7063	0.5243	0.182	60	2.7614	0.0141	0.0011
69.4218	0.6005	Ed	Correct	0.589	wl.u	0.6548	0.5491	0.1057	30	2.7614	0.0141	0.0011
73.4418	0.734	eA	inCorrect	0.73	ww	0.6548	0.7063	-0.0515	20	2.7614	0.0141	0.0011
76.4778	0.6839	Ed	Correct	0.679	wl.u	0.6548	0.5491	0.1057	30	2.7614	0.0141	0.0011
85.0018	1.0008	Fd	Correct	0.991	ll	0.5338	0.5491	-0.0153	10	2.7614	0.0141	0.0011
89.5218	0.8673	dE	Correct	0.849	wl.u	0.6548	0.5491	0.1057	30	2.7614	0.0141	0.0011
92.5738	0.6172	dC	Correct	0.607	wl.l	0.727	0.5491	0.1779	40	2.7614	0.0141	0.0011
97.0948	0.8007	Db	inCorrect	0.785	ll	0.5243	0.5491	-0.0248	10	2.7614	0.0141	0.0011
100.6308	1.251	fA	inCorrect	1.239	wl.u	0.5338	0.7063	-0.1725	40	2.7614	0.0141	0.0011
105.1508	1.1843	Ef	Correct	1.166	wl.l	0.6548	0.5338	0.121	20	2.7614	0.0141	0.0011
113.1908	0.6839	Ce	Correct	0.666	ww	0.727	0.6548	0.0722	10	2.7614	0.0141	0.0011
117.7108	1.0008	fC	Correct	0.983	wl.u	0.727	0.5338	0.1932	30	2.7614	0.0141	0.0011
121.7308	0.834	Af	Correct	0.816	wl.u	0.7063	0.5338	0.1725	40	2.7614	0.0141	0.0011
128.7868	0.8173	Ac	inCorrect	0.812	ww	0.727	0.7063	0.0207	10	2.7614	0.0141	0.0011
132.8228	1.5179	Fb	inCorrect	1.514	ll	0.5243	0.5338	-0.0095	20	2.7614	0.0141	0.0011
137.8438	1.0008	bE	Correct	0.986	wl.u	0.6548	0.5243	0.1305	40	2.7614	0.0141	0.0011
141.3638	0.8506	fC	Correct	0.838	wl.u	0.727	0.5338	0.1932	30	2.7614	0.0141	0.0011
145.3838	1.2176	dF	Correct	1.208	ll	0.5338	0.5491	-0.0153	10	2.7614	0.0141	0.0011
149.9038	0.6171	Cd	Correct	0.601	wl.l	0.727	0.5491	0.1779	40	2.7614	0.0141	0.0011
153.4228	1.1342	Ed	inCorrect	1.123	wl.u	0.5491	0.6548	-0.1057	30	2.7614	0.0141	0.0011
157.4428	0.9007	bF	Correct	0.896	ll	0.5338	0.5243	0.0095	20	2.7614	0.0141	0.0011
161.9638	0.6672	Ef	Correct	0.654	wl.l	0.6548	0.5338	0.121	20	2.7614	0.0141	0.0011
164.9988	0.6171	bE	Correct	0.599	wl.u	0.6548	0.5243	0.1305	40	2.7614	0.0141	0.0011
169.5198	0.4503	bF	inCorrect	0.434	ll	0.5243	0.5338	-0.0095	20	2.7614	0.0141	0.0011
174.0398	0.6505	Cf	Correct	0.648	wl.u	0.727	0.5338	0.1932	30	2.7614	0.0141	0.0011
177.5598	0.6338	fA	inCorrect	0.626	wl.u	0.5338	0.7063	-0.1725	40	2.7614	0.0141	0.0011
185.0988	0.6505	Ed	Correct	0.646	wl.u	0.6548	0.5491	0.1057	30	2.7614	0.0141	0.0011
190.1198	0.5171	fA	inCorrect	0.503	wl.u	0.5338	0.7063	-0.1725	40	2.7614	0.0141	0.0011
193.1548	0.5838	bC	inCorrect	0.572	wl.u	0.5243	0.727	-0.2027	50	2.7614	0.0141	0.0011
197.6758	0.9675	bA	Correct	0.955	wl.l	0.7063	0.5243	0.182	60	2.7614	0.0141	0.0011
201.6958	0.5505	bA	Correct	0.541	wl.l	0.7063	0.5243	0.182	60	2.7614	0.0141	0.0011
205.2318	0.9007	bC	Correct	0.887	wl.u	0.727	0.5243	0.2027	50	2.7614	0.0141	0.0011
210.2528	0.8507	Ab	Correct	0.838	wl.l	0.7063	0.5243	0.182	60	2.7614	0.0141	0.0011
214.2718	0.9174	fA	inCorrect	0.907	wl.u	0.5338	0.7063	-0.1725	40	2.7614	0.0141	0.0011
217.7918	1.5346	Cb	Correct	1.527	wl.u	0.727	0.5243	0.2027	50	2.7614	0.0141	0.0011
222.3118	0.784	dF	Correct	0.769	ll	0.5338	0.5491	-0.0153	10	2.7614	0.0141	0.0011
225.8318	1.0008	bD	inCorrect	0.986	ll	0.5243	0.5491	-0.0248	10	2.7614	0.0141	0.0011
233.8548	0.8173	dC	Correct	0.804	wl.l	0.727	0.5491	0.1779	40	2.7614	0.0141	0.0011
237.8748	0.7172	Fb	inCorrect	0.706	ll	0.5243	0.5338	-0.0095	20	2.7614	0.0141	0.0011
241.8948	0.7839	fA	inCorrect	0.77	wl.u	0.5338	0.7063	-0.1725	40	2.7614	0.0141	0.0011
245.9148	0.7339	Cb	Correct	0.731	wl.u	0.727	0.5243	0.2027	50	2.7614	0.0141	0.0011
249.9348	0.834	dF	inCorrect	0.829	ll	0.5491	0.5338	0.0153	10	2.7614	0.0141	0.0011
257.9578	0.3837	Cd	Correct	0.372	wl.l	0.727	0.5491	0.1779	40	2.7614	0.0141	0.0011
261.9778	0.6005	Db	Correct	0.59	ll	0.5491	0.5243	0.0248	10	2.7614	0.0141	0.0011
266.4978	1.0008	Ae	Correct	0.993	ww	0.7063	0.6548	0.0515	20	2.7614	0.0141	0.0011
269.5338	0.6505	dA	Correct	0.637	wl.u	0.7063	0.5491	0.1572	50	2.7614	0.0141	0.0011
274.5538	0.5505	bC	Correct	0.539	wl.u	0.727	0.5243	0.2027	50	2.7614	0.0141	0.0011
281.5928	0.6172	Ef	Correct	0.603	wl.l	0.6548	0.5338	0.121	20	2.7614	0.0141	0.0011
286.6138	0.734	fA	Correct	0.72	wl.u	0.7063	0.5338	0.1725	40	2.7614	0.0141	0.0011
293.6528	0.5671	dE	Correct	0.561	wl.u	0.6548	0.5491	0.1057	30	2.7614	0.0141	0.0011
298.6738	0.6171	Af	Correct	0.605	wl.u	0.7063	0.5338	0.1725	40	2.7614	0.0141	0.0011
302.1928	0.884	Ab	Correct	0.866	wl.l	0.7063	0.5243	0.182	60	2.7614	0.0141	0.0011
306.2128	1.0175	Cf	Correct	1.007	wl.u	0.727	0.5338	0.1932	30	2.7614	0.0141	0.0011
310.2328	0.6338	bA	Correct	0.631	wl.l	0.7063	0.5243	0.182	60	2.7614	0.0141	0.0011
318.2558	1.1343	eA	inCorrect	1.125	ww	0.6548	0.7063	-0.0515	20	2.7614	0.0141	0.0011
322.7768	1.3511	Cb	Correct	1.338	wl.u	0.727	0.5243	0.2027	50	2.7614	0.0141	0.0011
325.8118	0.6339	eC	inCorrect	0.617	ww	0.6548	0.727	-0.0722	10	2.7614	0.0141	0.0011
330.8328	1.4345	bA	inCorrect	1.428	wl.l	0.5243	0.7063	-0.182	60	2.7614	0.0141	0.0011
333.8688	0.6172	Ae	inCorrect	0.609	ww	0.6548	0.7063	-0.0515	20	2.7614	0.0141	0.0011
338.8898	0.6505	fA	Correct	0.634	wl.u	0.7063	0.5338	0.1725	40	2.7614	0.0141	0.0011
342.9088	0.8841	Af	Correct	0.878	wl.u	0.7063	0.5338	0.1725	40	2.7614	0.0141	0.0011
346.4288	0.8007	Db	Correct	0.79	ll	0.5491	0.5243	0.0248	10	2.7614	0.0141	0.0011
349.9648	0.9174	bC	inCorrect	0.899	wl.u	0.5243	0.727	-0.2027	50	2.7614	0.0141	0.0011
354.9858	0.7506	Cb	inCorrect	0.737	wl.u	0.5243	0.727	-0.2027	50	2.7614	0.0141	0.0011
358.0218	1.0342	dE	Correct	1.032	wl.u	0.6548	0.5491	0.1057	30	2.7614	0.0141	0.0011
363.0258	1.0509	Af	Correct	1.046	wl.u	0.7063	0.5338	0.1725	40	2.7614	0.0141	0.0011
366.0608	1.1009	bF	inCorrect	1.087	ll	0.5243	0.5338	-0.0095	20	2.7614	0.0141	0.0011
370.5818	0.8841	Eb	Correct	0.868	wl.u	0.6548	0.5243	0.1305	40	2.7614	0.0141	0.0011
375.1018	0.7006	Ad	Correct	0.688	wl.u	0.7063	0.5491	0.1572	50	2.7614	0.0141	0.0011
378.6218	0.7173	Ce	Correct	0.713	ww	0.727	0.6548	0.0722	10	2.7614	0.0141	0.0011
382.6408	0.7006	dC	inCorrect	0.688	wl.l	0.5491	0.727	-0.1779	40	2.7614	0.0141	0.0011
387.1618	0.7839	Cf	Correct	0.771	wl.u	0.727	0.5338	0.1932	30	2.7614	0.0141	0.0011
390.6808	0.6672	Cd	Correct	0.657	wl.l	0.727	0.5491	0.1779	40	2.7614	0.0141	0.0011
394.2168	1.3344	eA	Correct	1.325	ww	0.7063	0.6548	0.0515	20	2.7614	0.0141	0.0011
398.7378	0.734	Ae	inCorrect	0.721	ww	0.6548	0.7063	-0.0515	20	2.7614	0.0141	0.0011
402.2738	0.5505	Ae	inCorrect	0.539	ww	0.6548	0.7063	-0.0515	20	2.7614	0.0141	0.0011
406.3108	0.784	Ad	Correct	0.773	wl.u	0.7063	0.5491	0.1572	50	2.7614	0.0141	0.0011
410.3468	1.3011	cA	inCorrect	1.283	ww	0.727	0.7063	0.0207	10	2.7614	0.0141	0.0011
414.3838	0.8173	Ad	Correct	0.8	wl.u	0.7063	0.5491	0.1572	50	2.7614	0.0141	0.0011
418.4198	0.5504	Ce	Correct	0.533	ww	0.727	0.6548	0.0722	10	2.7614	0.0141	0.0011
422.4568	0.6838	Ed	inCorrect	0.668	wl.u	0.5491	0.6548	-0.1057	30	2.7614	0.0141	0.0011
426.9768	0.9341	eC	inCorrect	0.928	ww	0.6548	0.727	-0.0722	10	2.7614	0.0141	0.0011
