onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
0.0331	1.0843	eC	inCorrect	1.073	ww	0.6491	0.6545	-0.0054	10	11.0569	0.0411	0.0426
4.0691	1.8681	fE	inCorrect	1.853	wl.l	0.5089	0.6491	-0.1402	20	11.0569	0.0411	0.0426
8.1061	1.0175	dA	Correct	1.001	wl.u	0.7578	0.4085	0.3493	50	11.0569	0.0411	0.0426
12.6261	1.2177	fC	Correct	1.208	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
16.1631	0.9174	Fb	Correct	0.905	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
20.6831	0.9842	Cf	Correct	0.976	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
25.2031	0.8006	Cd	Correct	0.796	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
28.2391	0.8173	Ac	Correct	0.8	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
36.2791	1.2677	Fb	Correct	1.255	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
40.7991	0.9674	fE	inCorrect	0.952	wl.l	0.5089	0.6491	-0.1402	20	11.0569	0.0411	0.0426
45.3201	1.4679	fE	Correct	1.46	wl.l	0.6491	0.5089	0.1402	20	11.0569	0.0411	0.0426
48.3551	1.3344	Cf	Correct	1.319	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
53.3761	1.1843	Ef	Correct	1.169	wl.l	0.6491	0.5089	0.1402	20	11.0569	0.0411	0.0426
56.4121	1.3844	eA	Correct	1.366	ww	0.7578	0.6491	0.1087	20	11.0569	0.0411	0.0426
60.4491	1.3344	bC	Correct	1.322	wl.u	0.6545	0.4037	0.2508	50	11.0569	0.0411	0.0426
65.4691	1.1176	Ef	Correct	1.107	wl.l	0.6491	0.5089	0.1402	20	11.0569	0.0411	0.0426
68.9891	1.151	dF	Correct	1.133	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
72.5251	0.784	Ab	Correct	0.768	wl.l	0.7578	0.4037	0.3541	60	11.0569	0.0411	0.0426
77.5461	1.251	dC	Correct	1.249	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
80.5821	0.8674	cA	Correct	0.854	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
85.1021	1.1676	eA	Correct	1.152	ww	0.7578	0.6491	0.1087	20	11.0569	0.0411	0.0426
89.1221	1.2177	dF	Correct	1.209	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
92.6581	1.0009	fC	Correct	0.995	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
101.1821	0.784	bA	Correct	0.771	wl.l	0.7578	0.4037	0.3541	60	11.0569	0.0411	0.0426
104.7181	0.6839	dA	Correct	0.677	wl.u	0.7578	0.4085	0.3493	50	11.0569	0.0411	0.0426
112.7581	0.9174	Eb	Correct	0.899	wl.u	0.6491	0.4037	0.2454	40	11.0569	0.0411	0.0426
117.2781	1.3011	dF	Correct	1.296	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
120.8141	1.1176	dE	Correct	1.111	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
124.8511	1.0675	Af	Correct	1.052	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
128.8871	1.2843	bF	Correct	1.28	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
133.4081	1.0842	fA	Correct	1.074	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
141.4311	0.7506	bF	Correct	0.739	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
144.9671	0.9508	Cb	Correct	0.946	wl.u	0.6545	0.4037	0.2508	50	11.0569	0.0411	0.0426
149.4871	0.784	dF	Correct	0.774	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
153.0241	1.4846	fE	Correct	1.478	wl.l	0.6491	0.5089	0.1402	20	11.0569	0.0411	0.0426
158.0441	1.2843	fA	Correct	1.272	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
161.5641	1.0008	Af	Correct	0.988	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
166.0841	1.0175	Cd	Correct	1.012	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
170.1041	0.7005	dA	Correct	0.692	wl.u	0.7578	0.4085	0.3493	50	11.0569	0.0411	0.0426
173.6241	0.9508	dF	Correct	0.948	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
177.1601	1.2176	Af	Correct	1.212	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
181.6801	0.9508	bD	Correct	0.936	ll	0.4085	0.4037	0.0048	10	11.0569	0.0411	0.0426
185.7001	0.8507	eC	inCorrect	0.84	ww	0.6491	0.6545	-0.0054	10	11.0569	0.0411	0.0426
190.2211	1.0508	fE	Correct	1.037	wl.l	0.6491	0.5089	0.1402	20	11.0569	0.0411	0.0426
194.2401	1.3511	Cd	Correct	1.339	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
197.7601	0.7673	fA	Correct	0.753	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
201.7801	0.6005	cA	Correct	0.588	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
205.3161	0.7172	Ad	Correct	0.708	wl.u	0.7578	0.4085	0.3493	50	11.0569	0.0411	0.0426
210.3371	1.3845	Fb	Correct	1.378	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
213.3731	0.8007	Ae	Correct	0.789	ww	0.7578	0.6491	0.1087	20	11.0569	0.0411	0.0426
218.3931	1.2009	fC	Correct	1.192	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
221.4291	0.8173	Ad	Correct	0.803	wl.u	0.7578	0.4085	0.3493	50	11.0569	0.0411	0.0426
225.9501	0.7673	Db	inCorrect	0.755	ll	0.4037	0.4085	-0.0048	10	11.0569	0.0411	0.0426
230.4701	0.8674	dE	Correct	0.852	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
233.9891	0.7339	Ac	Correct	0.726	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
237.5261	1.0175	dE	Correct	1.014	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
242.5461	0.7006	Ac	Correct	0.69	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
245.5821	1.2844	Ce	Correct	1.282	ww	0.6545	0.6491	0.0054	10	11.0569	0.0411	0.0426
250.5861	0.9507	bC	Correct	0.938	wl.u	0.6545	0.4037	0.2508	50	11.0569	0.0411	0.0426
254.1061	0.9508	Ab	Correct	0.943	wl.l	0.7578	0.4037	0.3541	60	11.0569	0.0411	0.0426
262.6291	2.2852	Db	Correct	2.272	ll	0.4085	0.4037	0.0048	10	11.0569	0.0411	0.0426
266.6491	0.9007	Ac	Correct	0.897	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
269.6851	1.0008	Ab	Correct	0.989	wl.l	0.7578	0.4037	0.3541	60	11.0569	0.0411	0.0426
273.7221	1.2177	Af	Correct	1.203	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
278.2421	1.1509	fA	Correct	1.137	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
282.2621	0.9841	Ae	Correct	0.977	ww	0.7578	0.6491	0.1087	20	11.0569	0.0411	0.0426
285.7981	0.884	dE	Correct	0.882	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
290.8021	1.1676	Ed	Correct	1.155	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
294.3221	0.9841	Af	Correct	0.966	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
298.8421	1.151	Fb	Correct	1.135	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
305.8811	1.4178	fA	Correct	1.4	wl.u	0.7578	0.5089	0.2489	40	11.0569	0.0411	0.0426
310.4011	1.1676	bC	Correct	1.154	wl.u	0.6545	0.4037	0.2508	50	11.0569	0.0411	0.0426
314.4211	1.1176	cA	Correct	1.107	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
318.4411	0.7172	Ad	Correct	0.704	wl.u	0.7578	0.4085	0.3493	50	11.0569	0.0411	0.0426
321.9781	0.9674	Cf	Correct	0.96	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
330.5011	0.9341	bF	Correct	0.93	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
334.0371	1.0842	Ce	inCorrect	1.066	ww	0.6491	0.6545	-0.0054	10	11.0569	0.0411	0.0426
338.5581	1.1509	Cb	Correct	1.138	wl.u	0.6545	0.4037	0.2508	50	11.0569	0.0411	0.0426
342.5781	0.8841	bC	Correct	0.866	wl.u	0.6545	0.4037	0.2508	50	11.0569	0.0411	0.0426
346.5981	1.2009	dE	Correct	1.189	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
354.1371	1.0675	Ce	Correct	1.057	ww	0.6545	0.6491	0.0054	10	11.0569	0.0411	0.0426
359.1581	1.0008	Fb	Correct	0.997	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
366.1971	1.0175	dE	Correct	1	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
370.7171	0.8007	bC	Correct	0.799	wl.u	0.6545	0.4037	0.2508	50	11.0569	0.0411	0.0426
375.2211	1.1843	Cf	Correct	1.167	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
379.2411	1.0342	Ce	Correct	1.016	ww	0.6545	0.6491	0.0054	10	11.0569	0.0411	0.0426
382.7771	1.2177	Eb	Correct	1.215	wl.u	0.6491	0.4037	0.2454	40	11.0569	0.0411	0.0426
386.7971	1.1676	Cd	Correct	1.153	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
390.8171	0.9675	dF	Correct	0.962	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
395.3371	0.9508	Ac	Correct	0.941	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
399.3571	0.7673	Fd	Correct	0.759	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
403.3771	1.1509	Ce	inCorrect	1.139	ww	0.6491	0.6545	-0.0054	10	11.0569	0.0411	0.0426
410.9001	1.4178	fC	inCorrect	1.402	wl.u	0.5089	0.6545	-0.1456	30	11.0569	0.0411	0.0426
414.9201	1.201	Eb	Correct	1.187	wl.u	0.6491	0.4037	0.2454	40	11.0569	0.0411	0.0426
418.9401	1.1843	cA	Correct	1.174	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
422.4761	1.2177	Ed	Correct	1.205	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
426.9961	1.251	bA	Correct	1.247	wl.l	0.7578	0.4037	0.3541	60	11.0569	0.0411	0.0426
430.5321	1.2176	dC	Correct	1.21	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
439.5561	0.7839	Ae	Correct	0.772	ww	0.7578	0.6491	0.1087	20	11.0569	0.0411	0.0426
443.0761	0.9508	cA	Correct	0.948	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
446.6121	1.1009	fC	Correct	1.083	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
451.1321	1.3845	dF	Correct	1.374	ll	0.5089	0.4085	0.1004	10	11.0569	0.0411	0.0426
454.6691	0.8674	dC	Correct	0.861	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
459.6891	1.0508	Ef	inCorrect	1.038	wl.l	0.5089	0.6491	-0.1402	20	11.0569	0.0411	0.0426
462.7251	1.0175	Ef	Correct	1.009	wl.l	0.6491	0.5089	0.1402	20	11.0569	0.0411	0.0426
466.7621	1.0842	Cf	Correct	1.067	wl.u	0.6545	0.5089	0.1456	30	11.0569	0.0411	0.0426
471.7821	0.7506	Ac	Correct	0.743	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
475.3021	1.5345	bE	Correct	1.529	wl.u	0.6491	0.4037	0.2454	40	11.0569	0.0411	0.0426
479.3221	1.1176	dC	Correct	1.11	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
482.8581	1.3344	cA	Correct	1.319	ww	0.7578	0.6545	0.1033	10	11.0569	0.0411	0.0426
486.8951	1.201	dC	Correct	1.191	wl.l	0.6545	0.4085	0.246	40	11.0569	0.0411	0.0426
490.9311	1.1009	Fb	Correct	1.098	ll	0.5089	0.4037	0.1052	20	11.0569	0.0411	0.0426
494.9681	0.9508	eA	Correct	0.936	ww	0.7578	0.6491	0.1087	20	11.0569	0.0411	0.0426
499.9891	1.1009	Eb	Correct	1.097	wl.u	0.6491	0.4037	0.2454	40	11.0569	0.0411	0.0426
508.0121	1.668	eC	inCorrect	1.654	ww	0.6491	0.6545	-0.0054	10	11.0569	0.0411	0.0426
516.0351	0.734	dA	Correct	0.721	wl.u	0.7578	0.4085	0.3493	50	11.0569	0.0411	0.0426
519.5551	0.8506	Db	inCorrect	0.843	ll	0.4037	0.4085	-0.0048	10	11.0569	0.0411	0.0426
523.0911	1.8348	Db	Correct	1.824	ll	0.4085	0.4037	0.0048	10	11.0569	0.0411	0.0426
527.6111	1.201	bE	Correct	1.193	wl.u	0.6491	0.4037	0.2454	40	11.0569	0.0411	0.0426
531.1471	0.9174	dE	Correct	0.908	wl.u	0.6491	0.4085	0.2406	30	11.0569	0.0411	0.0426
