onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.5679	0.9508	CD	C	Correct	0.938	3.2693	0.5171	1	0.5	0.5	0.5	34	0.7848	0.0013	0
8.3734	0.6839	AB	A	Correct	0.666	9.7895	0.5021	-1	-0.5	0.5	0.5	12	0.7848	0.0013	0
12.3933	0.9508	EF	F	Incorrect	0.949	14.0947	0.5171	-1	-0.5	0.5	0.5	56	0.7848	0.0013	0
16.3966	1.2009	AB	A	Correct	1.188	18.3481	0.5171	1	0.5	0.5	0.5	12	0.7848	0.0013	0
21.4173	0.9508	AB	A	Correct	0.946	23.1187	0.517	1	0.4993	0.5007	0.5	12	0.7848	0.0013	0
27.9892	0.6339	DC	D	Incorrect	0.63	29.3737	0.5171	-1	-0.5	0.5	0.5007	34	0.7848	0.0013	0
33.5104	0.8006	CD	D	Incorrect	0.798	35.0616	0.5171	-1	-0.5	0.5	0.5007	34	0.7848	0.0013	0
50.1905	0.5504	AB	B	Incorrect	0.534	51.4915	0.5171	-1	-0.5	0.5	0.5013	12	0.7848	0.0013	0
53.71	0.5838	FE	F	Incorrect	0.575	55.0444	0.5171	1	0.5	0.5	0.5	56	0.7848	0.0013	0
58.2303	0.834	CD	C	Correct	0.829	59.8149	0.5171	1	0.4993	0.5007	0.5	34	0.7848	0.0013	0
64.7689	0.8507	EF	E	Correct	0.842	66.3702	0.5171	1	0.5	0.5	0.5007	56	0.7848	0.0013	0
68.8055	0.9341	FE	E	Correct	0.932	70.4902	0.5171	1	0.4993	0.5007	0.5007	56	0.7848	0.0013	0
73.8095	0.6839	DC	C	Correct	0.673	75.244	0.5171	-1	-0.5013	0.5013	0.5	34	0.7848	0.0013	0
78.3298	0.6672	DC	D	Incorrect	0.651	79.7476	0.5171	1	0.5	0.5	0.5013	34	0.7848	0.0013	0
81.3489	1.0676	AB	B	Incorrect	1.064	83.1671	0.517	-1	-0.5	0.5	0.5013	12	0.7848	0.0013	0
84.8851	0.5505	FE	F	Incorrect	0.548	86.1862	0.517	-1	-0.5007	0.5007	0.5013	56	0.7848	0.0013	0
88.9217	0.5004	BA	A	Correct	0.488	90.1727	0.5171	1	0.4987	0.5013	0.5	12	0.7848	0.0013	0
92.9583	0.5171	EF	F	Incorrect	0.501	94.226	0.5171	-1	-0.5007	0.5007	0.5013	56	0.7848	0.0013	0
97.4786	0.5838	EF	E	Correct	0.579	98.813	0.5171	1	0.4987	0.5013	0.5007	56	0.7848	0.0013	0
102.4993	0.6005	BA	B	Incorrect	0.59	103.8504	0.5171	-1	-0.5	0.5	0.502	12	0.7848	0.0013	0
106.5192	0.834	EF	F	Incorrect	0.82	108.1038	0.5171	1	0.4993	0.5007	0.502	56	0.7848	0.0013	0
118.8125	0.9174	EF	E	Correct	0.914	120.4805	0.5171	1	0.498	0.502	0.5013	56	0.7848	0.0013	0
123.3328	0.8673	AB	B	Incorrect	0.849	124.9508	0.517	-1	-0.5	0.5	0.502	12	0.7848	0.0013	0
127.3527	0.5004	DC	D	Incorrect	0.49	128.6037	0.5171	-1	-0.5007	0.5007	0.5013	34	0.7848	0.0013	0
131.3726	0.8006	CD	C	Correct	0.785	132.9239	0.517	-1	-0.5013	0.5013	0.5007	34	0.7848	0.0013	0
133.908	0.8673	BA	A	Correct	0.86	135.5259	0.5171	1	0.498	0.502	0.5	12	0.7848	0.0013	0
139.4291	0.6839	EF	E	Correct	0.675	140.8636	0.5171	1	0.4974	0.5026	0.5013	56	0.7848	0.0013	0
142.9486	0.6005	AB	B	Incorrect	0.59	144.2997	0.5171	-1	-0.5	0.5	0.5026	12	0.7848	0.0013	0
147.4689	0.4337	CD	C	Correct	0.422	148.6532	0.5171	1	0.4987	0.5013	0.5007	34	0.7848	0.0013	0
150.488	0.7172	CD	C	Correct	0.707	151.9559	0.517	1	0.498	0.502	0.5007	34	0.7848	0.0013	0
155.0083	0.6005	BA	B	Incorrect	0.591	156.3594	0.5171	-1	-0.5	0.5	0.5026	12	0.7848	0.0013	0
158.0441	0.8507	CD	D	Incorrect	0.833	159.6454	0.5171	-1	-0.5007	0.5007	0.5026	34	0.7848	0.0013	0
162.0807	0.9007	EF	E	Correct	0.888	163.732	0.5171	1	0.4967	0.5033	0.5013	56	0.7848	0.0013	0
166.601	0.9007	CD	C	Correct	0.893	168.2523	0.5171	1	0.4974	0.5026	0.5007	34	0.7848	0.0013	0
170.1372	1.0675	AB	B	Incorrect	1.065	171.9553	0.5171	-1	-0.5	0.5	0.5026	12	0.7848	0.0013	0
174.6575	0.9841	EF	E	Correct	0.972	176.3922	0.5171	1	0.4961	0.5039	0.5013	56	0.7848	0.0013	0
178.1937	0.9841	AB	A	Correct	0.971	179.9284	0.5171	1	0.4974	0.5026	0.5	12	0.7848	0.0013	0
187.2176	1.1009	CD	D	Incorrect	1.091	189.0691	0.5171	-1	-0.5007	0.5007	0.5033	34	0.7848	0.0013	0
191.7379	0.5672	BA	B	Incorrect	0.549	193.0557	0.517	-1	-0.5	0.5	0.5033	12	0.7848	0.0013	0
195.2741	0.7506	DC	D	Incorrect	0.74	196.7753	0.5171	-1	-0.5007	0.5007	0.5033	34	0.7848	0.0013	0
198.7936	0.7339	EF	F	Incorrect	0.731	200.2781	0.5171	1	0.4987	0.5013	0.5046	56	0.7848	0.0013	0
202.8135	0.7006	BA	B	Incorrect	0.697	204.2647	0.5171	-1	-0.5	0.5	0.5033	12	0.7848	0.0013	0
211.1536	0.4003	CD	C	Correct	0.387	212.3045	0.5171	1	0.4967	0.5033	0.5007	34	0.7848	0.0013	0
214.6731	0.8674	FE	E	Correct	0.852	216.2911	0.517	1	0.4954	0.5046	0.502	56	0.7848	0.0013	0
222.6962	0.4671	CD	C	Correct	0.457	223.9139	0.5171	1	0.4961	0.5039	0.5007	34	0.7848	0.0013	0
227.2165	0.7506	EF	E	Correct	0.733	228.7177	0.5171	-1	-0.5053	0.5053	0.502	56	0.7848	0.0013	0
231.2364	0.5672	DC	C	Correct	0.553	232.5542	0.5171	1	0.4954	0.5046	0.5007	34	0.7848	0.0013	0
235.2563	0.4004	FE	F	Incorrect	0.386	236.4073	0.5171	-1	-0.502	0.502	0.5053	56	0.7848	0.0013	0
