onset	duration	Stim
16.035	1.018	Face
18.037	1.018	Face
20.037	1.002	Face
22.04	1.018	Face
24.042	1.018	Face
26.043	1.018	Face
28.043	1.002	Face
30.046	1.018	Face
44.158	1.018	Object
46.158	1.002	Object
48.161	1.018	Object
50.163	1.018	Object
52.164	1.018	Object
54.166	1.018	Object
56.167	1.018	Object
58.169	1.018	Object
72.247	1.018	House
74.249	1.018	House
76.25	1.018	House
78.252	1.018	House
80.253	1.018	House
82.255	1.017	House
84.257	1.017	House
86.258	1.018	House
100.353	1.018	Scrambled
102.355	1.018	Scrambled
104.356	1.017	Scrambled
106.358	1.017	Scrambled
108.359	1.018	Scrambled
110.361	1.018	Scrambled
112.363	1.018	Scrambled
114.364	1.018	Scrambled
128.459	1.018	House
130.461	1.017	House
132.462	1.017	House
134.464	1.018	House
136.465	1.018	House
138.467	1.018	House
140.469	1.018	House
142.47	1.018	House
156.548	1.018	Face
158.55	1.018	Face
160.551	1.018	Face
162.553	1.018	Face
164.555	1.018	Face
166.556	1.018	Face
168.558	1.018	Face
170.559	1.018	Face
184.671	1.018	Scrambled
186.672	1.018	Scrambled
188.674	1.018	Scrambled
190.676	1.018	Scrambled
192.677	1.018	Scrambled
194.679	1.018	Scrambled
196.68	1.018	Scrambled
198.682	1.018	Scrambled
212.743	1.018	Object
214.745	1.018	Object
216.747	1.017	Object
218.748	1.018	Object
220.75	1.018	Object
222.751	1.018	Object
224.753	1.018	Object
226.755	1.018	Object
240.849	1.017	Object
242.851	1.018	Object
244.852	1.018	Object
246.854	1.018	Object
248.856	1.018	Object
250.857	1.018	Object
252.859	1.018	Object
254.86	1.018	Object
268.955	1.018	Scrambled
270.957	1.018	Scrambled
272.958	1.018	Scrambled
274.96	1.018	Scrambled
276.962	1.018	Scrambled
278.963	1.018	Scrambled
280.965	1.018	Scrambled
282.966	1.018	Scrambled
297.044	1.018	Face
299.046	1.018	Face
301.048	1.018	Face
303.049	1.018	Face
305.051	1.018	Face
307.052	1.017	Face
309.054	1.018	Face
311.056	1.018	Face
325.134	1.017	House
327.135	1.017	House
329.137	1.018	House
331.138	1.018	House
333.14	1.018	House
335.142	1.018	House
337.143	1.018	House
339.145	1.018	House
353.256	1.018	Scrambled
355.258	1.017	Scrambled
357.259	1.018	Scrambled
359.261	1.018	Scrambled
361.263	1.018	Scrambled
363.264	1.018	Scrambled
365.266	1.018	Scrambled
367.267	1.018	Scrambled
381.345	1.018	House
383.347	1.018	House
385.349	1.018	House
387.35	1.018	House
389.352	1.018	House
391.353	1.018	House
393.355	1.018	House
395.357	1.018	House
409.468	1.018	Object
411.47	1.018	Object
413.471	1.018	Object
415.473	1.018	Object
417.474	1.018	Object
419.476	1.018	Object
421.478	1.018	Object
423.479	1.018	Object
437.591	1.018	Face
439.592	1.018	Face
441.594	1.018	Face
443.595	1.018	Face
445.597	1.018	Face
447.599	1.018	Face
449.6	1.018	Face
451.602	1.018	Face
