onset	duration	RT	Trial_type	Response	SSD
1.5345	0.5171	952	Stop	Failed_stop	200
4.0532	0.5171	880	Go	correct	n/a
8.5401	0.5171	753	Go	correct	n/a
12.0596	0.5171	0	Stop	succesful_stop	200
17.047	0.5171	722	Go	correct	n/a
20.0661	0.517	587	Go	correct	n/a
25.5538	0.5171	665	Go	correct	n/a
29.557	0.5171	502	Go	correct	n/a
33.5602	0.5171	625	Go	correct	n/a
36.5627	0.517	529	Go	correct	n/a
41.0663	0.517	600	Go	correct	n/a
44.5691	0.5171	727	Go	correct	n/a
49.0727	0.5171	827	Go	correct	n/a
52.5755	0.5171	823	Stop	Failed_stop	250
56.095	0.5171	959	Go	correct	n/a
60.0982	0.5171	930	Go	correct	n/a
64.1014	0.5171	1023	Go	correct	n/a
68.5884	0.5171	678	Go	correct	n/a
73.092	0.5171	0	Stop	succesful_stop	250
76.5948	0.5171	775	Go	correct	n/a
81.0984	0.5171	0	Stop	succesful_stop	300
85.602	0.5171	534	Go	correct	n/a
93.6085	0.517	1248	Go	Incorrect	n/a
96.1272	0.517	0	Stop	succesful_stop	350
101.6149	0.5171	797	Go	correct	n/a
105.6181	0.5171	0	Stop	succesful_stop	400
108.6205	0.5171	0	Stop	succesful_stop	450
113.6245	0.5171	0	Stop	succesful_stop	500
116.1432	0.5171	860	Go	correct	n/a
125.1338	0.5171	624	Stop	Failed_stop	550
128.1529	0.5171	907	Go	correct	n/a
132.6398	0.5171	0	Stop	succesful_stop	600
137.1434	0.5171	673	Stop	Failed_stop	650
141.647	0.5171	1158	Go	correct	n/a
149.6535	0.5171	833	Stop	Failed_stop	700
152.1722	0.5171	1021	Go	correct	n/a
157.1595	0.5171	845	Go	correct	n/a
161.6631	0.5171	896	Go	correct	n/a
165.1659	0.5171	861	Go	correct	n/a
168.185	0.5171	898	Go	correct	n/a
172.672	0.517	871	Go	correct	n/a
177.1756	0.5171	710	Stop	Failed_stop	750
181.6792	0.5171	844	Go	correct	n/a
184.1979	0.5171	865	Go	correct	n/a
189.6856	0.5171	709	Go	correct	n/a
193.1884	0.5171	833	Go	correct	n/a
197.1917	0.517	797	Go	correct	n/a
201.1949	0.5171	632	Stop	Failed_stop	800
205.6985	0.5171	831	Go	correct	n/a
209.7017	0.5171	1179	Go	Incorrect	n/a
213.7049	0.5171	1066	Go	correct	n/a
217.2077	0.5171	1100	Go	correct	n/a
220.2268	0.5171	850	Go	correct	n/a
225.7146	0.517	785	Go	correct	n/a
229.2174	0.5171	743	Go	correct	n/a
232.7202	0.5171	735	Go	correct	n/a
236.2397	0.5171	535	Go	correct	n/a
241.7274	0.5171	630	Go	Incorrect	n/a
245.2302	0.5171	873	Go	correct	n/a
248.2493	0.5171	750	Go	correct	n/a
253.2367	0.5171	744	Stop	Failed_stop	850
260.7427	0.5171	805	Go	correct	n/a
264.7459	0.5171	475	Go	correct	n/a
268.7491	0.5171	798	Go	correct	n/a
273.7531	0.5171	601	Stop	Failed_stop	900
277.256	0.517	700	Stop	Failed_stop	900
280.2751	0.517	752	Go	correct	n/a
285.7628	0.5171	532	Go	correct	n/a
289.2656	0.5171	705	Go	correct	n/a
293.2688	0.5171	495	Go	correct	n/a
296.2879	0.5171	651	Go	correct	n/a
300.2911	0.5171	567	Stop	Failed_stop	850
308.2976	0.517	928	Stop	Failed_stop	800
317.7885	0.5171	1196	Go	correct	n/a
321.2913	0.5171	973	Go	correct	n/a
325.7949	0.5171	0	Stop	succesful_stop	750
328.7974	0.517	807	Go	correct	n/a
333.301	0.5171	0	Stop	succesful_stop	700
336.8038	0.5171	865	Go	correct	n/a
341.3074	0.5171	806	Go	correct	n/a
344.8102	0.5171	1028	Go	correct	n/a
349.8142	0.5171	663	Go	correct	n/a
352.8166	0.5171	732	Go	correct	n/a
356.8199	0.517	564	Go	correct	n/a
361.3235	0.5171	709	Go	correct	n/a
369.8303	0.5171	622	Stop	Failed_stop	650
372.349	0.5171	0	Stop	succesful_stop	600
377.3363	0.5171	833	Go	correct	n/a
381.84	0.517	563	Go	correct	n/a
385.8432	0.5171	1108	Go	Incorrect	n/a
392.8488	0.5171	843	Go	correct	n/a
397.3524	0.5171	777	Go	correct	n/a
401.3556	0.5171	791	Go	correct	n/a
405.8592	0.5171	512	Go	correct	n/a
409.8625	0.517	575	Go	correct	n/a
412.8649	0.5171	567	Go	correct	n/a
416.8681	0.5171	0	Stop	succesful_stop	550
425.3749	0.5171	708	Go	correct	n/a
429.8785	0.5171	813	Go	correct	n/a
432.3972	0.5171	829	Go	correct	n/a
437.885	0.517	628	Stop	Failed_stop	550
445.8914	0.5171	0	Stop	succesful_stop	500
449.3942	0.5171	0	Stop	succesful_stop	500
453.3974	0.5171	557	Stop	Failed_stop	550
456.4165	0.5171	839	Go	correct	n/a
461.9043	0.517	651	Stop	Failed_stop	550
464.9067	0.517	962	Go	correct	n/a
469.4103	0.5171	842	Go	correct	n/a
472.9131	0.5171	1259	Go	correct	n/a
477.9171	0.5171	708	Go	correct	n/a
481.4199	0.5171	1146	Go	correct	n/a
485.4231	0.5171	0	Stop	succesful_stop	500
489.4264	0.517	863	Go	correct	n/a
493.93	0.5171	760	Go	correct	n/a
497.9332	0.5171	627	Stop	Failed_stop	500
500.9356	0.5171	0	Stop	succesful_stop	450
505.9396	0.5171	0	Stop	succesful_stop	450
508.4583	0.5171	825	Go	correct	n/a
513.4456	0.5171	800	Go	correct	n/a
516.9485	0.517	0	Stop	succesful_stop	500
520.9517	0.517	533	Go	correct	n/a
525.4553	0.5171	465	Stop	Failed_stop	550
529.4585	0.5171	0	Stop	succesful_stop	600
532.9613	0.5171	824	Go	correct	n/a
536.4808	0.5171	0	Stop	succesful_stop	650
545.9718	0.517	780	Go	correct	n/a
549.4746	0.5171	0	Stop	succesful_stop	700
556.9806	0.5171	659	Stop	Failed_stop	750
560.9838	0.5171	868	Go	correct	n/a
564.5033	0.5171	656	Stop	Failed_stop	800
568.9903	0.517	1152	Go	correct	n/a
572.5098	0.517	645	Stop	Failed_stop	850
576.9967	0.5171	1121	Stop	Failed_stop	900
580.5162	0.5171	1050	Stop	Failed_stop	900
585.0031	0.5171	1047	Go	correct	n/a
589.5067	0.5171	579	Go	correct	n/a
593.0095	0.5171	586	Stop	Failed_stop	850
597.0128	0.517	1023	Go	correct	n/a
600.5323	0.517	530	Stop	Failed_stop	800
605.5196	0.5171	771	Go	correct	n/a
609.5228	0.5171	774	Go	Incorrect	n/a
612.5419	0.5171	548	Go	Incorrect	n/a
622.0329	0.517	677	Stop	Failed_stop	750
626.0361	0.517	1108	Go	correct	n/a
633.0417	0.5171	708	Go	correct	n/a
637.0449	0.5171	641	Go	correct	n/a
641.5485	0.5171	471	Stop	Failed_stop	700
646.0521	0.5171	627	Stop	Failed_stop	650
654.0586	0.5171	600	Stop	Failed_stop	600
657.061	0.5171	593	Go	correct	n/a
