onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
1.0342	1.5345	CD	C	Correct	1.521	2.869	0.5171	1	0.5	0.5	0.5	34	3.685	0.0193	2e-04
8.0732	1.7013	BA	A	Correct	1.698	10.0748	0.517	1	0.5	0.5	0.5	12	3.685	0.0193	2e-04
12.5934	1.8849	AB	A	Correct	1.868	14.7785	0.5171	1	0.4904	0.5096	0.5	12	3.685	0.0193	2e-04
16.1296	2.2351	BA	B	Incorrect	2.227	18.665	0.517	-1	-0.5	0.5	0.5191	12	3.685	0.0193	2e-04
21.6507	1.3677	FE	F	Incorrect	1.354	23.3187	0.5171	-1	-0.5	0.5	0.5	56	3.685	0.0193	2e-04
24.186	1.5012	CD	C	Correct	1.493	25.9875	0.5171	1	0.4904	0.5096	0.5	34	3.685	0.0193	2e-04
33.2099	1.4846	CD	C	Correct	1.47	34.9947	0.5171	-1	-0.5191	0.5191	0.5	34	3.685	0.0193	2e-04
36.2457	1.2844	FE	F	Incorrect	1.279	37.8303	0.5171	1	0.5001	0.4999	0.5	56	3.685	0.0193	2e-04
41.7668	2.0016	CD	C	Correct	1.986	44.0686	0.2169	1	0.481	0.519	0.5	34	3.685	0.0193	2e-04
45.2863	1.4511	BA	A	Correct	1.448	47.0377	0.517	-1	-0.5191	0.5191	0.4999	12	3.685	0.0193	2e-04
49.3061	1.5847	AB	B	Incorrect	1.573	51.191	0.5171	-1	-0.4999	0.4999	0.519	12	3.685	0.0193	2e-04
52.8256	1.5012	EF	F	Incorrect	1.487	54.6271	0.5171	-1	-0.5095	0.5095	0.5	56	3.685	0.0193	2e-04
56.3618	1.5346	EF	F	Incorrect	1.525	58.1966	0.5171	1	0.4906	0.5094	0.5	56	3.685	0.0193	2e-04
64.8853	1.1342	AB	A	Correct	1.12	66.3198	0.517	1	0.481	0.519	0.4998	12	3.685	0.0193	2e-04
69.906	1.9849	FE	F	Incorrect	1.971	72.1911	0.2335	-1	-0.5189	0.5189	0.5	56	3.685	0.0193	2e-04
72.925	1.201	EF	F	Incorrect	1.19	74.4262	0.5171	-1	-0.5187	0.5187	0.5	56	3.685	0.0193	2e-04
76.9449	1.8015	DC	C	Correct	1.795	79.0466	0.5171	-1	-0.5282	0.5282	0.5	34	3.685	0.0193	2e-04
81.4652	1.1176	CD	C	Correct	1.113	82.883	0.5171	1	0.4719	0.5281	0.5	34	3.685	0.0193	2e-04
85.4851	2.085	BA	B	Incorrect	2.074	87.8703	0.5171	-1	-0.4998	0.4998	0.5282	12	3.685	0.0193	2e-04
89.0046	1.8681	CD	C	Correct	1.86	91.173	0.5171	1	0.4628	0.5372	0.5	34	3.685	0.0193	2e-04
93.5249	1.3177	BA	A	Correct	1.309	95.1428	0.5171	1	0.4718	0.5282	0.4996	12	3.685	0.0193	2e-04
98.0451	2.1851	DC	D	Incorrect	2.168	100.5305	0.0333	-1	-0.5	0.5	0.5461	34	3.685	0.0193	2e-04
100.5805	2.3185	AB	B	Incorrect	2.303	103.1993	0.5171	-1	-0.4996	0.4996	0.5373	12	3.685	0.0193	2e-04
105.1008	1.0008	BA	A	Correct	0.995	106.4018	0.5171	1	0.4627	0.5373	0.4995	12	3.685	0.0193	2e-04
109.6211	1.301	BA	A	Correct	1.289	111.2224	0.517	1	0.4538	0.5462	0.4995	12	3.685	0.0193	2e-04
114.1414	1.251	CD	C	Correct	1.247	115.6926	0.5171	1	0.4539	0.5461	0.4999	34	3.685	0.0193	2e-04
116.6767	1.3845	AB	A	Correct	1.37	118.3614	0.5171	-1	-0.555	0.555	0.4995	12	3.685	0.0193	2e-04
121.197	1.4512	FE	F	Incorrect	1.437	122.9484	0.5171	-1	-0.5186	0.5186	0.5	56	3.685	0.0193	2e-04
125.2169	1.4178	FE	F	Incorrect	1.402	126.9349	0.5171	1	0.4815	0.5185	0.5	56	3.685	0.0193	2e-04
130.2376	1.4011	DC	C	Correct	1.398	131.9389	0.5171	1	0.4451	0.5549	0.4999	34	3.685	0.0193	2e-04
132.7729	1.4679	FE	F	Incorrect	1.455	134.541	0.5171	1	0.4722	0.5278	0.5	56	3.685	0.0193	2e-04
136.8095	1.8014	FE	F	Incorrect	1.793	138.9112	0.5171	-1	-0.5369	0.5369	0.5	56	3.685	0.0193	2e-04
141.3298	1.5345	BA	B	Incorrect	1.518	143.1646	0.5171	-1	-0.4995	0.4995	0.5549	12	3.685	0.0193	2e-04
146.3505	1.7681	DC	C	Correct	1.762	148.4188	0.4504	1	0.4366	0.5634	0.4999	34	3.685	0.0193	2e-04
150.3704	2.0683	CD	C	Correct	2.057	152.7389	0.1501	-1	-0.5719	0.5719	0.4999	34	3.685	0.0193	2e-04
154.3902	1.151	EF	F	Incorrect	1.146	155.8414	0.5171	-1	-0.5367	0.5367	0.5	56	3.685	0.0193	2e-04
158.4101	1.3678	DC	D	Incorrect	1.355	160.0781	0.5171	-1	-0.4999	0.4999	0.5717	34	3.685	0.0193	2e-04
162.43	1.7347	DC	C	Correct	1.725	164.465	0.4837	-1	-0.5717	0.5717	0.4998	34	3.685	0.0193	2e-04
166.4499	1.201	CD	C	Correct	1.196	167.9511	0.5171	1	0.4284	0.5716	0.4998	34	3.685	0.0193	2e-04
169.9694	1.301	DC	D	Incorrect	1.292	171.5707	0.517	-1	-0.4998	0.4998	0.5798	34	3.685	0.0193	2e-04
173.9893	1.0008	EF	F	Incorrect	0.996	175.2903	0.5171	-1	-0.5366	0.5366	0.5	56	3.685	0.0193	2e-04
177.025	1.8015	BA	B	Incorrect	1.787	179.1267	0.5171	-1	-0.4994	0.4994	0.5549	12	3.685	0.0193	2e-04
182.5461	1.0508	DC	C	Correct	1.043	183.8972	0.5171	1	0.4202	0.5798	0.4996	34	3.685	0.0193	2e-04
186.0656	1.4845	DC	C	Correct	1.482	187.8503	0.5171	1	0.4121	0.5879	0.4996	34	3.685	0.0193	2e-04
193.5883	1.6513	CD	C	Correct	1.635	195.5398	0.5171	-1	-0.5959	0.5959	0.4996	34	3.685	0.0193	2e-04
197.1244	1.7181	CD	C	Correct	1.704	199.1427	0.5171	1	0.4043	0.5957	0.4996	34	3.685	0.0193	2e-04
201.161	1.3511	DC	D	Incorrect	1.343	202.8123	0.5171	-1	-0.4996	0.4996	0.6035	34	3.685	0.0193	2e-04
205.6813	1.8848	EF	F	Incorrect	1.87	207.8664	0.517	-1	-0.5365	0.5365	0.5	56	3.685	0.0193	2e-04
209.2174	1.8849	CD	C	Correct	1.876	211.4025	0.5171	1	0.3965	0.6035	0.4995	34	3.685	0.0193	2e-04
214.2381	1.618	AB	A	Correct	1.613	216.1563	0.5171	1	0.4451	0.5549	0.4993	12	3.685	0.0193	2e-04
217.7576	2.035	DC	D	Incorrect	2.032	220.0928	0.5171	-1	-0.4995	0.4995	0.6112	34	3.685	0.0193	2e-04
222.7783	1.1676	EF	F	Incorrect	1.155	224.2461	0.5171	1	0.4636	0.5364	0.5	56	3.685	0.0193	2e-04
226.2978	2.1183	DC	C	Correct	2.103	228.7164	0.5171	1	0.3888	0.6112	0.4994	34	3.685	0.0193	2e-04
230.3177	1.2176	EF	F	Incorrect	1.211	231.8355	0.5171	1	0.4547	0.5453	0.5	56	3.685	0.0193	2e-04
233.8371	1.251	BA	B	Incorrect	1.246	235.3884	0.5171	-1	-0.4993	0.4993	0.5634	12	3.685	0.0193	2e-04
238.8578	1.7181	CD	D	Incorrect	1.713	240.8761	0.5004	-1	-0.4994	0.4994	0.6187	34	3.685	0.0193	2e-04
241.8769	1.7681	AB	A	Correct	1.753	243.9452	0.5171	1	0.4366	0.5634	0.4992	12	3.685	0.0193	2e-04
245.4131	1.9182	CD	C	Correct	1.913	247.6315	0.5171	1	0.3813	0.6187	0.4993	34	3.685	0.0193	2e-04
250.4338	1.351	FE	F	Incorrect	1.346	252.0851	0.5171	1	0.4459	0.5541	0.5	56	3.685	0.0193	2e-04
254.4536	1.3511	FE	F	Incorrect	1.336	256.105	0.517	1	0.4373	0.5627	0.5	56	3.685	0.0193	2e-04
